time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-24T02:53:40.179Z,-6.389,129.2204,208.25,7.3,mww,,34,2.599,1.11,us,us600044zz,2019-06-25T03:02:14.233Z,"288km NW of Saumlaki, Indonesia",earthquake,7.8,7.4,0.061,26,reviewed,us,us
2019-06-24T01:05:29.499Z,-2.7913,138.5473,28,6.1,mww,,20,6.291,1.07,us,us600044z4,2019-06-25T01:08:20.077Z,"227km W of Abepura, Indonesia",earthquake,7.8,1.8,0.048,41,reviewed,us,us
2019-06-19T17:24:49.216Z,-2.2522,138.4044,12.13,6.3,mww,,58,6.184,0.96,us,us6000434e,2019-06-20T17:29:23.699Z,"245km W of Abepura, Indonesia",earthquake,7,3.4,0.061,26,reviewed,us,us
2019-05-14T12:58:25.935Z,-4.054,152.5975,10,7.6,mww,,16,0.453,1.02,us,us70003kyy,2019-06-20T12:13:45.634Z,"46km SSE of Namatanai, Papua New Guinea",earthquake,7.5,1.6,0.038,65,reviewed,us,us
2019-05-06T21:19:37.983Z,-6.9691,146.4539,146,7.1,mww,,16,2.518,1.05,us,us70003hqb,2019-06-20T00:19:33.944Z,"33km NW of Bulolo, Papua New Guinea",earthquake,6.9,1.9,0.037,71,reviewed,us,us
2019-04-12T14:51:31.603Z,-6.4883,148.7394,30,6,mww,,17,3.293,0.97,us,us700034zz,2019-06-20T19:03:25.040Z,"94km WSW of Kandrian, Papua New Guinea",earthquake,6.5,1.6,0.073,18,reviewed,us,us
2019-04-12T11:40:49.363Z,-1.8146,122.5798,15.46,6.8,mww,,28,0.791,1.16,us,us700034xq,2019-06-20T19:03:23.040Z,"98km SSW of Luwuk, Indonesia",earthquake,2,2.8,0.056,31,reviewed,us,us
2019-04-06T21:55:01.660Z,-6.8285,125.0416,539,6.3,mww,,20,3.007,0.93,us,us2000kbi1,2019-06-19T23:26:40.987Z,"200km NNW of Dili, East Timor",earthquake,8.8,1.9,0.034,84,reviewed,us,us
2019-03-30T11:20:42.559Z,-5.7003,151.1053,41,6.2,mww,,25,1.832,0.87,us,us2000k7ks,2019-06-08T20:51:25.040Z,"107km E of Kimbe, Papua New Guinea",earthquake,7.4,1.9,0.052,35,reviewed,us,us
2019-03-10T12:48:00.607Z,-10.1317,152.0647,9,6,mww,,35,4.888,0.75,us,us1000jd7d,2019-05-24T21:21:26.040Z,"139km SSW of Kulumadau, Papua New Guinea",earthquake,7.1,1.8,0.039,64,reviewed,us,us
2019-02-17T14:35:55.840Z,-3.3412,152.1319,368.12,6.4,mww,,23,0.845,1.39,us,us2000jj68,2019-05-01T22:00:58.040Z,"49km NW of Namatanai, Papua New Guinea",earthquake,8.8,3.3,0.04,60,reviewed,us,us
2019-01-22T05:10:03.480Z,-10.4148,119.0165,24,6.3,mww,,32,3.635,1.33,us,us2000j73a,2019-04-12T17:13:49.040Z,"80km S of Kahale, Indonesia",earthquake,5.4,1.8,0.046,46,reviewed,us,us
2019-01-21T23:59:23.860Z,-10.3278,119.1521,26,6,mww,,41,3.477,1.18,us,us2000j70q,2019-04-05T21:41:02.040Z,"66km SSW of Bogorawatu, Indonesia",earthquake,6.2,1.8,0.039,64,reviewed,us,us
2019-01-17T15:06:35.650Z,-3.2307,146.3889,10,6.2,mww,,40,1.531,1.01,us,us2000j545,2019-04-05T21:40:59.040Z,"165km SW of Lorengau, Papua New Guinea",earthquake,6.2,1.7,0.047,43,reviewed,us,us
2018-12-16T09:42:37.200Z,-3.9226,140.2323,61.97,6.1,mww,,14,7.364,0.93,us,us2000iu2u,2019-02-16T22:29:10.040Z,"147km SSW of Abepura, Indonesia",earthquake,3,3.8,0.045,48,reviewed,us,us
2018-12-01T13:27:21.080Z,-7.3841,128.7065,136,6.4,mww,,20,2.637,0.93,us,us1000hzjp,2019-06-17T12:06:37.199Z,"294km WNW of Saumlaki, Indonesia",earthquake,7.2,1.9,0.043,52,reviewed,us,us
2018-10-10T22:00:34.500Z,-4.9624,151.7231,121,6.2,mww,,12,0.883,0.96,us,us1000habl,2018-12-21T21:15:49.040Z,"90km SW of Kokopo, Papua New Guinea",earthquake,5,1.8,0.046,46,reviewed,us,us
2018-10-10T20:48:20.100Z,-5.7012,151.2046,39,7,mww,,18,1.778,1.1,us,us1000haa3,2019-05-06T21:35:57.711Z,"118km E of Kimbe, Papua New Guinea",earthquake,7.2,1.9,0.056,31,reviewed,us,us
2018-10-10T20:45:25.300Z,-5.7433,151.3533,41.56,6.1,mb,,20,1.74,0.95,us,us1000ha9t,2018-12-21T21:15:49.040Z,"135km E of Kimbe, Papua New Guinea",earthquake,6.6,3.7,0.034,338,reviewed,us,us
2018-10-10T18:44:55.280Z,-7.4525,114.4553,9,6,mww,,27,1.054,1.15,us,us1000ha6q,2018-12-21T21:15:48.040Z,"40km NNE of Cungapmimbo, Indonesia",earthquake,5.8,1.7,0.041,58,reviewed,us,us
2018-10-01T23:59:42.740Z,-10.5585,120.2424,29,6,mww,,19,2.742,1.32,us,us1000h5eg,2018-12-14T20:32:39.040Z,"40km S of Nggongi, Indonesia",earthquake,5.3,1.9,0.047,44,reviewed,us,us
2018-09-28T10:02:45.250Z,-0.2559,119.8462,20,7.5,mww,,13,1.649,1,us,us1000h3p4,2019-02-01T23:05:00.574Z,"70km N of Palu, Indonesia",earthquake,5.8,1.8,0.05,39,reviewed,us,us
2018-09-28T06:59:59.740Z,-0.4009,119.7705,4.99,6.1,mww,,33,1.81,0.95,us,us1000h3mf,2018-12-01T16:42:50.040Z,"55km NNW of Palu, Indonesia",earthquake,5.8,3.5,0.071,19,reviewed,us,us
2018-08-28T07:08:11.360Z,-10.773,124.1871,14,6.2,mww,,74,1.014,1.4,us,us1000gii0,2018-11-07T18:37:03.040Z,"94km SE of Kupang, Indonesia",earthquake,8.9,1.8,0.053,34,reviewed,us,us
2018-08-19T14:56:27.490Z,-8.319,116.6272,21,6.9,mww,,31,2.453,0.88,us,us1000gda5,2018-10-27T16:22:07.040Z,"1km S of Belanting, Indonesia",earthquake,6.4,1.8,0.057,30,reviewed,us,us
2018-08-19T04:10:22.640Z,-8.3366,116.5993,16,6.3,mww,,14,2.424,1.11,us,us1000gcvr,2018-10-27T16:22:06.040Z,"4km SW of Belanting, Indonesia",earthquake,6.2,1.7,0.11,8,reviewed,us,us
