#Rhyp <= hx: ln Y = c0 + c1*(M-6)**2 + c2*(M-6) + (c3*hx +  c4*(log10(Rhyp)-hx)) + (d0 + d1*log10(h)**3 + d2*log10(h)**2 + d3*log10(h)) + n0 * (log10(Rhyp) - hx)
T, c0, c1, c2, c3, c4, d0, d1, d2, d3, n0, hx
0.05,8.10363,-0.26706,2.12319,-5.34215,-9.93267e+00,0.13291,0.00000,0.00000,-0.06694,0.69591,2.90309
0.075,8.34640,-0.25664,2.10441,-5.43806,-9.76631e+00,0.13245,0.00000,0.00000,-0.06973,0.75512,2.90309
0.1,8.74744,-0.23937,2.08318,-5.58376,-9.68655e+00,0.10732,0.00000,0.00000,-0.05769,0.87042,2.90309
0.15,9.20245,-0.25315,2.26633,-5.73078,-9.77615e+00,0.03332,0.00000,0.00000,0.00490,0.78900,2.90309
0.2,9.56956,-0.34578,2.32126,-5.83677,-9.52373e+00,-0.23090,0.00000,0.00000,0.18173,0.85058,2.90309
0.25,9.62623,-0.42072,2.41748,-5.86099,-9.32043e+00,-0.29279,0.00000,0.00000,0.22757,1.04847,2.90309
0.3,9.40862,-0.40729,2.39064,-5.77893,-9.32965e+00,-0.13610,0.00000,0.00000,0.11607,1.00688,2.90309
0.35,9.13099,-0.29214,2.25916,-5.66152,-9.40157e+00,-0.13705,0.00000,0.00000,0.13032,0.96800,2.90309
0.4,8.80998,-0.10190,2.04802,-5.49315,-9.78564e+00,-0.15860,0.00000,0.00000,0.17090,0.90295,2.90309
0.45,8.59360,-0.05070,2.02753,-5.40519,-9.81189e+00,-0.05544,0.00000,0.00000,0.08140,0.93355,2.90309
0.5,8.38649,-0.23600,2.23405,-5.41794,-8.91525e+00,-0.11035,0.00000,0.00000,0.10486,0.77882,2.90309
0.55,8.39545,-0.37152,2.42517,-5.50745,-8.08473e+00,0.06609,0.00000,0.00000,-0.03761,0.73301,2.90309
0.6,8.34547,-0.42726,2.52434,-5.59388,-6.98009e+00,0.29802,0.00000,0.00000,-0.21254,0.66087,2.90309
0.75,8.17227,-0.24833,2.40739,-5.66088,-6.19207e+00,0.32334,0.00000,0.00000,-0.24513,0.59826,2.90309
1.0,7.88090,-0.07318,2.25138,-5.65679,-5.57253e+00,0.24663,0.00000,0.00000,-0.21786,0.79740,2.90309
1.25,7.48527,0.00000,2.37816,-5.61702,-5.07882e+00,0.44094,0.00000,0.00000,-0.35658,0.77065,2.90309
1.5,6.76213,0.00000,2.41251,-5.43993,-4.66167e+00,0.45564,0.00000,0.00000,-0.35922,0.65634,2.90309
1.75,5.97577,0.00000,2.42798,-5.21634,-4.74068e+00,0.34088,0.00000,0.00000,-0.25656,0.63382,2.90309
2.0,5.00862,0.00000,2.42689,-4.94435,-4.44720e+00,0.20528,0.00000,0.00000,-0.14478,0.55229,2.90309
2.5,3.85993,0.00000,2.45618,-4.62084,-4.38042e+00,0.29389,0.00000,0.00000,-0.18600,0.30568,2.90309
3.0,2.57749,0.00000,2.50035,-4.27796,-3.93192e+00,0.36812,0.00000,0.00000,-0.24237,0.11535,2.90309
4.0,1.30804,0.00000,2.39942,-3.95878,-3.26895e+00,0.54096,0.00000,0.00000,-0.37775,0.17011,2.90309
5.0,-0.04710,-0.20275,2.65091,-3.60499,-2.61654e+00,1.02323,0.00000,0.00000,-0.72496,0.10445,2.90309
6.0,-1.49594,-0.28711,2.85405,-3.24233,-2.13559e+00,1.22059,0.00000,0.00000,-0.85815,-0.11454,2.90309
7.5,-2.80730,-0.36040,3.06036,-2.91976,-1.93128e+00,1.58094,0.00000,0.00000,-1.13061,-0.24464,2.90309
9.0,-3.71179,-0.35904,3.19240,-2.67477,-2.34210e+00,1.53943,0.00000,0.00000,-1.09692,-0.25564,2.90309
10.0,-4.40444,-0.45034,3.37496,-2.46893,-2.62484e+00,1.43970,0.00000,0.00000,-1.03320,-0.35481,2.90309
12.0,-4.69809,-0.45904,3.38494,-2.36026,-2.70534e+00,1.44834,0.00000,0.00000,-1.03625,-0.43962,2.90309
15.0,-4.70564,-0.45613,3.38350,-2.35103,-2.79471e+00,1.43958,0.00000,0.00000,-1.03008,-0.43391,2.90309
