#Rhyp <= hx: ln Y = c0 + c1*(M-6)**2 + c2*(M-6) + (c3*hx +  c4*(log10(Rhyp)-hx)) + (d0 + d1*log10(h)**3 + d2*log10(h)**2 + d3*log10(h))
T, c0, c1, c2, c3, c4, d0, d1, d2, d3, hx
0.067,7.45089,-0.20017,1.55812,-5.89181,-1.54625e+01,-2.00812,0.00000,0.00000,1.24873,3.00000
0.1,7.62043,-0.23143,1.54719,-5.96475,-1.45048e+01,-2.00900,0.00000,0.00000,1.24912,3.00000
0.15,8.54400,-0.20956,1.47962,-6.33254,-1.34511e+01,-2.11195,0.00000,0.00000,1.33440,3.00000
0.2,9.35697,-0.20979,1.44104,-6.63128,-1.25613e+01,-1.72332,0.00000,0.00000,1.08537,3.00000
0.3,9.83281,-0.23508,1.57475,-6.83034,-1.19784e+01,-1.50497,0.00000,0.00000,0.95592,3.00000
0.4,9.11274,-0.32228,1.77800,-6.60906,-1.17575e+01,-1.54447,0.00000,0.00000,0.99297,3.00000
0.5,8.36662,-0.37953,1.74865,-6.35060,-1.10905e+01,-1.35225,0.00000,0.00000,0.87876,3.00000
0.75,7.19471,-0.32756,1.67498,-5.97701,-1.00711e+01,-1.20545,0.00000,0.00000,0.79570,3.00000
1.0,6.23130,-0.50519,1.97491,-5.76166,-8.49412e+00,-1.39892,0.00000,0.00000,0.94698,3.00000
1.25,5.74540,-0.41629,1.83891,-5.63744,-7.20235e+00,-1.33912,0.00000,0.00000,0.89257,3.00000
1.5,5.71078,-0.37651,1.75701,-5.68055,-6.00849e+00,-1.31435,0.00000,0.00000,0.87773,3.00000
1.75,4.97554,-0.43660,1.83397,-5.48033,-4.90355e+00,-1.45415,0.00000,0.00000,0.96398,3.00000
2.0,4.33824,-0.39667,1.79990,-5.27999,-4.53755e+00,-1.20466,0.00000,0.00000,0.79029,3.00000
2.5,2.93371,-0.47680,1.91480,-4.83955,-4.58329e+00,-0.99797,0.00000,0.00000,0.65466,3.00000
3.0,1.41709,-0.42874,2.00321,-4.37508,-5.00145e+00,-0.74921,0.00000,0.00000,0.49076,3.00000
4.0,0.07102,-0.21139,1.72435,-3.91901,-5.61335e+00,-0.21511,0.00000,0.00000,0.15406,3.00000
5.0,-1.55665,-0.26251,1.84987,-3.41708,-5.48771e+00,-0.05756,0.00000,0.00000,0.06730,3.00000
7.5,-3.46591,-0.51783,2.49894,-2.95570,-4.69134e+00,0.79829,0.00000,0.00000,-0.48725,3.00000
9.5,-4.46706,-0.20505,2.16009,-2.68483,-4.13127e+00,1.39315,0.00000,0.00000,-0.84943,3.00000
10.0,-5.35941,-0.16490,2.09529,-2.42176,-2.89302e+00,1.40958,0.00000,0.00000,-0.86169,3.00000
