#log10 Y = c0 + c1*(M-6)**2 + c2*(M-6) - c3*log10(Rhyp) - c4*(Rhyp)
T, c0, c1, c2, c3, c4
0.1,0.88387,0.01441,0.76747,1.48703,3.77739e-04
0.2,1.37304,0.00778,0.81016,1.62975,3.25126e-04
0.3,1.67741,-0.02157,0.82746,1.72339,3.40432e-04
0.4,1.83487,-0.05892,0.83765,1.77131,3.14019e-04
0.5,2.02959,-0.07020,0.86865,1.86218,2.61962e-04
0.6,2.27167,-0.05507,0.90674,2.00017,1.79510e-04
0.7,2.39866,-0.05774,0.92631,2.08928,1.08084e-04
0.8,2.37763,-0.07486,0.93971,2.09563,5.84188e-05
0.9,2.33986,-0.08759,0.95455,2.10399,4.83577e-05
1.0,2.33284,-0.08093,0.99557,2.11930,5.38792e-05
1.25,2.28886,-0.10175,1.02802,2.12455,3.34268e-05
1.5,2.21808,-0.12393,1.07183,2.12376,3.30266e-05
1.75,2.12591,-0.14079,1.11262,2.13097,-7.97966e-07
2.0,1.98697,-0.17312,1.12299,2.11188,-2.17851e-05
2.5,1.84007,-0.17908,1.18552,2.08718,-4.28385e-05
3.0,1.51602,-0.20941,1.17753,2.04479,-2.93174e-05
4.0,1.06449,-0.17561,1.24717,1.88246,2.75024e-05
5.0,0.42542,-0.20605,1.21195,1.76693,1.89388e-05
7.5,-0.00843,-0.20957,1.24532,1.66836,1.01263e-04
10.0,-0.26022,-0.23284,1.27691,1.72004,-3.06452e-05
