#log Y = c0 + c1*(M-6)**2 + c2*(M-6) - c3*log Rhyp - c4*Rhyp
T, c0, c1, c2, c3, c4
0.1,0.84110,0.00919,0.76510,1.46160,3.91371e-04
0.2,1.31840,0.00187,0.80200,1.59073,3.46976e-04
0.3,1.57270,-0.03002,0.81035,1.67279,3.64299e-04
0.4,1.81999,-0.05485,0.83778,1.76306,3.24380e-04
0.5,2.02548,-0.05578,0.86564,1.86383,2.60062e-04
0.6,2.19181,-0.06630,0.89604,1.95649,2.05686e-04
0.7,2.31918,-0.05683,0.91082,2.03898,1.40979e-04
0.8,2.35743,-0.07353,0.93891,2.08358,7.60952e-05
0.9,2.30209,-0.07962,0.95668,2.08200,7.42726e-05
1.0,2.28092,-0.08596,0.97833,2.08499,7.70136e-05
1.25,2.23512,-0.09107,1.01993,2.09651,5.42250e-05
1.5,2.17642,-0.12938,1.07037,2.10477,4.33677e-05
1.75,2.06067,-0.13622,1.09454,2.09905,1.47248e-05
2.0,1.96011,-0.15680,1.11738,2.10011,-2.04471e-05
2.5,1.81001,-0.19035,1.16698,2.08398,-4.16323e-05
3.0,1.45270,-0.20249,1.18996,1.98824,2.37872e-07
4.0,1.06316,-0.20133,1.21445,1.91278,-6.95528e-07
5.0,0.63187,-0.18177,1.22793,1.81178,6.29127e-06
7.5,0.17483,-0.19993,1.23966,1.77123,6.50580e-05
10.0,-0.11612,-0.26699,1.25304,1.74382,-1.37091e-05
