FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid--5708c50e_170e4f7b976_-3289,654256,109.86,89.16,0.3939,14.0344,Sutton; NSW.,,,FINL,2015-11-20T10:10:52,ga2015wupqvl,2015-11-20T10:13:17,-35.1447,149.2456,,,1.15,,,,,,,,,1236069,2015-11-19T20:01:35,0.89,15,1.15,ML,8.1342,5.4439,AUST,0.4437,9
earthquakes.fid--5708c50e_170e4f7b976_-3288,652588,172.88,95.63,0,0,Near Murrumbateman; NSW.,,,FINL,2014-11-19T10:40:03,ga2014wsnwck,2014-11-19T10:42:50,-35.0225,149.1116,,,1.18,,,,,,,,,1083444,2014-11-18T16:58:24,1.99,7,1.18,ML,20.9349,13.1425,AUST,0.5259,5
earthquakes.fid--5708c50e_170e4f7b976_-3287,651475,230.64,64.43,10,0,Gunning; NSW.,,,FINL,2014-03-12T11:01:05,ga2014expspp,2014-03-12T11:23:52,-34.774,149.2865,,,1.26,,,,,,,,,893838,2014-03-11T12:22:33,0.73,8,1.26,ML,7.8496,2.3341,AUST,0.583,5
earthquakes.fid--5708c50e_170e4f7b976_-3286,651319,181.83,242.63,0,1.5924,Oolong; NSW.,,,FINL,2014-02-10T10:25:08,ga2014cqlado,2014-02-10T10:26:45,-34.7675,149.1944,,,1.29,,,,,,,,,880919,2014-02-07T06:36:23,0.02,6,1.29,ML,0.4177,0.0883,AUST,0.2795,4
earthquakes.fid--5708c50e_170e4f7b976_-3285,654413,204.12,177.81,9.3961,11.6153,SW of Goulburn; NSW.,,,FINL,2016-01-08T10:30:56,ga2015ztlvip,2016-01-08T10:32:03,-34.8355,149.6798,,,1.31,,,,,,,,,1259505,2015-12-31T16:50:44,1.91,13,1.31,ML,14.9514,8.3656,AUST,0.3835,7
earthquakes.fid--5708c50e_170e4f7b976_-3284,651106,269.15,175.75,12.7472,2.2797,N of Boorowa; NSW.,,,FINL,2013-12-20T15:41:08,ga2013yxewhy,2013-12-20T15:42:15,-34.1406,148.6728,,,1.31,,,,,,,,,858274,2013-12-19T13:42:12,0.48,7,1.31,ML,4.2794,2.6776,AUST,0.0806,4
earthquakes.fid--5708c50e_170e4f7b976_-3283,654261,160.24,73.45,0,0,Yass area; NSW.,,,FINL,2015-11-23T10:25:06,ga2015wxsvve,2015-11-23T10:34:33,-34.9103,148.878,,,1.32,,,,,,,,,1237298,2015-11-21T12:51:19,0.99,14,1.32,ML,10.8904,5.4137,AUST,0.6137,7
earthquakes.fid--5708c50e_170e4f7b976_-3282,653608,205.97,79.25,0,0,Near Gundaroo; NSW.,,,FINL,2015-05-25T10:15:06,ga2015jylxmf,2015-05-25T10:19:54,-35.006,149.3553,,,1.33,,,,,,,,,1164879,2015-05-21T19:13:48,3.76,5,1.33,ML,54.1014,15.4375,AUST,0.1988,4
earthquakes.fid--5708c50e_170e4f7b976_-3281,650400,197.42,240.26,0,0,Near Gunning; NSW.,,,FINL,2013-06-24T10:25:01,ga2013mdowfs,2013-06-24T10:31:33,-34.8504,149.0659,,,1.33,,,,,,,,,777349,2013-06-21T21:57:58,0.01,5,1.33,ML,0.3356,0.086,AUST,0.6106,3
earthquakes.fid--5708c50e_170e4f7b976_-3280,651204,234.6,238.96,3.2236,0.0742,Dalton; NSW.,,,FINL,2014-01-17T10:55:05,ga2014bcxcqy,2014-01-17T10:57:41,-34.6363,149.2268,,,1.36,,,,,,,,,870123,2014-01-16T17:42:21,0.02,7,1.36,ML,0.4681,0.0955,AUST,0.8876,5
