#Rhyp <= hx: ln Y = c0 + c1*(M-6)**2 + c2*(M-6) + (c3*hx +  c4*(log10(Rhyp)-hx)) + (d0 + d1*log10(h)**3 + d2*log10(h)**2 + d3*log10(h))
T, c0, c1, c2, c3, c4, d0, d1, d2, d3, hx
0.67,19.58614,-1.27268,2.02093,-10.50279,-9.64584e+00,-0.41026,-0.00000,-0.00000,0.92272,3.00000
0.1,19.44896,-0.51870,1.90258,-10.08785,-7.62164e+00,-2.58500,-0.00000,-0.00000,1.40459,3.00000
0.15,18.95311,0.02782,1.35832,-9.92314,-7.16534e+00,-2.71380,-0.00000,-0.00000,1.47595,3.00000
0.2,18.61911,-0.03376,0.97416,-9.91593,-7.80823e+00,-1.91860,-0.00000,-0.00000,1.29942,3.00000
0.3,18.94231,-0.34703,1.50061,-9.91743,-9.19865e+00,-1.78427,-0.00000,-0.00000,0.99609,3.00000
0.4,19.35324,-0.43293,1.83187,-10.21820,-1.08597e+01,-1.35853,-0.00000,-0.00000,1.05098,3.00000
0.5,19.80000,-0.39542,1.83540,-10.28807,-1.09632e+01,-1.29589,-0.00000,-0.00000,0.89401,3.00000
0.75,20.32553,-0.42450,1.73327,-10.38727,-9.61245e+00,-1.42901,-0.00000,-0.00000,0.80198,3.00000
1.0,20.79175,-0.21864,1.56356,-10.68116,-8.16353e+00,-1.37615,-0.00000,-0.00000,0.90555,3.00000
1.25,21.22862,-0.18352,1.58773,-10.92299,-7.22407e+00,-1.24444,-0.00000,-0.00000,0.87304,3.00000
1.5,21.35746,-0.28990,1.74087,-11.01737,-6.22721e+00,-1.22884,-0.00000,-0.00000,0.82792,3.00000
1.75,20.70527,-0.28169,1.77652,-10.85899,-5.15517e+00,-1.31758,-0.00000,-0.00000,0.89058,3.00000
2.0,19.31385,-0.30012,1.80649,-10.46893,-4.45432e+00,-1.04040,-0.00000,-0.00000,0.78718,3.00000
2.5,17.33927,-0.35712,1.86439,-9.72886,-4.04473e+00,-1.20446,-0.00000,-0.00000,0.66752,3.00000
3.0,14.97591,-0.39166,1.90816,-9.04336,-3.84459e+00,-0.85912,-0.00000,-0.00000,0.56981,3.00000
4.0,12.27972,-0.34532,1.96997,-8.20528,-3.47216e+00,-0.22096,-0.00000,-0.00000,0.22596,3.00000
5.0,9.61535,-0.31817,2.08576,-7.31666,-2.80045e+00,-0.25481,-0.00000,-0.00000,0.16517,3.00000
7.5,6.83576,-0.02414,1.51536,-6.50882,-1.93538e+00,0.32336,0.00000,0.00000,-0.09263,3.00000
9.5,4.85389,0.58642,1.04751,-5.95046,-1.27956e+00,1.00044,0.00000,0.00000,-0.45285,3.00000
10.0,4.10251,1.24882,0.91254,-5.45675,-6.98111e-01,0.30288,0.00000,0.00000,-0.59168,3.00000
