,ORIGIN_TIME,EQLO,EQLA,DEPTH,LOCSRC,ML,MW,MW_SRC,STA,STLO,STLA,REPI,AZIM,SAMPLE_RATE,FILE_NAME
0,1990-01-17T06:38:08.000000Z,116.99,-31.72,6,MGO,5.5,5.3,ML2MW,DOW,116.982,-31.01,78.7,359.4,200,1990-01-17T06.38.AU.DOW.A.mseed
2,1990-05-08T18:40:56.000000Z,117.102,-30.779,3,MGO,4.5,4.4,ML2MW,DOW,116.982,-31.01,28.1,204.1,200,1990-05-08T18.40.AU.DOW.A.mseed
3,1994-04-26T15:49:39.000000Z,118.481,-30.605,5,MGO,4.1,4.06,ML2MW,NWAO,117.239,-32.9277,283.1,204.2,20,1994-04-26T15.47.IU.NWAO.mseed
5,1994-09-04T13:01:28.000000Z,124.253,-30.688,5,AGSO,4.3,4.23,ML2MW,STKA,141.5952,-31.8769,1654.8,99.1,20,1994-09-04T13.01.AU.STKA.mseed
6,1994-09-04T13:01:28.000000Z,124.253,-30.688,5,AGSO,4.3,4.23,ML2MW,NWAO,117.239,-32.9277,708.9,247.7,20,1994-09-04T12.59.IU.NWAO.mseed
9,1995-07-31T15:48:56.000000Z,117.103,-30.786,5,MGO,3.5,3.59,ML2MW,NWAO,117.239,-32.9277,237.8,176.9,20,1995-07-31T15.46.IU.NWAO.mseed
11,1996-03-29T05:41:41.000000Z,117.673,-31.444,3.7,MGO,3,3.21,ML2MW,NWAO,117.239,-32.9277,169.5,193.9,20,1996-03-29T05.39.IU.NWAO.mseed
13,1996-05-02T00:43:33.000000Z,117.665,-31.444,3.5,MGO,3,3.21,ML2MW,NWAO,117.239,-32.9277,169.4,193.6,20,1996-05-02T00.41.IU.NWAO.mseed
16,1996-06-21T14:56:59.000000Z,117.057,-31.56,5.6,MGO,4.1,4.06,ML2MW,NWAO,117.239,-32.9277,152.6,173.6,20,1996-06-21T14.54.IU.NWAO.mseed
18,1996-08-19T08:00:18.000000Z,117.669,-31.46,1,MGO,3,3.21,ML2MW,NWAO,117.239,-32.9277,167.7,193.9,20,1996-08-19T07.58.IU.NWAO.mseed
21,1996-11-16T06:21:38.000000Z,117.685,-31.454,3.2,MGO,3.3,3.43,ML2MW,NWAO,117.239,-32.9277,168.7,194.3,20,1996-11-16T06.19.IU.NWAO.mseed
23,1997-03-27T03:52:35.000000Z,117.679,-31.468,5,MGO,3.2,3.36,ML2MW,NWAO,117.239,-32.9277,167.1,194.3,20,1997-03-27T03.50.IU.NWAO.mseed
25,1997-03-27T06:14:18.000000Z,117.673,-31.475,5,MGO,3.3,3.43,ML2MW,NWAO,117.239,-32.9277,166.2,194.1,20,1997-03-27T06.12.IU.NWAO.mseed
27,1997-03-27T16:58:19.000000Z,117.678,-31.484,5,MGO,3,3.21,ML2MW,NWAO,117.239,-32.9277,165.4,194.4,20,1997-03-27T16.56.IU.NWAO.mseed
29,1997-04-24T20:12:18.000000Z,117.673,-31.461,1.4,MGO,3.2,3.36,ML2MW,NWAO,117.239,-32.9277,167.7,194,20,1997-04-24T20.10.IU.NWAO.mseed
33,1997-08-31T15:23:50.000000Z,117.684,-31.449,5,MGO,4.6,4.49,ML2MW,STKA,141.5952,-31.8769,2263.6,97.5,20,1997-08-31T15.23.AU.STKA.mseed
34,1997-08-31T15:23:50.000000Z,117.684,-31.449,5,MGO,4.6,4.49,ML2MW,NWAO,117.239,-32.9277,169.3,194.2,20,1997-08-31T15.21.IU.NWAO.mseed
37,1997-08-31T15:50:31.000000Z,117.679,-31.453,5,MGO,3.6,3.66,ML2MW,NWAO,117.239,-32.9277,168.7,194.1,20,1997-08-31T15.48.IU.NWAO.mseed
40,1997-09-03T05:12:54.000000Z,117.672,-31.45,5,MGO,4.2,4.15,ML2MW,NWAO,117.239,-32.9277,168.9,193.9,20,1997-09-03T05.10.IU.NWAO.mseed
42,1997-09-12T00:08:20.000000Z,117.669,-31.446,5,MGO,3.7,3.74,ML2MW,NWAO,117.239,-32.9277,169.2,193.7,20,1997-09-12T00.06.IU.NWAO.mseed
45,1998-03-13T06:57:33.000000Z,122.182,-31.465,5,MGO,3.7,3.74,ML2MW,NWAO,117.239,-32.9277,493.4,249.5,20,1998-03-13T06.55.IU.NWAO.mseed
48,1998-03-22T17:53:44.000000Z,122.164,-31.516,5,MGO,4,3.98,ML2MW,NWAO,117.239,-32.9277,489.9,250.1,20,1998-03-22T17.51.IU.NWAO.mseed
53,1998-06-07T22:42:56.000000Z,117.683,-31.464,5,MGO,3.6,3.66,ML2MW,NWAO,117.239,-32.9277,167.6,194.3,20,1998-06-07T22.40.IU.NWAO.mseed
55,1998-06-10T13:31:03.000000Z,117.671,-31.475,1,MGO,3,3.21,ML2MW,NWAO,117.239,-32.9277,166.2,194.1,20,1998-06-10T13.29.IU.NWAO.mseed
57,1998-06-12T12:28:37.000000Z,117.673,-31.459,2,MGO,3.4,3.51,ML2MW,NWAO,117.239,-32.9277,167.9,194,20,1998-06-12T12.26.IU.NWAO.mseed
60,2000-09-22T06:04:48.000000Z,117.058,-30.526,1.1,AUST,3.6,3.66,ML2MW,RKGY,116.9773,-34.6094,452.9,180.9,40,2000-09-22T06.04.AU.RKGY.mseed
66,2000-09-25T15:50:13.000000Z,117.102,-30.626,0.6,AUST,3.5,3.59,ML2MW,RKGY,116.9773,-34.6094,441.9,181.5,40,2000-09-25T15.50.AU.RKGY.mseed
67,2001-09-28T02:54:56.000000Z,117.061,-30.536,2.3,AUST,5.2,5.02,ML2MW,RKGY,116.9773,-34.6094,451.8,181,40,2001-09-28T02.54.AU.RKGY.mseed
71,2001-09-28T02:54:56.000000Z,117.061,-30.536,2.3,AUST,5.2,5.02,ML2MW,NWAO,117.239,-32.9277,265.7,176.4,80,2001-09-28T02.52.IU.NWAO.mseed
73,2001-09-28T03:00:14.000000Z,117.009,-30.488,0.6,AUST,3.5,3.59,ML2MW,NWAO,117.239,-32.9277,271.4,175.5,80,2001-09-28T02.58.IU.NWAO.mseed
74,2001-09-28T03:00:14.000000Z,117.009,-30.488,0.6,AUST,3.5,3.59,ML2MW,RKGY,116.9773,-34.6094,457.1,180.4,40,2001-09-28T03.00.AU.RKGY.mseed
77,2001-10-01T04:52:15.000000Z,117.049,-30.525,0.4,AUST,3.8,3.67,Allen et al. (2006),RKGY,116.9773,-34.6094,453,180.8,40,2001-10-01T04.52.AU.RKGY.mseed
80,2001-10-01T04:52:15.000000Z,117.049,-30.525,0.4,AUST,3.8,3.67,Allen et al. (2006),CA4,117.0929,-30.6508,14.6,163.2,100,2001-10-01T04.52.AU.CA4.V.mseed
