STA,STLO,STLA,M17,WA07,Kea15
ARPS,141.838,-36.770,270.0,926.0,nan
AS31,133.904,-23.666,760.0,574.0,nan
AUALB,117.905,-34.999,360.0,578.0,nan
AUBUS,115.383,-33.660,360.0,322.0,nan
AUCAS,135.722,-34.264,360.0,301.0,nan
AUHAR,115.891,-33.093,360.0,351.0,nan
AUJCS,138.610,-33.205,270.0,498.0,nan
AUKAL,121.479,-30.764,270.0,472.0,nan
AUMAZ,116.038,-32.007,560.0,926.0,nan
BBOO,136.056,-32.810,760.0,331.0,nan
BK1,116.997,-30.520,760.0,515.0,nan
BK24,129.102,-19.500,360.0,342.0,nan
BK25,129.102,-20.000,360.0,403.0,nan
BK26,129.102,-20.500,360.0,232.0,nan
BK27,129.102,-21.000,270.0,339.0,nan
BK29,129.202,-22.000,270.0,238.0,nan
BK3,117.296,-30.244,360.0,417.0,nan
BK30,129.202,-22.500,360.0,222.0,nan
BK31,129.102,-23.000,360.0,271.0,nan
BK32,129.102,-23.500,270.0,235.0,nan
BK33,129.102,-24.000,270.0,308.0,nan
BK34,129.102,-24.500,270.0,257.0,nan
BK4,117.103,-30.474,1100.0,432.0,nan
BK5,117.122,-30.519,760.0,514.0,565.0
BK6,117.085,-30.516,760.0,545.0,nan
BK7,117.181,-30.460,360.0,315.0,nan
BK8,117.220,-30.580,360.0,449.0,nan
BK9,116.981,-30.630,560.0,409.0,nan
BL25,129.500,-20.000,360.0,341.0,nan
BL26,129.500,-20.500,360.0,275.0,nan
BL27,129.500,-21.000,270.0,293.0,nan
BL28,129.500,-21.500,360.0,310.0,nan
BL29,129.500,-22.000,270.0,257.0,nan
BL30,129.500,-22.500,360.0,226.0,nan
BL31,129.500,-23.000,270.0,240.0,nan
BL32,129.500,-23.500,360.0,293.0,nan
BL33,129.500,-24.000,270.0,310.0,nan
BL34,129.500,-24.500,270.0,233.0,nan
BLDU,116.709,-30.612,760.0,418.0,nan
BM25,130.000,-20.000,360.0,276.0,nan
BM26,130.000,-20.500,360.0,299.0,nan
BM27,130.000,-21.000,560.0,239.0,nan
BM28,130.000,-21.500,360.0,264.0,nan
BM29,130.000,-22.000,360.0,294.0,nan
BM30,130.000,-22.500,360.0,258.0,nan
BM31,130.000,-23.000,270.0,240.0,nan
BM32,130.000,-23.500,360.0,311.0,nan
BM33,130.000,-24.000,270.0,462.0,nan
BM34,130.000,-24.500,270.0,238.0,nan
BN24,130.500,-19.500,360.0,238.0,nan
BN25,130.500,-20.000,360.0,304.0,nan
BN26,130.500,-20.500,360.0,270.0,nan
BN27,130.500,-21.000,360.0,334.0,nan
BN28,130.500,-21.500,360.0,231.0,nan
BN29,130.500,-22.000,760.0,311.0,nan
BN30,130.500,-22.500,360.0,240.0,nan
BN31,130.500,-23.000,270.0,237.0,nan
BN32,130.500,-23.500,270.0,417.0,nan
BN33,130.500,-24.000,270.0,428.0,nan
BN34,130.500,-24.500,270.0,406.0,nan
BO24,131.000,-19.500,270.0,231.0,nan
BO25,131.000,-20.000,270.0,337.0,nan
BO26,131.000,-20.500,360.0,268.0,nan
BO29,131.000,-22.000,360.0,285.0,nan
BO30,131.000,-22.500,270.0,257.0,nan
BO31,131.012,-23.000,270.0,228.0,nan
BO32,131.000,-23.500,760.0,825.0,nan
BO33,131.000,-24.000,270.0,345.0,nan
BO34,131.000,-24.500,760.0,339.0,nan
BP24,131.500,-19.500,270.0,227.0,nan
BP25,131.500,-20.000,360.0,235.0,nan
BP26,131.500,-20.500,360.0,245.0,nan
BP27,131.500,-21.000,360.0,225.0,nan
BP29,131.500,-22.000,360.0,267.0,nan
BP31,131.470,-23.000,270.0,248.0,nan
BP33,131.500,-24.000,270.0,263.0,nan
BP34,131.500,-24.500,270.0,258.0,nan
BQ24,132.000,-19.500,360.0,402.0,nan
BQ25,132.000,-20.000,270.0,227.0,nan
BQ26,132.000,-20.500,270.0,222.0,nan
BQ27,132.000,-21.000,360.0,315.0,nan
BQ29,132.000,-22.000,360.0,244.0,nan
BQ31,132.000,-23.000,270.0,232.0,nan
