FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid--718ebb5a_177845ae793_5ceb,673329,19.20011902,67.12261963,10,0,Offshore Northern WA; Indian Ocean,2021-01-30T03:47:55.945,manual,reviewed,2021-01-29T19:50:30.191,ga2021caxsis,2021-02-09T02:46:16.158,-13.95501137,121.8011627,5.7657236,,5.10898106,,5.57672926,,5.59364383,5.41767342,4.00025702,92.44519806,4.000257015,20210209024407.275672.89188,2021-01-29T19:47:55.945,0.07771418,177,5.57672926,Mw,3.02449179,2.17347384,GA,1.27704268,175
earthquakes.fid--718ebb5a_177845ae793_5cec,466203,0,,5,,BROOME; 98 KM E,,,FINL,2008-04-15T13:58:11,ga1997reuzci,2009-12-15T10:33:09,-18.116,123.138,4.3,,4.5,,,,,,,,,1610609,1997-09-01T09:48:37,,0,4.5,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5ced,441758,142.44,,22.8,,Burra; 33 kms E Clare S.A. Felt widely in South Australian northern areas.,,,FINL,2008-04-08T18:36:20,ga1997emdexg,2009-12-15T10:24:15,-33.823,138.972,4.8,,5,4.1,,,,,,,,1177575,1997-03-05T06:15:21,,0,5,mb,,,,2.0856,0
earthquakes.fid--718ebb5a_177845ae793_5cee,426264,267.06,,11,,Mt. Baw Baw/ Thomson Dam region Victoria. Felt over a 180 km radius.,,,FINL,2008-04-17T22:42:26,ga1996syoevi,2009-12-15T10:24:10,-37.877,146.467,4.7,,5,,,,,,,,,1175431,1996-09-25T07:49:56,,0,5,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cef,422889,75.3,,2,,The epicentre was about 80 km north of Whitecliffs in western NSW. It was felt strongly at nearby homesteads such as 'The Range' and as far as Bourke. A number of aftershocks were recorded and a field party of Malcolm Somerville and Tony Corke installed 5 seismographs in the epicentral region on the following weekend.,,,FINL,2008-04-17T13:58:46,ga1996pxjivq,2009-12-15T10:21:49,-30.08,143.519,4.9,,5.1,4.2,,,,,,,,1056289,1996-08-13T04:30:10,,0,5.1,mb,,,,2.7526926,0
earthquakes.fid--718ebb5a_177845ae793_5cf0,417157,0,,9,,,,,FINL,2008-04-07T10:45:23,ga1996lhvpsr,2009-12-15T10:31:29,-34.1658,135.8155,4.5,,,,,,,,,,,1520359,1996-06-09T01:43:10,,0,4.5,mb,,,,3.0263,0
earthquakes.fid--718ebb5a_177845ae793_5cf1,391996,0,,5,,,,,FINL,2008-04-21T22:20:27,ga1995qscxso,2009-12-15T10:28:44,-23.7538,112.1831,4.6,,,,,,,,,,,1391338,1995-08-25T11:50:13,,0,4.6,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cf2,372127,271.01,,4,,Myrtle Springs SA.,,,FINL,2008-04-23T16:53:44,ga1994xyawid,2009-12-15T10:18:50,-30.357,137.952,4.6,,4,,,,,,,,,909537,1994-12-05T20:49:38,,0,4.6,mb,,,,1.27514885,0
earthquakes.fid--718ebb5a_177845ae793_5cf3,361847,100.02,,2,,Ellalong; NSW.  This was the largest earthquake in Australia in 1994. The total damage bill is in excess of $40M.,,,FINL,2008-04-23T21:39:01,ga1994pjepaz,2009-12-15T10:18:50,-32.924,151.288,5.3,,5.3,,,,,,,,,909500,1994-08-06T11:03:51,,0,5.3,mb,,,,1.88307026,0
earthquakes.fid--718ebb5a_177845ae793_5cf4,350138,211.11,,33,,,,,FINL,2008-04-03T18:27:44,ga1993zjmeba,2009-12-15T10:21:26,-12.451,124.084,4.7,,,,,,,,,,,1037643,1993-12-26T06:16:05,,0,4.7,mb,,,,3.1486253,0
earthquakes.fid--718ebb5a_177845ae793_5cf5,350137,32.64,,33,,,,,FINL,2008-04-03T18:27:45,ga1993zjmeaz,2009-12-15T10:24:08,-12.4661,124.0828,4.5,,,,,,,,,,,1173816,1993-12-26T06:16:05,,0,4.5,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cf6,316440,135.62,,33,,,,,FINL,2008-04-30T11:44:21,ga1992qyezjq,2009-12-15T10:16:54,-12.705,123.685,4.9,,,,,,,,,,,813695,1992-08-27T19:19:20,,0,4.9,mb,,,,4.7950713,0
