MAG,DIST,PGV (cm/s)
4.50,450,0.00094420412275
4.50,100,0.0117021429065
5.00,390,0.00812935233869
5.00,90,0.0392457965715
4.50,330,0.00188409765877
5.00,180,0.012525185655
4.50,310,0.00266565476134
4.00,270,0.0010120829977
4.50,320,0.00549560892234
4.50,300,0.00827927064618
5.00,80,0.0396438495127
4.00,500,0.000318458143101
5.00,380,0.00361197719495
4.50,420,0.00143697363591
4.50,170,0.0106860658401
4.50,360,0.000780031488525
4.50,340,0.00240135140437
4.00,200,0.00248740371125
4.50,370,0.00113230523615
4.50,350,0.00118225512354
4.50,180,0.00727768431256
5.00,30,0.519460461209
5.00,100,0.0105367879132
5.00,450,0.00122867641814
5.00,470,0.0012879158544
5.00,120,0.0540177476684
5.00,110,0.0254880427416
5.00,440,0.00192717345317
5.00,460,0.0026812622308
4.50,380,0.0010831759606
5.00,130,0.033003012383
4.50,190,0.0129643619164
5.00,300,0.00955820506833
4.50,480,0.00125741621443
5.00,40,0.307928593766
5.00,400,0.0037337496412
5.00,150,0.0111463334455
5.00,170,0.0304109021143
5.00,420,0.00462406708139
4.00,280,0.00131406218962
4.00,290,0.000359517602188
5.00,410,0.00333875765388
5.00,140,0.0376261013837
5.00,160,0.114133107823
5.00,430,0.00425184721247
4.50,490,0.000700273489692
5.00,370,0.00592392797822
4.00,420,0.00014253610036
4.00,170,0.0101028464852
4.00,150,0.00620830801271
4.00,400,0.000260548904494
5.00,280,0.00663462259762
4.50,220,0.00772117627986
4.50,200,0.00746715227437
4.50,230,0.00231625249955
4.50,210,0.00285162901354
4.00,350,0.000321926050833
5.00,290,0.00541930916234
4.00,430,0.00039536508622
4.00,160,0.00399826730249
4.00,140,0.00328160149382
4.00,410,0.000264045044972
4.00,120,0.003741342816
4.00,470,0.000126998998184
4.00,90,0.00471413376983
4.00,450,0.000249018092943
4.00,100,0.0045405195378
4.50,270,0.00428007445603
4.50,250,0.00791019747813
4.50,260,0.0055918513079
4.50,240,0.00571621473028
4.00,320,0.000537142230271
4.50,500,0.000259331305023
4.00,130,0.0138739263657
4.00,80,0.00681566255372
4.00,460,0.000100418508227
4.00,440,0.000128845372688
4.00,110,0.00379286934053
4.50,60,0.0522397027123
4.50,40,0.0274035975179
4.00,480,0.000153061172051
5.00,220,0.0390224473929
4.50,70,0.0506538374928
