EV,MW,DIST,WA_AMP
0,2.0,39.1,0.0777419338601
0,2.0,141.1,0.00732000418126
0,2.0,23.3,0.0947811612516
1,2.0,26.0,0.058403412322
1,2.0,65.9,0.0141521783236
1,2.0,15.3,0.365722047136
1,2.0,110.0,0.00471042153046
1,2.0,25.6,0.045236735625
1,2.0,84.0,0.00671598658028
1,2.0,352.1,0.00127718391276
2,2.0,16.8,0.213532193802
2,2.0,37.8,0.0608926283834
2,2.0,42.5,0.0246102256087
2,2.0,32.8,0.0406370631555
2,2.0,46.2,0.037425545565
2,2.0,104.1,0.00522017400841
2,2.0,94.6,0.0172663600638
2,2.0,79.0,0.0184199842626
2,2.0,158.2,0.0185615133736
2,2.0,12.4,0.378607709734
2,2.0,148.3,0.0183393046466
3,2.05,93.6,0.0123069417057
3,2.05,97.8,0.0417142657782
3,2.05,15.7,0.115174329446
3,2.05,21.6,0.0538957703614
3,2.05,14.8,0.333786773353
3,2.05,45.4,0.0385298638994
3,2.05,208.2,0.00983853180608
3,2.05,17.5,0.154130790109
3,2.05,442.4,0.000550829247475
4,2.05,44.9,0.0169691054641
4,2.05,27.9,0.0611689797413
4,2.05,46.0,0.0670437367908
4,2.05,60.4,0.00726553952963
4,2.05,141.9,0.00870935660559
4,2.05,63.3,0.0230713953491
4,2.05,91.7,0.0194071136389
4,2.05,19.1,0.155274011309
4,2.05,17.2,0.075930753494
4,2.05,43.5,0.0963474358257
5,2.05,76.4,0.037543325596
5,2.05,51.2,0.0508754834136
5,2.05,151.4,0.0196288236253
5,2.05,81.9,0.031701262503
5,2.05,51.6,0.0160499333918
5,2.05,70.1,0.0167430255677
5,2.05,76.0,0.00960050864578
5,2.05,61.4,0.0336154385852
6,2.1,62.6,0.0197152322351
6,2.1,12.6,0.259102436297
6,2.1,16.8,0.167431203305
6,2.1,60.9,0.0150992855645
6,2.1,45.8,0.0434815213635
7,2.1,19.3,0.230185368582
7,2.1,52.8,0.12233254959
7,2.1,23.6,0.159106474336
7,2.1,34.3,0.100060172633
7,2.1,86.9,0.00573825706143
7,2.1,12.2,0.122757685196
7,2.1,84.1,0.0193365609291
7,2.1,15.1,0.269746876954
7,2.1,18.4,0.528886740811
7,2.1,22.6,0.167336230856
8,2.1,190.9,0.00662814986859
8,2.1,24.4,0.0622705814102
8,2.1,19.8,0.256277783515
8,2.1,37.2,0.20573564818
8,2.1,76.3,0.0199732718561
8,2.1,40.3,0.0191255631263
8,2.1,67.3,0.00483833301373
8,2.1,41.7,0.0431526274246
9,2.15,30.0,0.115881743805
9,2.15,19.8,0.268359566503
9,2.15,10.7,0.505256335045
9,2.15,48.6,0.0469483441019
9,2.15,96.9,0.0414298327458
10,2.15,72.1,0.0151684128386
10,2.15,44.3,0.0889196504643
10,2.15,63.3,0.011906867376
10,2.15,65.9,0.0637146937564
10,2.15,21.5,0.434341586316
10,2.15,91.3,0.0176754454199
10,2.15,46.1,0.0500111119197
10,2.15,115.2,0.0116674745932
10,2.15,103.0,0.0116156393195
10,2.15,35.9,0.10801911489
10,2.15,25.9,0.0982032250508
10,2.15,111.2,0.0159695786604
11,2.15,38.5,0.0640673578705
11,2.15,10.2,1.70146023367
11,2.15,94.2,0.0160527338961
11,2.15,119.2,0.0101580034757
11,2.15,42.6,0.0463341042386
11,2.15,43.8,0.062660647537
12,2.2,241.4,0.00823074402905
12,2.2,97.1,0.0117498421568
12,2.2,33.9,0.147032859659
12,2.2,96.5,0.0429598476226
12,2.2,44.7,0.0707693912752
12,2.2,94.0,0.0184521995535
12,2.2,231.1,0.00916949627331
12,2.2,165.6,0.0112065497927
12,2.2,67.7,0.0236396886704
13,2.2,28.0,0.248820958174
13,2.2,47.6,0.0348086921804
13,2.2,50.8,0.0336111664451
13,2.2,129.1,0.0269076150352
13,2.2,62.6,0.0294481946262
13,2.2,24.5,0.294702310793
13,2.2,60.4,0.0641330072274
13,2.2,50.1,0.0688438995529
14,2.2,34.0,0.233383351621
14,2.2,39.3,0.198892861256
14,2.2,18.4,0.259974924031
14,2.2,28.7,0.142461997643
14,2.2,18.9,0.271760032952
14,2.2,42.5,0.0462731749671
14,2.2,61.7,0.0271991267396
14,2.2,189.8,0.0109169419361
14,2.2,13.3,0.77408916275
15,2.25,58.7,0.0969466192319
15,2.25,56.4,0.0641839474889
15,2.25,25.3,0.215082467575
15,2.25,94.7,0.0225421770273
15,2.25,15.4,0.172886612997
15,2.25,139.1,0.0116912062058
15,2.25,47.4,0.033524944091
15,2.25,98.8,0.0390972937864
15,2.25,68.7,0.0228908421748
15,2.25,27.5,0.211338003842
15,2.25,14.7,0.557656347173
16,2.25,23.4,0.143926626695
16,2.25,31.1,0.176532686775
16,2.25,45.8,0.056900485345
16,2.25,50.5,0.0907157246281
16,2.25,108.4,0.0337891421179
16,2.25,47.6,0.0518120722767
16,2.25,82.6,0.0331345532743
16,2.25,66.6,0.0752952672844
16,2.25,20.4,0.131943963524
16,2.25,17.2,0.770146884693
16,2.25,51.9,0.0420423880202
16,2.25,80.7,0.0507496446007
16,2.25,23.1,0.272329456581
17,2.25,46.4,0.137084824608
17,2.25,45.3,0.0640032354578
17,2.25,26.5,0.652060954579
17,2.25,107.1,0.0253741630565
17,2.25,125.1,0.0257568272596
17,2.25,138.2,0.0167895783631
18,2.3,86.8,0.0265166646259
18,2.3,98.6,0.0374925593946
18,2.3,134.2,0.0340666372212
18,2.3,91.7,0.0343891378914
18,2.3,227.5,0.00810176313356
18,2.3,148.4,0.0121970548884
18,2.3,121.9,0.027999154489
18,2.3,63.8,0.0175194374526
18,2.3,69.2,0.0682986741908
18,2.3,222.6,0.0205776997798
18,2.3,29.7,0.321552180776
18,2.3,91.5,0.0352540779292
18,2.3,27.8,0.334011531853
18,2.3,70.5,0.059556678136
18,2.3,13.4,0.467554143477
18,2.3,83.6,0.0258802492689
18,2.3,100.7,0.0163927504173
18,2.3,422.4,0.00342888416797
18,2.3,63.2,0.0356583690626
19,2.3,32.6,0.239112166265
19,2.3,132.2,0.0292594298139
19,2.3,39.5,0.292305128416
19,2.3,86.9,0.0500798631621
19,2.3,86.2,0.0432330274914
19,2.3,10.9,0.581743000431
19,2.3,45.7,0.113425647378
19,2.3,126.8,0.0291200783189
19,2.3,195.8,0.0101336081896
20,2.3,152.4,0.0246755158187
20,2.3,91.0,0.0455023725475
20,2.3,44.1,0.110011828338
20,2.3,27.0,0.576724334042
20,2.3,66.0,0.026407731922
20,2.3,259.0,0.00790549252958
20,2.3,265.3,0.00605902006677
20,2.3,41.6,0.0640096708832
20,2.3,99.8,0.0411907389899
20,2.3,50.7,0.0641734181658
20,2.3,54.5,0.0565085504305
20,2.3,162.3,0.0427334257799
20,2.3,26.1,0.372934245416
20,2.3,39.6,0.122292130322
20,2.3,45.6,0.0418836269103
21,2.35,26.8,0.456624641438
21,2.35,30.9,0.334984753754
21,2.35,19.6,0.696247776094
21,2.35,285.2,0.00496262197765
21,2.35,96.3,0.0584797998651
21,2.35,58.4,0.0877220277045
21,2.35,84.8,0.049472279964
21,2.35,34.4,0.387787629496
21,2.35,190.0,0.0107076075775
21,2.35,36.0,0.131672877969
21,2.35,92.3,0.0236285351617
21,2.35,175.9,0.0259308626059
22,2.35,190.5,0.0398371067055
22,2.35,51.6,0.120007788228
22,2.35,146.4,0.0255393194487
22,2.35,76.7,0.0823753755307
22,2.35,49.5,0.185353037656
22,2.35,121.2,0.00839349280074
22,2.35,27.5,0.388646620023
22,2.35,305.6,0.00852386109655
22,2.35,549.7,0.00118112052162
22,2.35,384.7,0.00321400974631
23,2.35,549.9,0.0011679664116
23,2.35,83.9,0.0279768440687
23,2.35,36.5,0.305644113067
23,2.35,11.2,1.04275448241
23,2.35,33.2,0.224317550744
23,2.35,84.6,0.0307641944053
23,2.35,111.7,0.0552779145577
23,2.35,34.2,0.128371494835
23,2.35,180.7,0.0327915100286
23,2.35,31.2,0.398431172666
23,2.35,163.8,0.043874169091
23,2.35,109.9,0.012492073557
23,2.35,89.6,0.0286055371664
23,2.35,28.8,0.254977957539
23,2.35,73.3,0.0355907372536
24,2.4,38.8,0.347257305936
24,2.4,134.3,0.0262238391782
24,2.4,30.6,0.289694914876
25,2.4,124.6,0.0433738818341
25,2.4,201.3,0.0181783700268
25,2.4,107.4,0.0591071042112
25,2.4,53.9,0.0314084147384
25,2.4,45.4,0.0826195779037
25,2.4,52.9,0.152826962968
25,2.4,143.1,0.085412555668
25,2.4,84.4,0.064590313343
25,2.4,198.3,0.010235691623
25,2.4,142.2,0.0561992377688
25,2.4,20.0,1.09655182723
25,2.4,230.7,0.0166356000526
26,2.4,126.3,0.0669034737351
26,2.4,382.3,0.00242686289988
26,2.4,29.9,0.27484047485
26,2.4,42.7,0.11139160871
26,2.4,143.4,0.0517837423189
26,2.4,113.1,0.0225359320513
26,2.4,184.8,0.0259750966909
26,2.4,24.8,0.302505855444
26,2.4,24.5,0.282052890755
26,2.4,31.3,0.16735358833
26,2.4,57.9,0.120981035864
26,2.4,79.9,0.0422122660997
26,2.4,13.2,1.28354869208
26,2.4,63.4,0.0633411365479
26,2.4,47.3,0.0742801080569
26,2.4,37.3,0.293471017288
26,2.4,18.7,1.47846559086
27,2.45,86.5,0.0262353828931
27,2.45,84.6,0.267313448949
27,2.45,64.9,0.0982360719295
27,2.45,96.5,0.0558733003152
27,2.45,29.6,0.206959837497
27,2.45,41.9,0.295608092141
27,2.45,88.2,0.0703313482985
27,2.45,22.9,0.336502359093
27,2.45,66.5,0.108877227076
28,2.45,219.9,0.0183890087586
28,2.45,18.9,1.10363552495
28,2.45,22.0,1.06604453159
28,2.45,17.8,1.00610906412
28,2.45,130.3,0.0491674684151
28,2.45,51.5,0.174010999117
28,2.45,41.3,0.244034976665
28,2.45,52.9,0.322642215966
28,2.45,45.7,0.230377485697
28,2.45,36.0,0.486947624151
29,2.45,106.3,0.0860822129272
29,2.45,76.6,0.0807102621862
29,2.45,40.2,0.354110570402
29,2.45,94.6,0.063028159885
