FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid--4c2f31a5_1803b3cb22b_-68ae,657800,18.86,68.17,17,0,New Guinea; PNG. (Reported felt).,,,FINL,2018-03-14T10:26:13,ga2018dyifwx,2018-03-14T10:27:48,-6.0984,142.7511,,,,,,,7.5,,,,,1624335,2018-02-25T17:44:42,0.23,101,7.5,Mwp,5.0435,4.5634,AUST,1.0457,101
earthquakes.fid--4c2f31a5_1803b3cb22b_-68af,657877,27.9,58.85,11.9685,15.0946,New Guinea; PNG.,,,FINL,2018-03-07T11:42:31,ga2018eootmk,2018-03-07T11:59:08,-6.2331,142.5695,,,,,,,6.8,,,,,1620282,2018-03-06T14:13:07,2.29,93,6.8,Mwp,5.5227,4.0686,AUST,0.8968,93
earthquakes.fid--4c2f31a5_1803b3cb22b_-68ad,657891,57.02,56.24,51.9849,5.8802,New Ireland Region; PNG.,,,FINL,2018-03-09T13:15:09,ga2018esnbll,2018-03-09T13:27:45,-4.467,153.2054,,,,,,,6.6,,,,,1621871,2018-03-08T17:39:55,0.63,104,6.6,Mwp,4.7794,3.787,AUST,0.9064,104
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b0,657938,40.46,68.97,44.9382,7.4321,New Britain Region; PNG.,,,FINL,2018-03-26T10:35:10,ga2018fvkfeu,2018-03-26T10:37:46,-5.5448,151.4756,,,,,,,6.8,,,,,1630311,2018-03-24T11:23:32,0.74,92,6.8,Mwp,4.8701,4.3898,AUST,0.7333,92
earthquakes.fid--4c2f31a5_1803b3cb22b_-68ba,657945,31.31,43.44,163.3915,3.7107,Banda Sea. (Reported felt).,,,FINL,2018-03-27T11:15:10,ga2018fxxnvw,2018-03-27T11:16:55,-6.6539,129.7575,6.74,,,5.8,,,6.6,,,,,1630702,2018-03-25T20:14:46,0.33,102,6.6,Mwp,3.2297,2.859,AUST,0.918,101
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b2,657946,29.23,90.82,41.6461,6.8372,New Britain Region; PNG.,,,FINL,2018-03-27T10:21:03,ga2018fyypfj,2018-03-27T10:26:45,-5.4161,151.2974,,,,,,,6.7,,,,,1630700,2018-03-26T09:51:00,0.7,124,6.7,Mwp,4.3168,3.8982,AUST,0.8386,123
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b9,657958,29.6,68.44,62.9391,8.0783,New Britain Region; PNG.,,,FINL,2018-04-03T11:25:08,ga2018gfiuln,2018-04-03T11:46:06,-5.5893,151.433,6.34,,,6.94,,,7.2,,,,,1634667,2018-03-29T21:25:39,0.8,93,7.2,Mwp,5.555,4.568,AUST,0.8963,93
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b8,657997,29.25,56.79,37.1275,4.8331,New Guinea; PNG.,,,FINL,2018-04-09T13:55:09,ga2018gurgzh,2018-04-09T14:04:30,-5.8627,142.5794,6.12,,,6.21,,,6.5,,,,,1638155,2018-04-07T05:48:42,0.47,96,6.5,Mwp,3.7131,2.9575,AUST,0.8233,96
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c8,659111,67.58903503,25.63427925,19.65999985,2.82606558,Sumbawa Region; Indonesia,2018-08-05T19:46:35.973,manual,reviewed,2018-08-05T11:48:37.42,ga2018phkgzs,2018-08-05T22:17:20.56,-8.37291241,116.5244141,6.43707152,,,,6.89281085,,6.54208215,6.66012762,0.50676072,59.82142639,0.506760716,20180805220908.916991.64759,2018-08-05T11:46:35.973,0.36247815,145,6.89281085,Mw,3.23836184,2.14546323,GA,1.15333271,144
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c5,659325,67.54437256,37.18112183,14.04944992,3.11921462,Sumbawa Region; Indonesia,2018-08-19T22:56:27.052,manual,reviewed,2018-08-19T14:58:33.772,ga2018qhisya,2018-08-20T05:57:13.079,-8.41755104,116.6826172,6.33548555,,,,,,6.72797246,6.90364392,0.37464848,61.60165405,0.374648482,20180820054541.246457.137893,2018-08-19T14:56:27.052,0.445843,158,6.90364392,Mw(Mwp),3.22711158,2.22676921,GA,1.34615977,158
