# mean, investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.0952,PGA-0.02
109.13568,-6.13490,5.582184E-02,5.739060E-02,1.218947E-01
109.13606,-7.48388,1.278727E-01,1.326971E-01,3.065758E-01
109.13652,-8.83286,3.555789E-01,3.732517E-01,1.080031E+00
109.13706,-10.18185,4.426610E-01,4.703889E-01,1.090000E+00
109.13768,-11.53083,9.366456E-02,9.721500E-02,2.262458E-01
109.13838,-12.87981,4.077113E-02,4.205899E-02,9.451013E-02
109.13917,-14.22879,2.333431E-02,2.412029E-02,5.501745E-02
109.14004,-15.57778,1.501240E-02,1.551881E-02,3.653632E-02
109.14101,-16.92676,1.016075E-02,1.052575E-02,2.584723E-02
109.14206,-18.27574,7.482658E-03,7.772121E-03,1.997918E-02
109.14322,-19.62472,2.759345E-03,2.939112E-03,1.186750E-02
109.14447,-20.97370,2.917385E-03,3.103577E-03,1.679766E-02
109.14583,-22.32269,3.676071E-03,3.923381E-03,2.265687E-02
109.14729,-23.67167,5.322734E-03,5.623724E-03,2.585375E-02
109.14887,-25.02065,6.595763E-03,6.941734E-03,2.793645E-02
109.15056,-26.36963,6.092551E-03,6.426208E-03,2.897499E-02
109.15239,-27.71862,4.449142E-03,4.735912E-03,2.606410E-02
109.15434,-29.06760,2.641236E-03,2.862156E-03,1.833593E-02
109.15643,-30.41658,1.576865E-03,1.730041E-03,1.253815E-02
109.15866,-31.76556,1.926060E-03,2.074948E-03,1.108643E-02
109.16106,-33.11455,3.455728E-03,3.654369E-03,1.451566E-02
109.16361,-34.46353,3.527227E-03,3.722478E-03,1.416992E-02
109.16635,-35.81251,1.782135E-03,1.892437E-03,8.562801E-03
109.16927,-37.16149,7.307806E-04,7.834907E-04,4.787908E-03
109.17239,-38.51048,0.000000E+00,7.439310E-05,2.105364E-03
109.17574,-39.85946,0.000000E+00,0.000000E+00,3.893646E-04
109.17931,-41.20844,0.000000E+00,0.000000E+00,0.000000E+00
109.18314,-42.55742,0.000000E+00,0.000000E+00,0.000000E+00
109.18724,-43.90641,0.000000E+00,0.000000E+00,0.000000E+00
109.19163,-45.25539,0.000000E+00,0.000000E+00,0.000000E+00
109.27164,-6.67449,7.467444E-02,7.682551E-02,1.670394E-01
109.27246,-8.02347,1.780501E-01,1.854661E-01,4.583980E-01
109.27345,-9.37246,4.716821E-01,4.948355E-01,1.090000E+00
109.27459,-10.72144,1.852373E-01,1.934780E-01,4.778965E-01
109.27590,-12.07042,6.495791E-02,6.722003E-02,1.527377E-01
109.27737,-13.41940,3.254777E-02,3.362651E-02,7.560314E-02
109.27901,-14.76839,1.974891E-02,2.036303E-02,4.650383E-02
109.28083,-16.11737,1.302666E-02,1.352926E-02,3.178866E-02
109.28284,-17.46635,9.064177E-03,9.444891E-03,2.315406E-02
109.28503,-18.81533,6.758184E-03,7.061993E-03,1.910463E-02
109.28741,-20.16432,3.300370E-03,3.475602E-03,1.462119E-02
109.29000,-21.51330,3.408095E-03,3.628800E-03,2.173988E-02
109.29280,-22.86228,4.685730E-03,4.987397E-03,2.610000E-02
109.29582,-24.21126,6.587648E-03,6.934691E-03,2.805793E-02
109.29907,-25.56024,7.322994E-03,7.679697E-03,2.976243E-02
109.30256,-26.90923,6.195209E-03,6.540952E-03,2.995096E-02
109.30630,-28.25821,4.068925E-03,4.342646E-03,2.472715E-02
109.31031,-29.60719,2.378723E-03,2.591609E-03,1.745234E-02
