# generated_by='OpenQuake engine 3.6.0', start_date='2019-09-26T01:23:50', checksum=1403906382, kind='quantile-0.85', investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.02
109.13568,-6.13490,7.761855E-02,1.786940E-01
109.13606,-7.48388,2.065969E-01,4.683189E-01
109.13652,-8.83286,5.588378E-01,1.090000E+00
109.13706,-10.18185,9.464393E-01,1.090000E+00
109.13768,-11.53083,1.455147E-01,3.041073E-01
109.13838,-12.87981,5.751664E-02,1.311319E-01
109.13917,-14.22879,2.980453E-02,6.516325E-02
109.14004,-15.57778,1.946766E-02,3.913211E-02
109.14101,-16.92676,1.401400E-02,2.717641E-02
109.14206,-18.27574,1.250140E-02,3.199957E-02
109.14322,-19.62472,5.590752E-03,2.184224E-02
109.14447,-20.97370,5.971921E-03,2.694761E-02
109.14583,-22.32269,7.967901E-03,3.625391E-02
109.14729,-23.67167,9.667368E-03,4.169738E-02
109.14887,-25.02065,1.148874E-02,4.342812E-02
109.15056,-26.36963,1.112737E-02,4.793939E-02
109.15239,-27.71862,1.046799E-02,4.538586E-02
109.15434,-29.06760,7.494050E-03,3.084024E-02
109.15643,-30.41658,4.626038E-03,2.168783E-02
109.15866,-31.76556,5.163583E-03,1.994367E-02
109.16106,-33.11455,9.844529E-03,2.962265E-02
109.16361,-34.46353,1.105496E-02,3.095595E-02
109.16635,-35.81251,5.498840E-03,1.864791E-02
109.16927,-37.16149,2.254911E-03,1.169433E-02
109.17239,-38.51048,4.258836E-04,4.883627E-03
109.17574,-39.85946,0.000000E+00,1.418693E-03
109.17931,-41.20844,0.000000E+00,0.000000E+00
109.18314,-42.55742,0.000000E+00,0.000000E+00
109.18724,-43.90641,0.000000E+00,0.000000E+00
109.19163,-45.25539,0.000000E+00,0.000000E+00
109.27164,-6.67449,1.141182E-01,2.363539E-01
109.27246,-8.02347,2.449359E-01,5.757135E-01
109.27345,-9.37246,7.073136E-01,1.090000E+00
109.27459,-10.72144,2.869519E-01,7.096846E-01
109.27590,-12.07042,1.046034E-01,2.265188E-01
109.27737,-13.41940,4.373149E-02,9.810270E-02
109.27901,-14.76839,2.480062E-02,5.304840E-02
109.28083,-16.11737,1.695917E-02,3.365444E-02
109.28284,-17.46635,1.291908E-02,2.593522E-02
109.28503,-18.81533,1.314539E-02,3.298801E-02
109.28741,-20.16432,6.364048E-03,2.282157E-02
109.29000,-21.51330,6.909299E-03,3.483004E-02
109.29280,-22.86228,9.727511E-03,4.094410E-02
109.29582,-24.21126,1.130441E-02,4.338952E-02
109.29907,-25.56024,1.297442E-02,4.755610E-02
109.30256,-26.90923,1.141000E-02,4.849878E-02
109.30630,-28.25821,1.018508E-02,4.355501E-02
109.31031,-29.60719,6.842287E-03,2.923827E-02
109.31461,-30.95617,4.914178E-03,2.253223E-02
109.31920,-32.30516,7.473698E-03,2.606597E-02
109.32412,-33.65414,1.418662E-02,4.188322E-02
109.32937,-35.00312,1.017457E-02,2.910779E-02
109.33499,-36.35210,4.223301E-03,1.683631E-02
109.34099,-37.70109,1.491503E-03,9.444042E-03
109.34741,-39.05007,1.850617E-04,3.912310E-03
109.35427,-40.39905,0.000000E+00,5.427406E-04
109.36162,-41.74803,0.000000E+00,0.000000E+00
109.36948,-43.09702,0.000000E+00,0.000000E+00
109.37791,-44.44600,0.000000E+00,0.000000E+00
109.38696,-45.79498,0.000000E+00,0.000000E+00
109.40780,-7.07919,1.421780E-01,2.952886E-01
109.40911,-8.42817,4.244424E-01,9.935358E-01
109.41066,-9.77715,1.068972E+00,1.090000E+00
109.41245,-11.12613,2.102545E-01,4.659925E-01
109.41448,-12.47512,7.779042E-02,1.792602E-01
109.41677,-13.82410,3.702134E-02,8.128897E-02
109.41931,-15.17308,2.220282E-02,4.586968E-02
109.42212,-16.52206,1.567325E-02,3.051801E-02
