#,,,,"generated_by='OpenQuake engine 3.13.0', start_date='2022-03-06T16:19:51', checksum=2538590070, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.02,PGA-0.05,PGA-0.1
146.28101,-43.78492,4.198080E-02,2.149590E-02,1.192106E-02
146.34314,-43.78529,4.156097E-02,2.130896E-02,1.183653E-02
146.40528,-43.78563,4.112687E-02,2.110746E-02,1.174137E-02
146.46742,-43.78594,4.066788E-02,2.089259E-02,1.163724E-02
146.21946,-43.73950,4.238202E-02,2.174841E-02,1.208601E-02
146.28155,-43.73990,4.200576E-02,2.158636E-02,1.201444E-02
146.34364,-43.74028,4.160903E-02,2.140655E-02,1.193027E-02
146.40573,-43.74062,4.120045E-02,2.121080E-02,1.183514E-02
146.46782,-43.74092,4.076312E-02,2.100019E-02,1.173097E-02
146.15800,-43.69404,4.261607E-02,2.192031E-02,1.221675E-02
146.22004,-43.69448,4.230782E-02,2.178906E-02,1.215987E-02
146.28208,-43.69489,4.196816E-02,2.163605E-02,1.208892E-02
146.34413,-43.69526,4.159665E-02,2.146331E-02,1.200524E-02
146.40617,-43.69560,4.121250E-02,2.127491E-02,1.191096E-02
146.46822,-43.69590,4.080060E-02,2.107104E-02,1.180748E-02
146.65436,-43.69662,3.938065E-02,2.039196E-02,1.146062E-02
146.71640,-43.69679,3.885518E-02,2.015811E-02,1.133959E-02
146.77845,-43.69693,3.834509E-02,1.992906E-02,1.121802E-02
146.84050,-43.69703,3.788670E-02,1.971008E-02,1.109740E-02
146.90255,-43.69710,3.747197E-02,1.950395E-02,1.097860E-02
146.96460,-43.69714,3.710663E-02,1.931259E-02,1.086162E-02
145.97266,-43.64751,4.302128E-02,2.214117E-02,1.234584E-02
146.03465,-43.64805,4.286212E-02,2.209526E-02,1.233920E-02
146.09664,-43.64855,4.267057E-02,2.202128E-02,1.231447E-02
146.15863,-43.64903,4.243241E-02,2.191992E-02,1.227269E-02
146.22063,-43.64946,4.215806E-02,2.179562E-02,1.221608E-02
146.28262,-43.64987,4.184774E-02,2.165084E-02,1.214593E-02
146.34462,-43.65024,4.151086E-02,2.148672E-02,1.206329E-02
146.40662,-43.65058,4.115226E-02,2.130600E-02,1.197021E-02
146.46861,-43.65089,4.075974E-02,2.110907E-02,1.186783E-02
146.53061,-43.65116,4.034373E-02,2.089798E-02,1.175768E-02
146.59261,-43.65140,3.988694E-02,2.067482E-02,1.164197E-02
146.65462,-43.65160,3.938763E-02,2.044394E-02,1.152253E-02
146.71662,-43.65177,3.887543E-02,2.021199E-02,1.140116E-02
146.77862,-43.65191,3.837195E-02,1.998421E-02,1.127923E-02
146.84062,-43.65201,3.790639E-02,1.976477E-02,1.115781E-02
146.90262,-43.65208,3.749663E-02,1.955730E-02,1.103773E-02
146.96463,-43.65212,3.713177E-02,1.936475E-02,1.091961E-02
145.97343,-43.60249,4.279034E-02,2.212255E-02,1.239122E-02
146.03537,-43.60303,4.263096E-02,2.207408E-02,1.238235E-02
146.09731,-43.60354,4.245511E-02,2.200107E-02,1.235639E-02
146.15926,-43.60401,4.224582E-02,2.190488E-02,1.231451E-02
146.22121,-43.60445,4.199763E-02,2.178660E-02,1.225813E-02
146.28316,-43.60485,4.171889E-02,2.164904E-02,1.218878E-02
146.34511,-43.60523,4.140843E-02,2.149325E-02,1.210761E-02
146.40706,-43.60556,4.107173E-02,2.131967E-02,1.201584E-02
146.46901,-43.60587,4.070768E-02,2.112936E-02,1.191458E-02
146.53096,-43.60614,4.031015E-02,2.092470E-02,1.180574E-02
146.59292,-43.60638,3.986772E-02,2.070597E-02,1.169071E-02
146.65487,-43.60658,3.938495E-02,2.047834E-02,1.157167E-02
146.71683,-43.60675,3.888109E-02,2.024929E-02,1.145057E-02
146.77878,-43.60689,3.837695E-02,2.002186E-02,1.132830E-02
146.84074,-43.60699,3.791491E-02,1.980210E-02,1.120635E-02
146.90270,-43.60706,3.751387E-02,1.959519E-02,1.108566E-02
146.96465,-43.60710,3.713856E-02,1.940047E-02,1.096657E-02
147.02661,-43.60710,3.681821E-02,1.921929E-02,1.084918E-02
147.08857,-43.60707,3.654809E-02,1.903782E-02,1.073294E-02
147.27444,-43.60677,3.584902E-02,1.852235E-02,1.038119E-02
147.33639,-43.60661,3.562000E-02,1.834704E-02,1.025838E-02
145.91229,-43.55691,4.273525E-02,2.211189E-02,1.241836E-02
145.97419,-43.55748,4.257599E-02,2.208850E-02,1.242525E-02
146.03609,-43.55802,4.242160E-02,2.203932E-02,1.241445E-02
146.09799,-43.55852,4.225441E-02,2.196785E-02,1.238752E-02
146.15989,-43.55899,4.205378E-02,2.187438E-02,1.234507E-02
146.22179,-43.55943,4.183610E-02,2.176248E-02,1.228911E-02
146.28369,-43.55984,4.157542E-02,2.163137E-02,1.222072E-02
146.34559,-43.56021,4.128188E-02,2.148174E-02,1.214063E-02
146.40750,-43.56055,4.097620E-02,2.131576E-02,1.205019E-02
146.46941,-43.56085,4.062910E-02,2.113196E-02,1.195033E-02
146.53131,-43.56112,4.024642E-02,2.093259E-02,1.184266E-02
146.59322,-43.56136,3.982464E-02,2.071908E-02,1.172863E-02
146.65513,-43.56156,3.934984E-02,2.049524E-02,1.161029E-02
146.71704,-43.56173,3.884939E-02,2.026821E-02,1.148949E-02
146.77895,-43.56187,3.835410E-02,2.004250E-02,1.136725E-02
146.84086,-43.56197,3.789933E-02,1.982363E-02,1.124497E-02
146.90277,-43.56204,3.748569E-02,1.961535E-02,1.112374E-02
146.96468,-43.56207,3.711311E-02,1.942006E-02,1.100394E-02
147.02659,-43.56208,3.679618E-02,1.923792E-02,1.088568E-02
147.08850,-43.56205,3.650912E-02,1.905503E-02,1.076851E-02
147.15041,-43.56198,3.625633E-02,1.887831E-02,1.065188E-02
147.21232,-43.56188,3.602740E-02,1.870633E-02,1.053416E-02
147.27423,-43.56175,3.579498E-02,1.853326E-02,1.041406E-02
147.33614,-43.56159,3.556582E-02,1.835595E-02,1.029036E-02
147.39805,-43.56139,3.532370E-02,1.816914E-02,1.016149E-02
145.91310,-43.51189,4.254636E-02,2.208092E-02,1.244876E-02
145.97495,-43.51246,4.240410E-02,2.205452E-02,1.245239E-02
146.03680,-43.51300,4.224556E-02,2.200358E-02,1.243948E-02
146.09866,-43.51351,4.208678E-02,2.193327E-02,1.241113E-02
146.16051,-43.51398,4.191071E-02,2.184345E-02,1.236823E-02
146.22237,-43.51441,4.169540E-02,2.173486E-02,1.231261E-02
146.28422,-43.51482,4.145377E-02,2.160911E-02,1.224483E-02
146.34608,-43.51519,4.118531E-02,2.146539E-02,1.216565E-02
146.40794,-43.51553,4.088809E-02,2.130471E-02,1.207648E-02
146.46980,-43.51583,4.055976E-02,2.112676E-02,1.197787E-02
146.53166,-43.51610,4.019539E-02,2.093232E-02,1.187123E-02
146.59352,-43.51634,3.977831E-02,2.072278E-02,1.175831E-02
146.65539,-43.51654,3.931055E-02,2.050221E-02,1.164069E-02
146.71725,-43.51671,3.881665E-02,2.027705E-02,1.152015E-02
146.77911,-43.51685,3.832621E-02,2.005294E-02,1.139814E-02
146.84098,-43.51695,3.786452E-02,1.983407E-02,1.127576E-02
146.90284,-43.51702,3.745032E-02,1.962509E-02,1.115390E-02
146.96471,-43.51705,3.707874E-02,1.942922E-02,1.103354E-02
147.02657,-43.51706,3.674912E-02,1.924516E-02,1.091455E-02
147.08844,-43.51703,3.646184E-02,1.906106E-02,1.079654E-02
147.15030,-43.51696,3.620696E-02,1.888293E-02,1.067922E-02
147.21216,-43.51686,3.596570E-02,1.870873E-02,1.056073E-02
147.27403,-43.51673,3.573420E-02,1.853392E-02,1.043988E-02
147.33589,-43.51657,3.550255E-02,1.835521E-02,1.031562E-02
147.39775,-43.51637,3.524876E-02,1.816610E-02,1.018605E-02
145.85211,-43.46628,4.246148E-02,2.206126E-02,1.245813E-02
145.91391,-43.46688,4.236492E-02,2.205503E-02,1.247468E-02
145.97571,-43.46745,4.223243E-02,2.202471E-02,1.247477E-02
146.03752,-43.46799,4.209272E-02,2.197279E-02,1.245912E-02
146.09933,-43.46849,4.195060E-02,2.190343E-02,1.242929E-02
146.16113,-43.46896,4.177838E-02,2.181559E-02,1.238589E-02
146.22294,-43.46940,4.157939E-02,2.171007E-02,1.233005E-02
146.28475,-43.46980,4.135200E-02,2.158813E-02,1.226281E-02
146.34657,-43.47017,4.109457E-02,2.144899E-02,1.218451E-02
146.40838,-43.47051,4.081289E-02,2.129261E-02,1.209610E-02
146.47019,-43.47081,4.049937E-02,2.111915E-02,1.199859E-02
146.53201,-43.47108,4.014519E-02,2.092895E-02,1.189308E-02
146.59383,-43.47132,3.973442E-02,2.072214E-02,1.178083E-02
146.65564,-43.47152,3.927433E-02,2.050377E-02,1.166381E-02
146.71746,-43.47169,3.878566E-02,2.028056E-02,1.154376E-02
146.77928,-43.47182,3.828640E-02,2.005589E-02,1.142166E-02
146.84110,-43.47193,3.782918E-02,1.983684E-02,1.129908E-02
146.90291,-43.47200,3.741797E-02,1.962814E-02,1.117702E-02
146.96473,-43.47203,3.703057E-02,1.942984E-02,1.105593E-02
147.02655,-43.47203,3.670077E-02,1.924427E-02,1.093628E-02
147.08837,-43.47200,3.641414E-02,1.905920E-02,1.081773E-02
