Chimney Number,Rjb (km),Rhyp (km)
1,24.24,30.85
2,28.47,34.98
3,28.47,34.98
4,28.18,34.72
5,28.1,34.65
6,28.1,34.65
7,28.36,34.88
8,23.51,30.17
9,23.51,30.17
10,17.02,23.18
11,16.24,21.99
12,13.12,19.66
13,13.12,19.67
14,13.12,19.67
15,13.04,19.65
16,12.84,19.59
17,12.88,19.61
18,12.88,19.61
19,12.88,19.61
20,12.88,19.61
21,17.03,23.15
22,17.02,23.17
23,28.26,34.79
24,28.17,34.66
25,12.86,19.59
26,12.83,19.57
27,24.29,30.90
28,28.39,34.90
29,28.39,34.90
30,80.78,85.86
31,80.78,85.86
32,28.43,34.95
33,28.47,34.99
34,22.33,26.92
35,22.34,26.92
36,22.2,26.85
37,19.69,22.77
38,19.69,22.77
39,17.43,22.40
40,13.9,18.15
41,13.52,18.19
42,59.52,64.02
43,59.52,64.02
44,59.52,64.02
45,59.52,64.02
46,59.52,64.02
47,59.52,64.02
