FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count,
earthquakes.fid--718ebb5a_177845ae793_5cfe,265021,0,,5,,BROOME; 51KM N,,,FINL,2008-04-02T18:49:04,ga1989yfkhnd,2009-12-15T10:11:05,-17.512,122.3,4.8,,4.2,,,,,,,,,1611119,1989-12-09T21:05:30,,0,4.8,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cfd,265383,108.02,253.57,11,0.7404,Newcastle NSW.  md 5.5 (CNB). 13 people killed; more than 100 injured and estimated 1.1 billion U.S. dollars damage I=VIII MM caused in the Newcastle area. Damage occurred as far away as Liverpool; Scone and Gladstone. Felt in a 200;000 sq.km. area of New South Wales and the Australian Capital Territory from Albury and Cooma to Coffs Harbour and Inverell and as far west as Narromine. Also felt by people in high-rise buildings in Gold Coast and Melbourne. Believed to be the first earthquake in Australian history that has caused deaths.,,,FINL,2008-04-02T18:41:09,ga1989zmqbgf,2015-11-30T14:26:42,-32.946,151.607,5.7,,5.5,4.6,,,5.4,,,,,620500,1989-12-27T23:26:57,68.06,27,5.4,Mwp,2.483,1.3203,AUST,74.62072683,27,
earthquakes.fid--718ebb5a_177845ae793_5d33,265772,242.03,,5,,,,,FINL,2008-04-02T18:35:45,ga1990auyoye,2009-12-15T10:14:53,-23.053,131.239,,,4.4,,,,,,,,,620503,1990-01-12T09:50:58,,0,4.4,ML,,,,1.05282358,0,
earthquakes.fid--718ebb5a_177845ae793_5cfc,265946,244.6,,6,,Meckering WA. Isoseismal map.,,,FINL,2008-04-02T18:33:31,ga1990bdwvef,2009-12-15T10:14:53,-31.72,116.99,5.2,,5.5,,,,,,,,,620504,1990-01-17T06:38:08,,0,5.5,mb,,,,0.87025068,0,
earthquakes.fid--718ebb5a_177845ae793_5d1a,266058,167.22,,10,,,,,FINL,2008-04-02T18:32:24,ga1990bkkmab,2009-12-15T10:14:57,-19.978,133.706,4.4,,,,,,,,,,,703515,1990-01-20T19:56:46,,0,4.4,mb,,,,2.01560814,0,
earthquakes.fid--718ebb5a_177845ae793_5d5a,266597,0,,9,,LAKE EYRE NORTH SA,,,FINL,2008-04-02T18:26:00,ga1990cskhjm,2009-12-15T10:33:07,-27.891,137.342,,,4.5,,,,,,,,,1606470,1990-02-08T08:23:33,,0,4.5,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d71,266986,0,,5,,PORT HEDLAND; 230KM N,,,FINL,2008-04-02T18:21:15,ga1990dlwesa,2009-12-15T10:33:09,-18.252,118.234,,,4.5,,,,,,,,,1611122,1990-02-18T22:47:33,,0,4.5,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d8e,268206,273.19,,10,,,,,FINL,2008-04-02T18:08:25,ga1990fqblwr,2009-12-15T10:14:53,-25.43,129.51,,,4.5,,,,,,,,,620511,1990-03-21T13:37:22,,0,4.5,ML,,,,3.20690574,0,
earthquakes.fid--718ebb5a_177845ae793_5cfb,270365,0,,2.5,,CADOUX; 4KM W,,,FINL,2008-04-02T17:44:56,ga1990jaojsj,2009-12-15T10:33:09,-30.779,117.102,3.9,,4.5,,,,,,,,,1611123,1990-05-08T18:40:56,,0,4.5,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d64,271586,273.19,,0,,,,,FINL,2008-04-02T17:31:12,ga1990lgxsly,2009-12-15T10:14:53,-11.522,143.038,,,4.5,,,,,,,,,620515,1990-06-09T13:42:13,,0,4.5,ML,,,,5.05538771,0,
earthquakes.fid--718ebb5a_177845ae793_5d4a,274095,140.38,,38,,,,,FINL,2008-04-02T17:04:25,ga1990pswvst,2009-12-15T10:14:53,-23.092,130.147,,,4.5,,,,,,,,,620516,1990-08-11T17:54:59,,0,4.5,ML,,,,1.35876884,0,
earthquakes.fid--718ebb5a_177845ae793_5d19,276887,140.38,,2,,,,,FINL,2008-04-02T16:15:10,ga1990vkqzay,2009-12-15T10:14:53,-20.061,134.166,4.3,,4.5,,,,,,,,,620520,1990-10-31T06:00:10,,0,4.5,mb,,,,3.11696649,0,
earthquakes.fid--718ebb5a_177845ae793_5d18,277790,139.5,,0,,Tennant Creek NT - aftershock,,,FINL,2008-04-02T16:28:05,ga1990xjjyjn,2009-12-15T10:14:53,-20.046,133.599,5.1,,5.2,,,,,,,,,620521,1990-11-27T21:16:26,,0,5.2,mb,,,,2.84640141,0,
earthquakes.fid--718ebb5a_177845ae793_5d17,279103,229.03,,2,,,,,FINL,2008-04-03T15:28:49,ga1991aeksjl,2009-12-15T10:14:53,-19.932,133.861,4.4,,4.4,,,,,,,,,620605,1991-01-03T09:40:56,,0,4.4,mb,,,,5.20409548,0,
earthquakes.fid--718ebb5a_177845ae793_5d1c,279108,225.31,,2,,Tennant Creek NT - aftershhock,,,FINL,2008-04-03T15:28:11,ga1991aetlve,2009-12-15T10:14:53,-19.906,133.831,4.7,,4.7,,,,,,,,,620606,1991-01-03T14:04:53,,0,4.7,mb,,,,3.69395164,0,
earthquakes.fid--718ebb5a_177845ae793_5d16,281333,225.31,,2,,Tennant Creek NT,,,FINL,2008-04-03T13:52:02,ga1991eplddz,2009-12-15T10:14:53,-20.021,133.809,5.1,,4.8,,,,,,,,,620608,1991-03-07T01:28:08,,0,5.1,mb,,,,8.95957177,0,
earthquakes.fid--718ebb5a_177845ae793_5d85,285375,225.11,,8,,Tennant Creek NT,,,FINL,2008-04-03T11:20:40,ga1991lzcwor,2009-12-15T10:14:53,-19.79,133.95,,,5.1,,,,,,,,,620610,1991-06-19T11:38:24,,0,5.1,ML,,,,11.05256117,0,
earthquakes.fid--718ebb5a_177845ae793_5d55,286098,103.31,,5,,Tennant Creek NT,,,FINL,2008-04-03T10:59:17,ga1991nhxxtt,2009-12-15T10:14:53,-19.861,133.866,,,5,,,,,,,,,620611,1991-07-08T10:45:34,,0,5,ML,,,,6.98045068,0,
earthquakes.fid--718ebb5a_177845ae793_5d8a,286959,79.81,,17,,GEORGETOWN HARD TO LOCATE ,,,FINL,2008-04-03T10:30:33,ga1991pjkuzy,2009-12-15T10:24:11,-18.222,143.506,,,4.8,,,,,,,,,1176095,1991-08-06T14:11:48,,0,4.8,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cfa,289618,0,,5,,EXMOUTH; 158KM N,,,FINL,2008-04-03T09:15:16,ga1991unaszm,2009-12-15T10:33:10,-20.5,114.126,4.5,,4.3,,,,,,,,,1612083,1991-10-18T09:07:27,,0,4.5,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cf9,291772,0,,1,,CRANBROOK; 20KM WSW,,,FINL,2008-04-03T08:13:27,ga1991ylmuyj,2009-12-15T10:33:07,-34.389,117.36,4.4,,4.3,,,,,,,,,1609659,1991-12-13T04:48:17,,0,4.4,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d15,297293,186.85,,5,,,,,FINL,2008-04-29T14:27:23,ga1992dykhde,2009-12-15T10:17:01,-19.861,134.177,4.2,,4.4,,,,,,,,,820226,1992-02-25T18:46:29,,0,4.4,mb,,,,7.68949183,0,
earthquakes.fid--718ebb5a_177845ae793_5d14,308103,156.2,,16,,,,,FINL,2008-04-29T21:20:30,ga1992lqlbpu,2009-12-15T10:17:01,-23.66,130.05,5.1,,4.5,,,,,,,,,820243,1992-06-13T18:05:21,,0,5.1,mb,,,,6.21459751,0,
earthquakes.fid--718ebb5a_177845ae793_5cf8,309977,0,,5,,EXMOUTH; 346KM NNW,,,FINL,2008-04-29T20:10:11,ga1992mwlidj,2009-12-15T10:33:08,-19.223,112.473,4.5,,4.7,,,,,,,,,1609729,1992-07-01T04:36:08,,0,4.7,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cf7,311550,0,,5,,TOBIN LAKE; 47KM E,,,FINL,2008-04-29T19:17:44,ga1992nvuxhg,2009-12-15T10:33:08,-21.966,126.582,5,,4.8,,,,,,,,,1609740,1992-07-15T00:17:09,,0,5,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d3d,311558,0,,5,,TOBIN LAKE; 39KM E,,,FINL,2008-04-29T19:18:02,ga1992nvyero,2009-12-15T10:33:10,-21.934,126.506,,,4.4,,,,,,,,,1611732,1992-07-15T01:56:15,,0,4.4,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cf6,316440,135.62,,33,,,,,FINL,2008-04-30T11:44:21,ga1992qyezjq,2009-12-15T10:16:54,-12.705,123.685,4.9,,,,,,,,,,,813695,1992-08-27T19:19:20,,0,4.9,mb,,,,4.7950713,0,
earthquakes.fid--718ebb5a_177845ae793_5d13,320091,197.71,,39,,Uluru; NT,,,FINL,2008-04-30T09:39:14,ga1992thzsqb,2009-12-15T10:17:01,-11.354,134.573,5.4,,5.1,4.9,,,,,,,,820270,1992-09-30T11:18:07,,0,5.4,mb,,,,5.56084722,0,
earthquakes.fid--718ebb5a_177845ae793_5d12,333112,167.44,,1,,Tennant Creek NT,,,FINL,2008-04-28T15:42:32,ga1993dqhgny,2009-12-15T10:18:50,-19.815,133.903,4.6,,4.6,,,,,,,,,904151,1993-02-21T08:39:29,,0,4.6,mb,,,,5.2020367,0,
