STA,KAPPA,CNT
ABE,-0.012759,3
ANSTO,-0.071306,1
APN,nan,1
APPIN,-0.090863,1
AQT03,0.074052,1
AQT04,0.048938,3
AQT05,-0.007620,3
AQT06,0.008046,1
AQT07,-0.025797,1
AQT08,-0.110534,2
AQTA2,0.056372,3
AQTA3,-0.030808,1
AQTA4,0.051172,1
AQTA5,0.081801,2
AQTA7,0.049859,2
AQTA8,0.086763,2
AQTB1,0.018741,2
AQTB2,0.045882,2
AQTB3,0.036474,2
AQTB4,0.074100,2
AQTB6,0.060359,2
AQTB7,0.081145,3
AQTC1,0.075857,1
AQTC2,0.025346,2
AQTC3,0.032144,2
AQTC4,0.038784,2
AQTC5,0.070491,2
AQTC6,0.039299,1
AQTC7,0.066978,3
AQTC8,0.039982,3
AQTD1,-0.032861,2
AQTD5,0.090151,3
AQTD6,0.046570,2
AQTD7,0.033185,2
AQTD8,0.047978,3
AQTE2,0.065791,1
AQTE4,0.103608,2
AQTE5,nan,1
AQTE6,0.086621,3
AQTE7,0.047998,2
AQTE8,nan,1
AQTF1,0.033291,1
AQTF2,nan,1
AQTF3,0.091795,1
AQTF4,0.035760,3
AQTF5,0.066874,1
AQTF8,0.067291,2
AQTG2,0.046476,1
AQTG3,0.059567,2
AQTG5,nan,1
AQTG7,0.062656,1
AQTG8,0.098484,1
AQTH4,0.075649,1
AQTH5,0.052958,3
AQTH7,0.123679,2
AQTI1,nan,1
AQTI3,0.046548,1
AQTI5,0.073338,1
AQTI8,0.230492,2
AQTJ1,0.010279,1
AQTJ2,0.023130,1
AQTJ3,0.080254,2
AQTJ4,0.070275,2
AQTJ5,nan,1
AQTJ7,-0.004399,2
AQTJ8,0.153267,2
AQTK1,0.047145,1
AQTK3,0.041130,3
AQTK5,0.068111,1
AQTL1,-0.001449,1
AQTL2,0.037606,2
AQTL3,0.088204,1
ARKL,0.018618,1
ARMA,-0.061688,39
ARPS,-0.040718,66
AS31,-0.093876,52
ASR01,-0.083853,3
ASR02,0.043581,3
ASR03,-0.039657,3
ASR04,0.006896,1
ASR06,0.045412,1
ASR08,-0.115181,1
ASR09,0.074252,1
ASR12,nan,1
ASR13,nan,1
AUALB,-0.010258,18
AUALC,-0.093117,6
AUAYR,-0.065595,3
AUBRM,-0.039564,4
AUBRN,-0.018706,7
AUBSH,-0.054427,7
AUBUS,0.015071,20
AUCAR,-0.042679,2
AUCAS,-0.076324,8
AUCSH,-0.159558,2
AUDAR,0.041061,13
AUDCS,-0.091771,19
AUDHS,-0.051202,6
AUGRF,-0.063897,10
AUHAR,-0.020766,15
AUHPC,0.032591,2
AUJCS,-0.183849,4
AUKAL,-0.029140,9
AUKAR,-0.079316,6
AUKHS,-0.182795,10
AUKSC,-0.043369,8
AUKUL,0.021319,20
AULHS,0.000184,6
AULRC,-0.052180,10
AUMAG,0.002693,11
AUMAR,-0.097121,8
AUMAZ,-0.081711,25
AUMBR,0.000695,13
AUMHS,0.003182,14
AUMOU,-0.029079,4
AUMTC,-0.042916,15
AUMTS,0.009724,23
AUNRC,-0.033662,10
AUPHS,-0.066174,14
AUPKL,0.008928,8
AURMK,-0.048522,2
AUROX,0.010813,1
AURSC,-0.009264,3
AUSIS,-0.061061,2
AUSMG,-0.034591,8
AUSSC,-0.079121,5
AUTAR,0.014219,5
AUTKS,-0.018042,7
AUTOO,0.017498,6
AUUHS,-0.078719,7
AUWSH,-0.053788,4
AVO,-0.049739,2
AWOON,-0.053692,1
BA02,-0.044488,2
BA03,-0.039611,2
BA04,-0.054850,1
BA07,-0.024669,3
BA08,-0.052758,3
BA09,-0.049923,2
BA10,-0.083560,2
BA11,-0.043053,2
BA12,-0.027278,2
BA13,-0.021320,3
BA14,-0.015902,3
BA15,-0.018849,1
BA16,0.004841,3
BA17,-0.043899,3
BA18,0.014873,1
BA19,-0.051301,3
BA20,-0.080860,2
BA22,-0.011877,3
BA24,-0.017056,1
BBOO,-0.040707,72
BCON,-0.054935,24
BJE,-0.050928,5
BJEM,-0.050928,5
BK1,-0.011755,5
BK24,-0.053051,3
BK25,-0.035557,3
BK26,-0.072767,3
BK27,-0.070190,3
BK29,-0.011236,3
BK30,-0.042430,3
BK31,-0.129452,3
BK32,-0.014596,1
BK33,-0.003244,1
BK34,0.002145,1
BK4,-0.044214,1
BK5,-0.001295,1
BL06,-0.073706,1
BL07,-0.025003,1
BL10,-0.086596,1
BL11,-0.098888,1
BL12,-0.060575,1
BL14,0.028138,1
BL15,-0.004631,1
BL17,-0.092387,1
BL18,-0.036473,1
BL19,-0.019087,1
BL20,0.013887,1
BL21,-0.032833,1
BL22,-0.015527,1
BL23,-0.044886,1
BL24,-0.079443,1
BL25,-0.091817,1
BL26,-0.052211,3
BL27,-0.040013,3
BL28,-0.036238,3
BL29,-0.009323,3
BL30,0.003517,3
BL31,-0.002623,3
BL32,-0.078735,1
BL33,-0.023288,1
BL34,-0.031290,1
BLDU,-0.026544,78
BM25,-0.057967,3
BM26,-0.006347,3
BM27,-0.034620,1
BM28,-0.066229,2
BM29,-0.046041,3
BM30,-0.069891,2
BM31,0.015936,3
BM32,0.025580,1
BM33,-0.017274,1
BM34,0.010780,1
BMEBF,-0.005641,5
BN1H,-0.098111,4
BN24,-0.091732,3
BN25,-0.040827,3
BN26,-0.039837,3
BN27,-0.059074,3
BN28,-0.058073,3
BN29,-0.037825,3
BN2S,nan,1
BN30,-0.012564,3
BN31,-0.025840,3
BN32,-0.000623,1
BN33,-0.009672,1
BN34,0.019154,1
BO24,-0.002179,2
BO25,-0.027393,3
BO26,-0.079844,3
BO29,-0.035593,3
BO30,-0.040848,3
BO31,-0.090179,1
BO33,-0.009370,1
BO34,0.029504,1
BP24,-0.043088,3
BP25,-0.050595,3
BP26,-0.063054,2
BP27,-0.018536,3
BP29,-0.021541,3
BP31,-0.051770,1
