STA,KAPPA,CNT
ABE,-0.006401,6
ABEM,-0.006401,6
ADE,0.043303,3
AEB01,-0.010114,9
AEB02,0.053362,7
AEB04,-0.014801,4
AEB11,nan,4
AEB12,nan,2
AEB13,0.013463,6
AEB14,0.031726,3
AEB15,-0.016343,5
AEB16,0.004638,7
AEB17,-0.011285,6
AEB18,0.075548,7
AEB19,-0.010146,3
AEB20,nan,4
AES02,0.013670,6
AES03,0.038222,10
AES04,0.000352,8
AES06,-0.004067,5
AES07,0.017801,7
AES08,-0.007403,8
AES09,0.054325,8
AES10,-0.003250,8
AES11,-0.004964,8
AES12,0.032354,8
AES13,-0.000124,6
AES14,0.006744,6
AES15,-0.045402,7
AES16,-0.013273,7
AES17,0.002852,3
AES18,-0.000323,2
AES19,-0.005916,2
AES20,-0.012028,6
AI45,0.071600,12
AI53,0.011780,7
AKA03,0.006000,14
AKA05,-0.007411,16
AKA10,0.027206,14
AKB03,0.009457,13
AKB06,-0.030179,13
AKB07,-0.010257,16
ANSTO,0.008664,1
APN,-0.013143,3
APPIN,0.000536,2
AQT03,0.111536,1
AQT04,0.089381,3
AQT05,0.064169,3
AQT06,0.049495,1
AQT07,0.040684,1
AQT08,-0.016771,2
AQTA2,0.092840,3
AQTA4,0.126174,1
AQTA5,0.115722,2
AQTA7,0.107206,2
AQTA8,0.118055,2
AQTB1,0.057677,2
AQTB2,0.089211,2
AQTB3,0.025312,2
AQTB4,0.103125,2
AQTB6,0.124750,2
AQTB7,0.065142,3
AQTC1,0.077319,1
AQTC2,0.074233,2
AQTC3,0.072983,2
AQTC4,0.088722,2
AQTC5,0.140391,2
AQTC6,0.017505,1
AQTC7,0.063782,3
AQTC8,0.078312,3
AQTD1,0.018258,2
AQTD5,0.040864,3
AQTD6,0.081009,2
AQTD7,0.088092,2
AQTD8,0.037504,3
AQTE2,0.101344,1
AQTE4,0.138019,2
AQTE5,nan,1
AQTE6,0.123898,3
AQTE7,0.087947,2
AQTE8,nan,1
AQTF1,0.090971,1
AQTF2,nan,1
AQTF3,0.139008,1
AQTF4,0.063368,3
AQTF5,0.048381,1
AQTF8,0.123793,2
AQTG2,0.043189,1
AQTG3,0.096898,2
AQTG5,-0.044310,1
AQTG7,0.125927,1
AQTG8,0.118681,1
AQTH4,0.045557,1
AQTH5,0.058381,3
AQTH7,0.101372,2
AQTI1,nan,1
AQTI3,0.121271,1
AQTI5,0.115437,1
AQTI8,0.227803,2
AQTJ1,0.028014,1
AQTJ2,0.028332,1
AQTJ3,0.118329,2
AQTJ4,0.128725,2
AQTJ5,nan,1
AQTJ7,0.757273,2
AQTJ8,0.181774,2
AQTK1,0.111717,1
AQTK3,0.063572,3
AQTK5,0.105780,1
AQTL1,0.051648,1
AQTL2,0.086957,2
AQTL3,0.119915,1
ARCOO,-0.063683,2
ARKL,0.026350,9
ARMA,0.026709,59
ARPS,0.011595,91
AS12,0.000869,81
AS17,0.028097,87
AS31,-0.024232,68
ASC,0.088728,1
ASR01,-0.023801,3
ASR02,0.086674,3
ASR03,-0.010865,3
ASR04,0.042884,1
ASR06,0.074622,1
ASR08,-0.047726,1
ASR09,0.117646,1
ASR12,nan,1
ASR13,nan,1
AU41,0.047707,3
AU52,-0.034408,13
AUALB,0.027011,26
AUALC,-0.029632,10
AUANU,0.066012,5
AUAYR,-0.008867,4
AUBRM,0.015481,6
AUBRN,0.087198,10
AUBSH,0.000027,13
AUBUS,0.047225,26
AUCAR,-0.012451,2
AUCAS,-0.002067,14
AUCSH,-0.081686,3
AUDAR,0.037177,28
AUDCS,-0.029353,32
AUDHS,-0.010582,9
AUGRF,0.015119,23
AUHAR,0.021892,29
AUHPC,-0.030625,4
AUJCS,-0.003900,12
AUKAL,0.005595,21
AUKAR,-0.013522,7
AUKHS,-0.038845,20
AUKSC,-0.001799,15
AUKUL,0.060325,35
AULHS,0.071555,10
AULRC,0.018982,17
AUMAG,0.038093,22
AUMAR,0.000978,14
AUMAZ,-0.037823,37
AUMBR,0.009364,22
AUMHS,0.036796,29
AUMOU,0.034623,7
AUMTC,0.018041,25
AUMTS,0.032337,43
AUNRC,0.006620,12
AUPHS,-0.003682,25
AUPKL,0.056233,12
AURMK,-0.000816,9
AUROX,0.053190,8
AURSC,0.027861,8
AUSIS,-0.031290,5
AUSMG,-0.027355,20
AUSSC,-0.054584,15
AUTAR,nan,7
AUTKS,0.018312,19
AUTOO,0.016421,12
AUUHS,-0.047232,17
AUWSH,-0.015916,9
AVD,-0.008327,3
AVO,-0.005474,2
AWOON,-0.004726,4
AY52,0.020962,3
BA02,0.021260,2
BA03,0.044831,2
BA04,-0.002940,1
BA07,0.036818,3
BA08,0.002087,3
BA09,-0.006052,2
BA10,-0.028144,2
BA11,0.012107,2
BA12,0.027198,2
BA13,0.025261,3
BA14,0.032637,3
BA15,0.020731,1
BA16,0.012300,3
BA17,-0.010075,3
BA18,0.014260,1
BA19,-0.023511,3
BA20,-0.031200,2
BA22,0.034286,3
BA24,0.037857,1
BANM,-0.008210,2
BBOO,0.011125,95
BCN2,-0.015400,3
BCON,-0.004354,37
BEGA,0.013994,2
