ABE,ABEM
FSH,FSHM
TOM,TOMM
NAT,NATM
NAR,NARM
NAP,NAPP
MPD,MPDM
LOS,LOSM
LHB,LHBM
KOWA,KOWM
LBX,LBXM
KAN,KANM
JBR,JBRM
SDN,SDAN
IVS,IVSM
GHS,GHSS
GRV,GRVM
FTZ,FTZM
EUG,EUGM
DVBM,DVBX
DTM,DTMM
DRA,DRAM
CPX,CPXM
CTB,CTBM
BJE,BJEM
BUC,BUCM
BUCN,BUCHN
CDN,CDNM
HOP,HOPM
PHD,PHDM
ROY,ROYM
SHY,SHYM
TAL,TALM
WER,WERM
WGB,WGBM
YER,YERM
DDB,DDBM
DDC,DDCM
GVL,GVLM
LGT,LGTM
JEN,JENM
GOG,GOGM
BUD,BUDM
FRT,FRTM
HEX,HEXM
MAC,MACM
MIT,MITM
MLW,MLWM
TAT,TATM
WDB,WDBM
DVBM,DVB
GLM,GLMM
KTL,KTLM
RUS,RUSM
WAM,WAMB
