OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),"1:5,000 AEP SA_3s_NSHA23",,,,
1,3,38,12675.7,7.1,HW,B,1,0.016238,,,,
2,3,19,25485.8,6.7,HW,B,1,0.016238,,,,
3,3,14.25,57441.6,6.6,HW,CD,1,0.016238,,,,
4,3,31,61767.7,7.0,HW,B,1,0.016238,,,,
5,4,44,50703.4,7.2,HW,B,2,0.0063918,,,,
6,4,9,84110.0,6.3,HW,D,2,0.0063918,,,,
7,4,37,96281.6,7.1,HW,B,2,0.0063918,,,,
8,5,44,50772.5,7.2,HW,B,2,0.0063925,,,,
9,5,9,83973.4,6.3,FW,D,2,0.0063925,,,,
10,5,37,96031.6,7.1,HW,B,2,0.0063925,,,,
11,6,10,97970.1,6.4,HW,D,1,0.034252,,,,
12,7,10,95434.1,6.4,HW,B,1,0.034457,,,,
13,8,127,380.1,7.7,HW,B,1,0.017717,,,,
14,8,38,11781.8,7.1,HW,D,1,0.017717,,,,
15,8,58,25639.0,7.3,HW,B,1,0.017717,,,,
16,8,36,70932.4,7.0,HW,B,1,0.017717,,,,
17,8,21,79220.4,6.8,HW,B,1,0.017717,,,,
18,8,14,93625.3,6.6,HW,DE,1,0.017717,,,,
19,8,32,98018.7,7.0,HW,DE,1,0.017717,,,,
20,8,28,100779.4,6.9,HW,B,1,0.017717,,,,
21,9,10,24989.6,6.4,HW,B,1,0.03743,,,,
22,10,37,17455.4,7.1,HW,B,2,0.0054203,,,,
23,10,20,28756.3,6.8,HW,B,2,0.0054203,,,,
24,10,9,75507.6,6.3,HW,B,2,0.0054203,,,,
25,10,2,93233.1,5.6,HW,B,2,0.0054203,,,,
26,11,40,57390.9,7.1,HW,OTHER,2,0.0038188,,,,
27,12,70,3764.0,7.4,HW,B,2,0.015113,,,,
28,12,28,82556.3,6.9,HW,B,2,0.015113,,,,
29,13,53,4053.3,7.2,HW,D,2,0.0049137,,,,
30,13,44,19999.3,7.2,HW,B,2,0.0049137,,,,
31,13,104,27738.4,7.6,HW,B,2,0.0049137,,,,
32,13,12,48926.2,6.5,HW,B,2,0.0049137,,,,
33,13,32,78919.9,7.0,HW,B,2,0.0049137,,,,
34,13,29,89222.8,6.9,HW,B,2,0.0049137,,,,
35,14,55,249.5,7.3,HW,B,2,0.021528,,,,
36,14,64,9895.2,7.3,HW,C,2,0.021528,,,,
37,14,24.723261,11070.0,6.9,HW,C,2,0.021528,,,,
38,14,24.633328,30201.3,6.9,HW,B,2,0.021528,,,,
39,14,68,44197.8,7.4,HW,B,2,0.021528,,,,
40,14,49,60118.5,7.2,HW,D,2,0.021528,,,,
41,14,72,93057.3,7.4,HW,B,2,0.021528,,,,
42,14,29,96249.5,6.9,HW,B,2,0.021528,,,,
43,15,70,70693.0,7.4,HW,B,2,0.015613,,,,
44,15,49,84929.2,7.2,HW,B,2,0.015613,,,,
45,15,72,86835.3,7.4,HW,B,2,0.015613,,,,
46,15,55,97860.3,7.3,HW,B,2,0.015613,,,,
47,15,68,101610.8,7.4,HW,D,2,0.015613,,,,
48,16,54,1228.5,7.3,HW,OTHER,2,0.01748,,,,
49,16,42,8409.5,7.1,HW,B,2,0.01748,,,,
50,16,123,14368.4,7.7,HW,B,2,0.01748,,,,
51,16,26,20127.5,6.9,HW,B,2,0.01748,,,,
52,16,15,34891.9,6.6,HW,B,2,0.01748,,,,
53,16,31,40177.8,7.0,FW,B,2,0.01748,,,,
54,16,56,52700.4,7.3,HW,B,2,0.01748,,,,
55,16,162,63209.5,7.8,HW,OTHER,2,0.01748,,,,
56,16,66,67369.4,7.4,HW,D,2,0.01748,,,,
57,16,16,69582.7,6.6,HW,B,2,0.01748,,,,
58,16,19,76049.8,6.7,HW,D,2,0.01748,,,,
59,16,85,85317.8,7.5,HW,D,2,0.01748,,,,
60,16,13,88597.3,6.5,HW,D,2,0.01748,,,,
61,16,11,100014.5,6.4,HW,B,2,0.01748,,,,
62,16,45,102840.4,7.2,HW,B,2,0.01748,,,,
63,17,40,30668.8,7.1,HW,B,2,0.0040064,,,,
64,18,64,212.1,7.3,HW,D,1,0.015114,,,,
65,18,38,19204.6,7.1,HW,B,1,0.015114,,,,
66,18,10,26846.6,6.4,HW,B,1,0.015114,,,,
67,18,59,52384.5,7.3,HW,B,1,0.015114,,,,
68,18,57,58993.0,7.3, FW,B,1,0.015114,,,,
69,18,37,64123.4,7.1,HW,B,1,0.015114,,,,
70,18,23,69721.3,6.8,HW,B,1,0.015114,,,,
71,18,26,74409.1,6.9, HW,B,1,0.015114,,,,
72,18,12,76082.7,6.5,HW,B,1,0.015114,,,,
73,18,15,78035.5,6.6,HW,B,1,0.015114,,,,
74,18,13,81909.7,6.5,HW,B,1,0.015114,,,,
75,18,93,83289.1,7.5,HW,B,1,0.015114,,,,
76,18,58,87849.1,7.3,HW,B,1,0.015114,,,,
77,18,3,91823.9,5.8,HW,B,1,0.015114,,,,
78,18,10,96266.0,6.4,HW,B,1,0.015114,,,,
79,18,111,96838.2,7.6,HW,B,1,0.015114,,,,
80,19,14,4170.4,6.6,HW,B,1,0.022389,,,,
81,19,53,4555.7,7.2,HW,C,1,0.022389,,,,
82,19,43,9737.1,7.1,HW,D,1,0.022389,,,,
83,19,93,12018.9,7.5,HW,B,1,0.022389,,,,
84,19,38,13913.7,7.1,HW,B,1,0.022389,,,,
85,19,17,23287.0,6.7,HW,B,1,0.022389,,,,
86,19,15,25904.4,6.6,HW,B,1,0.022389,,,,
87,19,54,28214.8,7.3,HW,B,1,0.022389,,,,
88,19,47,29233.6,7.2,HW,B,1,0.022389,,,,
89,19,54,31362.7,7.3,HW,B,1,0.022389,,,,
90,19,10,35932.5,6.4,HW,CD,1,0.022389,,,,
91,19,42,35984.3,7.1,HW,B,1,0.022389,,,,
92,19,54,36124.5,7.3,HW,B,1,0.022389,,,,
93,19,33,41541.6,7.0,HW,B,1,0.022389,,,,
94,19,79,48356.9,7.4,HW,B,1,0.022389,,,,
95,19,24,49373.1,6.8,HW,B,1,0.022389,,,,
96,19,55,51171.8,7.3,HW,B,1,0.022389,,,,
97,19,24,64898.7,6.8,HW,B,1,0.022389,,,,
98,19,172,65146.8,7.8,HW,B,1,0.022389,,,,
99,19,57,83152.5,7.3,HW,B,1,0.022389,,,,
100,19,30,89900.2,7.0,HW,OTHER,1,0.022389,,,,
101,19,111,91099.7,7.6,HW,OTHER,1,0.022389,,,,
102,20,44,66100.9,7.2,HW,DE,2,0.0067415,,,,
103,20,9,100842.3,6.3, FW,B,2,0.0067415,,,,
104,21,44,66628.4,7.2,HW,B,2,0.0067554,,,,
105,21,9,101263.1,6.3, HW,B,2,0.0067554,,,,
106,22,38,189.4,7.1,HW,D,2,0.046048,,,,
107,22,28,10481.0,6.9,HW,B,2,0.046048,,,,
108,22,24,11150.7,6.8,HW,B,2,0.046048,,,,
109,22,53,13923.0,7.2,HW,B,2,0.046048,,,,
110,22,34,20868.2,7.0,HW,CD,2,0.046048,,,,
