OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,ESHM_med,NGAE_med,S09yc_med,S09nc_med,A12_std,AB06_std,D15_std,ESHM_std,NGAE_std,S09yc_std,S09nc_std,A12_wt,AB06_wt,D15_wt,ESHM_wt,NGAE_wt,S09yc_wt,S09nc_wt
1,3,38,12675.7,7.1,HW,B,1,-0.3469690364013008,-0.6112151156436904,-1.5509033380091297,-0.44004562065690267,-0.03128833087340335,0.04495752333797998,-1.009178409672903,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
2,3,19,25485.8,6.7,HW,B,1,-1.5510660835158085,-1.9011541082564658,-2.2568479740334055,-1.2910961211404925,-1.0030878326699681,-1.0345798321339323,-1.8199993493109985,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
3,3,14.25,57441.6,6.6,HW,CD,1,-2.8188779272483453,-3.224555897061501,-3.0588674347279494,-2.243098252386764,-2.1719537370381614,-2.1484023966018375,-2.6931458709136273,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
4,3,31,61767.7,7.0,HW,B,1,-2.5476331235389353,-2.9800984563857518,-2.8221109261422974,-2.0232314132554365,-1.8571552740059036,-1.8210584234182305,-2.413376042969673,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
11,6,10,97970.1,6.4,HW,D,1,-3.550502106575003,-3.774058598929672,-3.819336925466756,-3.054195349780075,-2.953115542285054,-3.120575429572798,-3.5162043989117024,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7361330183314546,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
12,7,10,95434.1,6.4,HW,B,1,-3.544930575864779,-3.7703774690359793,-3.788115725510521,-3.020408304431034,-2.9249397319829877,-3.07879037982659,-3.481580287417042,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7361330183314546,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
13,8,127,380.1,7.7,HW,B,1,1.1406633401590356,1.3605181484998918,-0.8829442019786153,0.6270294840164077,0.7464428698092056,1.5087840086530324,-0.08367137796449875,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
14,8,38,11781.8,7.1,HW,D,1,-0.25755367782482524,-0.507618546230815,-1.510511152979367,-0.3802857372267109,0.018890068879402398,0.10886463891118292,-0.9628137012233867,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
15,8,58,25639.0,7.3,HW,B,1,-1.1392456388634855,-1.4851958875661586,-1.9135564018461046,-0.9555753150140109,-0.5859936890871867,-0.441764939269467,-1.3880356477040259,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
16,8,36,70932.4,7.0,HW,B,1,-2.740858008213448,-3.1702510565265194,-2.95640563428004,-2.1735588865678577,-2.0026308455548074,-2.003261962018501,-2.557653580641987,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
17,8,21,79220.4,6.8,HW,B,1,-3.0477196291471333,-3.359055039052558,-3.224044911860112,-2.4587930335521855,-2.313490476927964,-2.3831373977280177,-2.8605359585600496,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
18,8,14,93625.3,6.6,HW,DE,1,-3.3037558483182186,-3.5681514593765162,-3.5792302605792363,-2.825610403281674,-2.685489069652095,-2.8463459738524746,-3.2546718424048735,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
19,8,32,98018.7,7.0,HW,DE,1,-2.891858528665317,-3.209568165611511,-3.2940733823691213,-2.538067438711828,-2.3064466818587164,-2.462220393193617,-2.930539811170334,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
20,8,28,100779.4,6.9,HW,B,1,-2.996839992935911,-3.3005355465302717,-3.4051752036141356,-2.6570936124725693,-2.4421265824814236,-2.6244600566881173,-3.05853230636391,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
21,9,10,24989.6,6.4,HW,B,1,-1.7881382248737852,-2.1216284749312218,-2.455975658458223,-1.4400758108214715,-1.2251040327154892,-1.2565981426582735,-2.046763930707762,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7361330183314546,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
64,18,64,212.1,7.3,HW,D,1,1.1787916906508256,1.4007212842235675,-0.9734551464060306,0.5465236078766669,0.7201550023254021,1.1295541724187674,-0.2488771330165172,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
65,18,38,19204.6,7.1,HW,B,1,-0.8781175940748149,-1.201862638040414,-1.8108347582860524,-0.8014650640478397,-0.39484222894658194,-0.35250820621774914,-1.2997160180548133,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
66,18,10,26846.6,6.4,HW,B,1,-1.8940934112599421,-2.2319435216375147,-2.516756040390172,-1.5186623155755874,-1.3126563115715308,-1.3429834797471556,-2.1122734950147284,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7361330183314546,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
67,18,59,52384.5,7.3,HW,B,1,-2.087140718521605,-2.5025564646260614,-2.4767843806152663,-1.6307121291705664,-1.4206646752995074,-1.2606620014626673,-2.011381170661928,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
68,18,57,58993.0,7.3, FW,B,1,-2.246411483431253,-2.6748625908750863,-2.581153073750553,-1.7489740348714584,-1.5425225660093065,-1.4037361052664776,-2.1221377265352737,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
69,18,37,64123.4,7.1,HW,B,1,-2.5152054666082404,-2.953601323218944,-2.787692769038068,-1.9867964775602684,-1.8031154792198492,-1.752782681350503,-2.366810977259569,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
70,18,23,69721.3,6.8,HW,B,1,-2.901631210391501,-3.339510752786147,-3.091718906278165,-2.3119744903267434,-2.190204996363956,-2.204607185800365,-2.7171139782717666,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
71,18,26,74409.1,6.9, HW,B,1,-2.8992287147942584,-3.2622577469893983,-3.079775547921338,-2.306346974586315,-2.147315801243537,-2.1833805465009704,-2.6983880864852763,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
72,18,12,76082.7,6.5,HW,B,1,-3.3399319854428424,-3.6410610462251554,-3.4374355605685354,-2.6537214439395194,-2.580956977959158,-2.6368683995027937,-3.0994773469302186,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
73,18,15,78035.5,6.6,HW,B,1,-3.264603722918905,-3.545522090757945,-3.3763858752131117,-2.6035599980970394,-2.5046347519048155,-2.5738638699037204,-3.0320940103100176,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
74,18,13,81909.7,6.5,HW,B,1,-3.391567402953346,-3.649519225992722,-3.518731696218494,-2.744190903603566,-2.657779716161248,-2.7456540995197534,-3.1876522314871147,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
75,18,93,83289.1,7.5,HW,B,1,-2.425877995656942,-2.796187432602247,-2.779289342378997,-1.939308638669046,-1.6761827356615884,-1.579021167577391,-2.3125887732526986,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
76,18,58,87849.1,7.3,HW,B,1,-2.596782088743304,-2.951046403588206,-2.959659428804638,-2.1611906508485785,-1.9135495955517507,-1.9228945263981356,-2.5358597764827886,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
77,18,3,91823.9,5.8,HW,B,1,-4.352541607571682,-4.432419147247551,-4.374195276955725,-3.621215714229272,-3.579071959104525,-3.7674099117343554,-4.079871529311807,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7880556916938746,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
78,18,10,96266.0,6.4,HW,B,1,-3.5467743927996813,-3.7715850131836777,-3.7984177873439777,-3.031573050591103,-2.9340952079170677,-3.0925762338362137,-3.492992772433611,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7361330183314546,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
79,18,111,96838.2,7.6,HW,B,1,-2.387236783794284,-2.746014716728179,-2.867729864053614,-2.008866062266425,-1.7285347473950141,-1.642125955657661,-2.4003138050300277,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
80,19,14,4170.4,6.6,HW,B,1,0.5853497391015029,0.15946074412250194,-1.37060052544014,0.12711295973137746,0.3118505770694461,0.3811015143545837,-0.7910119553917992,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
81,19,53,4555.7,7.2,HW,C,1,0.7099924500225561,0.33590499033115573,-1.1255526698358291,0.2500487852639701,0.44639486771276726,0.7966781964611847,-0.4764087035008424,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
82,19,43,9737.1,7.1,HW,D,1,-0.032583352142534265,-0.2560001943668252,-1.4139082053627416,-0.23154165638526383,0.1291984026763444,0.265232966115011,-0.8496880730490031,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
83,19,93,12018.9,7.5,HW,B,1,-0.11364929295861678,-0.33119482164881653,-1.3658947300159898,-0.2300425116141869,0.15733437314275864,0.4946819591168291,-0.7460928882661101,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
84,19,38,13913.7,7.1,HW,B,1,-0.46298667574758184,-0.7433670368954578,-1.604871804660774,-0.5180792306593253,-0.10522261845092447,-0.03933282442889241,-1.0704635809056113,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
85,19,17,23287.0,6.7,HW,B,1,-1.4232226051346002,-1.76646231036483,-2.185437177080755,-1.198650438898143,-0.8781632376974258,-0.9315080559191428,-1.7425346978742304,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
86,19,15,25904.4,6.6,HW,B,1,-1.6590521194692571,-2.0064625048398947,-2.3389580058911887,-1.3650708879713533,-1.0987588861770585,-1.1395274270822595,-1.9140025197205786,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
87,19,54,28214.8,7.3,HW,B,1,-1.2646940452753794,-1.6200445952540097,-1.9830816968564289,-1.042647085152363,-0.6879827765639187,-0.5443969486134977,-1.4645255826877963,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
88,19,47,29233.6,7.2,HW,B,1,-1.3734565601351878,-1.7357121687140422,-2.0614633705910936,-1.1349278592711978,-0.799827910269517,-0.6950224440755148,-1.5632049890756181,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
89,19,54,31362.7,7.3,HW,B,1,-1.4040458718851951,-1.7694748279658483,-2.0620069880582705,-1.1400753467982165,-0.8056928609158762,-0.6603538912523409,-1.5514879139338666,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
90,19,10,35932.5,6.4,HW,CD,1,-2.3275152004014035,-2.6827947531222436,-2.775325936026133,-1.8449254311023673,-1.7070729238911344,-1.7077127869443784,-2.3915294538749694,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7361330183314546,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
