OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,S09nc_med,NGAE_med,A12_std,AB06_std,D15_std,S09nc_std,NGAE_std,A12_wt,AB06_wt,D15_wt,S09nc_wt,NGAE_wt
5,4,44,50703.4,7.2,HW,B,2,-2.470527768087098,-2.9172768581554696,-2.5960956220254605,-2.251112912198995,-2.2182689072293837,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
6,4,9,84110.0,6.3,HW,D,2,-4.217721591809308,-4.380705158984239,-3.902943174140101,-3.978210766557673,-3.712086657680526,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
7,4,37,96281.6,7.1,HW,B,2,-3.019788750099321,-3.3915219725330976,-3.1857569595565494,-2.868694950845606,-2.711942920192924,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
8,5,44,50772.5,7.2,HW,B,2,-2.4720047339351683,-2.9187386158194597,-2.5970832644008364,-2.2519860408190757,-2.219191685814245,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
9,5,9,83973.4,6.3,FW,D,2,-4.218133756670633,-4.380551478099998,-3.9014048775020096,-3.9767491059733535,-3.711248930509448,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
10,5,37,96031.6,7.1,HW,B,2,-3.0202371335102023,-3.391240711763988,-3.1834319219657066,-2.866328038579214,-2.7106343784982045,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
22,10,37,17455.4,7.1,HW,B,2,-1.4334331002534393,-1.8718830999462637,-1.975702571243825,-1.3618547589358798,-1.246676075752995,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
23,10,20,28756.3,6.8,HW,B,2,-2.259584605180541,-2.687221977304483,-2.507810565955245,-2.2133799214231535,-2.0242449953413586,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
24,10,9,75507.6,6.3,HW,B,2,-4.127666548966816,-4.371027088423499,-3.8024235067857157,-3.8838588593955707,-3.651469092150254,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
25,10,2,93233.1,5.6,HW,B,2,-5.6623066863084714,-5.620021871287546,-5.059630715508529,-5.175549323812476,-5.004885865410954,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
26,11,40,57390.9,7.1,HW,OTHER,2,-2.703134095585279,-3.1431369322104117,-2.760092776890123,-2.4600102344076302,-2.4136680665083765,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
27,12,70,3764.0,7.4,HW,B,2,-0.2774450074124454,-0.5866341837913032,-1.2923146733618769,-0.18517362116889388,-0.4185236383128945,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
28,12,28,82556.3,6.9,HW,B,2,-3.288864116558188,-3.586624104283594,-3.2238078778110912,-3.014520234944111,-2.872768407331171,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
29,13,53,4053.3,7.2,HW,D,2,-0.3656089269759003,-0.6852901483836557,-1.3838747362838595,-0.4079827074802599,-0.5202519989268715,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
30,13,44,19999.3,7.2,HW,B,2,-1.4904468448928676,-1.9373297243691068,-1.9927421557665956,-1.357546950338413,-1.2961438204360152,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
31,13,104,27738.4,7.6,HW,B,2,-1.5661775661697832,-2.0166509088224616,-1.9923518184875586,-1.23022804854792,-1.2738156936387253,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
32,13,12,48926.2,6.5,HW,B,2,-3.2755619570701713,-3.6509256550099862,-3.1936162658926657,-3.24213345182539,-2.999814270725368,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
33,13,32,78919.9,7.0,HW,B,2,-3.1674897163595284,-3.4739131961714693,-3.0963225603230566,-2.8339156602593563,-2.721152323954603,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
34,13,29,89222.8,6.9,HW,B,2,-3.2738966745499822,-3.59412420395266,-3.2923563917323677,-3.0817641895813286,-2.9116454440725015,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
