OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT m,EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,S09nc_med,NGAE_med,A12_std,AB06_std,D15_std,S09nc_std,NGAE_std,A12_wt,AB06_wt,D15_wt,S09nc_wt,NGAE_wt
5,4,44,50703.4,7.2,HW,B,2,-2.1156168,-2.52911993,-2.5091406,-2.05939878,-1.477772248,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
6,4,9,84110,6.3,HW,D,2,-3.64331104,-3.85802024,-3.73754227,-3.42233177,-2.907300442,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
7,4,37,96281.6,7.1,HW,B,2,-2.7933542,-3.12293995,-3.19791423,-2.81777515,-2.191431924,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
8,5,44,50772.5,7.2,HW,B,2,-2.11746441,-2.53110537,-2.51032791,-2.06064485,-1.478960221,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
9,5,9,83973.4,6.3,FW,D,2,-3.64296779,-3.85782196,-3.73566698,-3.42029114,-2.905666954,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
10,5,37,96031.6,7.1,HW,B,2,-2.79277894,-3.12257707,-3.19510718,-2.81461344,-2.188847748,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
22,10,37,17455.4,7.1,HW,B,2,-0.75323227,-1.06573233,-1.74691029,-1.22913619,-0.297418288,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
23,10,20,28756.3,6.8,HW,B,2,-1.64035957,-2.00223365,-2.28772664,-1.84731491,-1.075562168,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
24,10,9,75507.6,6.3,HW,B,2,-3.55799859,-3.84553343,-3.61500171,-3.28979572,-2.794179928,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
25,10,2,93233.1,5.6,HW,B,2,-4.66229721,-4.67971893,-4.62928046,-4.33305723,-3.834659566,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
26,11,40,57390.9,7.1,HW,OTHER,2,-2.36238379,-2.78866329,-2.68437655,-2.25663222,-1.688070959,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
27,12,70,3764,7.4,HW,B,2,0.85453542,0.52293317,-1.03094103,-0.33355202,0.531726428,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
28,12,28,82556.3,6.9,HW,B,2,-2.95321154,-3.27408381,-3.18757169,-2.81620544,-2.247089715,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
29,13,53,4053.3,7.2,HW,D,2,0.78507788,0.41851303,-1.10427407,-0.44640402,0.475855605,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
30,13,44,19999.3,7.2,HW,B,2,-0.87253326,-1.1968361,-1.78876816,-1.26373213,-0.387647329,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
31,13,104,27738.4,7.6,HW,B,2,-1.08393404,-1.41863482,-1.83501982,-1.25520314,-0.479977015,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
32,13,12,48926.2,6.5,HW,B,2,-2.68451321,-3.06911465,-2.9841663,-2.61938833,-2.080580591,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
33,13,32,78919.9,7,HW,B,2,-2.84417906,-3.18184531,-3.06387493,-2.67473322,-2.101809714,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
34,13,29,89222.8,6.9,HW,B,2,-2.97019804,-3.28376057,-3.27053334,-2.90787858,-2.321147519,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
35,14,55,249.5,7.3,HW,B,2,1.17826005,1.40072128,-0.97370365,-0.2492673,0.717091272,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
36,14,64,9895.2,7.3,HW,C,2,0.03213824,-0.16573043,-1.34170943,-0.74461195,0.185479664,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
37,14,24.723261,11070,6.9,HW,C,2,-0.28770344,-0.53644299,-1.57207304,-1.04897026,-0.028183501,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
38,14,24.633328,30201.3,6.9,HW,B,2,-1.63011535,-1.99757037,-2.26275821,-1.81287386,-1.062729784,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
39,14,68,44197.8,7.4,HW,B,2,-1.79435429,-2.18912731,-2.27803156,-1.77914285,-1.132409901,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
40,14,49,60118.5,7.2,HW,D,2,-2.34696714,-2.77854979,-2.66110419,-2.22023006,-1.653498739,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
41,14,72,93057.3,7.4,HW,B,2,-2.52814028,-2.88305973,-2.95204004,-2.5178612,-1.870061493,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
42,14,29,96249.5,6.9,HW,B,2,-2.9867801,-3.29396017,-3.3536548,-3.00061014,-2.394188724,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
43,15,70,70693,7.4,HW,B,2,-2.41548699,-2.85059684,-2.68478377,-2.22085832,-1.627365402,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
44,15,49,84929.2,7.2,HW,B,2,-2.67522591,-3.02520802,-2.99391969,-2.58274231,-1.977791034,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
45,15,72,86835.3,7.4,HW,B,2,-2.51256702,-2.87402819,-2.88231315,-2.43938811,-1.807425669,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
46,15,55,97860.3,7.3,HW,B,2,-2.62093251,-2.96557816,-3.07133161,-2.66171095,-2.014207812,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
47,15,68,101610.8,7.4,HW,D,2,-2.54792904,-2.89547556,-3.04328691,-2.62160893,-1.954471593,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
