STA,KAPPA,CNT
AS31,-0.131364,4
ASR01,-0.105431,2
ASR02,-0.040358,2
ASR03,-0.057851,2
ASR12,-0.393189,1
ASR13,-0.014960,1
AUALB,0.018168,49
AUBUS,0.086574,44
AUHAR,0.079486,33
AUKAL,0.038759,16
AUKUL,0.026348,53
AUMAZ,-0.003470,50
BBOO,0.041822,6
BCON,-0.029397,65
BK1,0.015954,28
BK4,0.051030,8
BK5,-0.025211,12
BK6,0.029780,18
BK7,0.001920,18
BK8,0.002087,18
BK9,-0.041190,18
BLDU,0.038856,139
CA3,0.019547,25
CA4,0.022237,6
CARL,0.044025,29
CMC,-0.019480,28
COOLG,-0.002427,33
CSBB,-0.111635,1
DAM,0.003565,12
DNDOZ,-0.006611,11
EPS,0.049585,2
FAW,-0.025300,6
FITZ,-0.065576,10
FORT,0.007150,48
GIRL,0.073709,15
GNGN,0.054519,8
GOK,-0.032778,2
HTT,-0.053172,2
KANBL,-0.030408,4
KLBR,0.025793,188
KLGGI,0.020932,10
KLGHH,-0.024854,9
KLGHS,-0.015061,9
KMBL,-0.007839,79
KNRA,-0.054937,1
KOO1,0.036751,1
KOO2,0.030161,1
KORDA,-0.015188,56
LCRK,0.026326,3
LM01,-0.052807,15
LM02,-0.012482,10
LM03,-0.018991,16
LM05,-0.047294,16
MBWA,0.002940,9
MEEK,-0.003643,127
MENZ,-0.006671,8
MORW,0.020741,154
MTKN,0.110974,58
MULG,-0.027804,4
MUN,0.057827,57
NAPP,-0.178454,2
NOR10,-0.047733,23
NOR11,-0.039358,22
NOR12,-0.103132,23
NWAO,0.061554,158
ONGER,-0.038236,68
OOD,0.028127,4
PIG,0.005302,2
PIG2,0.041412,22
PIG3,-0.025143,23
PIG4,0.044711,9
PSA00,0.024000,5
RKGY,-0.028750,176
SDAN,-0.213926,2
SWH10,0.023875,2
SWH4,0.072432,2
SWH5,0.102845,1
SWH8,0.087830,2
SWN00,-0.001712,44
SWN01,0.112558,21
SWN02,0.011081,36
SWN03,-0.000427,51
SWN04,-0.025671,14
SWN05,0.007826,25
SWN07,-0.039756,45
SWN08,0.077616,31
SWN09,-0.000837,35
SWN10,0.025627,39
SWN11,0.005671,33
SWN12,-0.023144,44
SWN14,-0.018159,29
SWN15,-0.013038,56
SWN16,0.017986,40
SWN17,0.078384,31
SWN18,0.035789,30
SWN19,-0.067461,30
SWN20,0.008556,26
SWN21,0.077830,38
SWN22,0.001958,44
SWN23,0.016626,45
SWN24,0.035231,3
SWN25,0.025531,31
SWN26,0.048117,50
SWN27,0.040811,16
SWNNA,0.039615,23
SWNNB,0.026934,27
SWNNC,0.016442,23
SWNND,0.046687,39
SWNNE,-0.059918,30
SWNNF,0.003067,30
SWNNG,0.014965,22
SWNNH,0.050300,18
SWNNI,0.004791,13
SWNNJ,-0.047986,6
SWNNK,0.022457,9
WATNG,-0.019895,62
WRKA,-0.049202,5
YAPP,0.009492,2
MEDIAN_SITE,0.005047,nan
