freq,c0,c1,c2,m0,m1
0.1000,-1.3000,0.0000,-9.2969e-04,-0.3052,-1.2941
0.1040,-1.3000,0.0000,-9.2511e-04,-0.3052,-1.2939
0.1082,-1.3000,0.0000,-9.2107e-04,-0.3051,-1.2938
0.1126,-1.3000,0.0000,-9.1755e-04,-0.2994,-1.2693
0.1171,-1.3000,0.0000,-9.1455e-04,-0.2993,-1.2692
0.1218,-1.3000,0.0000,-9.1209e-04,-2.2391,6.9554
0.1267,-1.3000,0.0000,-9.1015e-04,-2.2223,6.8845
0.1318,-1.3000,0.0000,-9.0873e-04,-2.2074,6.8212
0.1371,-1.3000,0.0000,-9.0784e-04,-2.1937,6.7635
0.1427,-1.3000,0.0000,-9.0748e-04,-1.6443,4.9914
0.1484,-1.3000,0.0000,-9.0764e-04,-1.6333,4.9405
0.1544,-1.3000,0.0000,-9.0833e-04,-1.6219,4.8879
0.1606,-1.3000,0.0000,-9.0955e-04,-1.6087,4.8282
0.1671,-1.3000,0.0000,-9.1130e-04,-1.6225,4.8572
0.1738,-1.3000,0.0000,-9.1357e-04,-1.6076,4.7888
0.1808,-1.3000,0.0000,-9.1636e-04,-1.6034,4.7556
0.1881,-1.3000,0.0000,-9.1968e-04,-1.5929,4.6949
0.1956,-1.3000,0.0000,-9.2353e-04,-1.5611,4.5689
0.2035,-1.3000,0.0000,-9.2791e-04,-1.5417,4.4887
0.2117,-1.3000,0.0000,-9.3281e-04,-1.3607,3.6534
0.2202,-1.3000,0.0000,-9.3824e-04,-1.3391,3.5594
0.2291,-1.3000,0.0000,-9.4419e-04,-1.1122,2.5417
0.2383,-1.3000,0.0000,-9.5067e-04,-1.0865,2.4228
0.2479,-1.3000,0.0000,-9.5768e-04,-0.9661,1.8646
0.2579,-1.3000,0.0000,-9.6521e-04,-0.9687,1.8486
0.2683,-1.3000,0.0000,-9.7327e-04,-0.9502,1.7600
0.2791,-1.3000,0.0000,-9.8186e-04,-0.9265,1.6526
0.2903,-1.3000,0.0000,-9.9097e-04,-0.9208,1.6041
0.3020,-1.3000,0.0000,-1.0006e-03,-0.9361,1.5293
0.3142,-1.3000,0.0000,-1.0108e-03,-0.9210,1.4267
0.3268,-1.3000,0.0000,-1.0215e-03,-0.8967,1.3118
0.3400,-1.3000,0.0000,-1.0327e-03,-0.8709,1.1903
0.3536,-1.3000,0.0000,-1.0444e-03,-0.8398,1.0502
0.3679,-1.3000,0.0000,-1.0567e-03,-0.8189,0.9167
0.3827,-1.3000,0.0000,-1.0695e-03,-0.7678,0.6009
0.3981,-1.3000,0.0000,-1.0828e-03,-0.7476,0.4476
0.4141,-1.3000,0.0000,-1.0967e-03,-0.6103,-0.2071
0.4308,-1.3000,0.0000,-1.1110e-03,-0.6882,0.1251
0.4482,-1.3000,0.0000,-1.1259e-03,-0.6149,-0.2757
0.4662,-1.3000,0.0000,-1.1414e-03,-0.6418,-0.2071
0.4850,-1.3000,0.0000,-1.1573e-03,-0.4961,-0.9030
