EVENT,GAID,LON,LAT,DEP,OMAG,OMAG_TYPE,MB,BRUNE_MAG,BRUNE_MAG_STD,STRESS_DROP,LOG_STRESS_DROP_STD,CORN_FREQ,CORN_FREQ_STD,NRECS,FMIN,FMAX,QUALITY,ML2800,ML2080,DOMAIN
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.7,5.051076802,0.391657338,8.084389925,0.370869395,1.020993914,0.688889041,8,0.3,5,0,5.547,5.464,NCBM
1990-01-17T06:38:08.000000Z,ga1990bdwvef,116.99,-31.72,6,5.5,mb,5.2,5.041930598,0,3.237913814,0,0.760563711,0,1,0.2,7,0,nan,nan,CBGZ
1990-11-27T21:16:26.000000Z,ga1990xjjyjn,133.599,-20.046,0,5.2,mb,5.1,5.867949384,0,0.091050604,0,0.089357715,0,1,1,7,0,nan,nan,CBGZ
1991-03-07T01:28:08.000000Z,ga1991eplddz,133.809,-20.021,2,5.1,mb,5.1,6.176945283,0,0.056892147,0,0.053525073,0,1,1,7,0,nan,nan,CBGZ
1991-06-19T11:38:24.000000Z,ga1991lzcwor,133.95,-19.79,8,5.1,ML,nan,4.447516813,0,1.502716652,0,1.167382281,0,1,0.4,4,0,nan,nan,CBGZ
1991-07-08T10:45:34.000000Z,ga1991nhxxtt,133.866,-19.861,5,5,ML,nan,4.630524781,0,0.414167497,0,0.615378169,0,2,0.04,7,2,nan,nan,CBGZ
1991-08-06T14:11:48.000000Z,ga1991pjkuzy,143.506,-18.222,17,4.8,ML,nan,4.07022407,0,0.664957762,0,1.373509884,0,1,0.6,8,0,nan,nan,CBGZ
1992-06-13T18:05:21.000000Z,ga1992lqlbpu,130.05,-23.66,16,5.1,mb,5.1,4.838296178,0.261424662,0.419900938,0.397157805,0.486683546,0.258433171,2,0.7,4,2,nan,nan,CBGZ
1992-09-30T11:18:07.000000Z,ga1992thzsqb,134.573,-11.354,39,5.4,mb,5.4,4.803238758,0,1.548360934,0,0.782859501,0,1,0.3,3,0,nan,nan,CBGZ
1993-10-21T05:27:28.000000Z,ga1993usgqbm,133.944,-19.862,5,4.8,ML,nan,4.127755617,0.197317942,1.002272373,0.260738855,1.473883811,0.03987943,2,0.5,2,2,nan,nan,CBGZ
1993-12-18T19:27:31.000000Z,ga1993yvuozu,133.8567,-11.8274,19.3,4.8,mb,4.8,4.935020437,0,1.528520802,0,0.669770533,0,1,0.8,12,0,nan,nan,CBGZ
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,nan,3.666278843,0.079846704,16.5170074,0.432575951,6.38043326,2.301399641,8,0.8,12,1,3.907,3.801,EBGZ
1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2,4.7,mwt,5.3,5.294979121,0.287044353,1.793860126,0.415115639,0.466787376,0.329885994,21,0.2,10,1,5.195,5.108,NCBM
1994-08-21T05:53:51.000000Z,ga1994qkifcs,148.364,-33.421,1,4.1,MLa,nan,3.883110241,0.284987097,0.666605229,0.485997962,1.705088488,1.17690601,5,0.6,12,1,3.954,3.852,NCBM
1994-08-31T20:48:30.000000Z,ga1994rdvcvz,133.321,-19.859,5,4.5,mb,4.5,3.763678847,0.270325842,0.106801368,0.383766406,1.062589007,0.569282066,7,0.5,9,0,3.64,3.542,CBGZ
1995-05-20T11:29:11.000000Z,ga1995jwaufs,150.07,-33.86,6,3.6,MLa,nan,3.51609956,0.185559072,2.403740961,0.563795905,3.989562244,1.719061007,15,0.8,12,1,3.661,3.555,NCBM
