EVENT,GAID,LON,LAT,DEP,OMAG,OMAG_TYPE,MB,BRUNE_MAG,BRUNE_MAG_STD,STRESS_DROP,LOG_STRESS_DROP_STD,CORN_FREQ,CORN_FREQ_STD,NRECS,FMIN,FMAX,QUALITY,ML2800,ML2080,DOMAIN,CLUSTER
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,nan,3.666431754,0.079846695,16.50969831,0.432575978,6.378368987,2.301399431,8,0.8,12,1,3.907,3.801,EBGZ,3
1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2,4.7,mwt,5.3,5.29431155,0.289845983,1.805154889,0.414930754,0.46812466,0.344203309,21,0.2,10,1,5.195,5.108,NCBM,4
1994-08-21T05:53:51.000000Z,ga1994qkifcs,148.364,-33.421,1,4.1,MLa,nan,3.882884149,0.284921508,0.675553767,0.485924019,1.713130195,1.178112825,5,0.6,12,1,3.954,3.852,NCBM,4
1995-05-20T11:29:11.000000Z,ga1995jwaufs,150.07,-33.86,6,3.6,MLa,nan,3.51609956,0.185559072,2.403740961,0.563795905,3.989562244,1.719061007,15,0.8,12,1,3.661,3.555,NCBM,4
1995-05-28T23:12:58.000000Z,ga1995klpxsw,151.408,-32.518,4,3.5,MLa,nan,3.57666675,0.112226942,0.898587376,0.613209787,2.680397474,1.69231569,11,0.8,12,1,3.795,3.695,NCBM,4
1995-06-14T16:41:54.000000Z,ga1995lqihse,133.718,-19.782,16,4.9,ML,nan,4.611942145,0.121139208,1.886001443,0.868689915,1.042050433,1.291288103,5,0.35,6,1,nan,nan,CBGZ,2
1996-06-09T01:43:10.000000Z,ga1996lhvpsr,135.8155,-34.1658,9,4.5,mb,4.5,3.786966661,0.191064851,1.393625056,0.487190034,2.435441985,2.066080313,4,0.8,10,1,nan,nan,CBGZ,5
1996-08-13T04:30:10.000000Z,ga1996pxjivq,143.519,-30.08,2,5.1,mb,4.9,4.80851427,0.124414091,7.629275082,0.467859813,1.324086711,0.40734033,7,0.4,6,1,5.329,5.247,NCBM,5
1996-08-14T09:29:07.000000Z,ga1996pzozil,143.538,-30.121,5,4.4,ML,nan,4.253046637,0.088914799,4.095251397,0.60214947,2.039776926,0.77721241,4,0.6,10,1,4.614,4.533,NCBM,5
1996-09-25T07:49:56.000000Z,ga1996syoevi,146.467,-37.877,11,4.4,mwt,4.7,4.723784272,0.260577086,4.048221295,0.542552001,1.181793916,0.948443645,27,0.2,10,1,4.95,4.852,NCBM,3
1997-03-05T06:15:21.000000Z,ga1997emdexg,138.972,-33.823,22.8,5,mb,4.8,4.800541128,0.141356959,9.503282113,0.529031211,1.437804309,0.719537778,11,0.2,10,1,5.012,4.924,NCBM,5
1997-06-27T03:20:27.000000Z,ga1997mneenh,145.955,-36.75,18,3.9,Mwt,nan,3.923113054,0.17900089,1.366878719,0.599375582,2.068708366,1.880173705,20,0.6,12,1,4.182,4.085,NCBM,3
1997-07-21T15:10:43.000000Z,ga1997ogddrv,137.79,-32.69,10,3.8,MLa,nan,3.72437506,0.233927229,3.274195449,0.414607593,3.479577183,0.959031976,4,0.6,12,1,3.949,3.851,CBGZ,5
1997-08-31T15:23:50.000000Z,ga1997rdkjbx,117.684,-31.449,5,4.6,ML,nan,4.136939104,0.399563962,1.288800276,0.450353259,1.585884152,1.523098479,4,0.6,9,1,4.499,4.41,CBGZ,1
1997-09-01T09:48:37.000000Z,ga1997reuzci,123.138,-18.116,5,4.5,mb,4.3,4.01715768,0.163315141,1.573610073,0.71013945,1.94565577,1.416719078,10,0.5,10,1,4.117,4.021,CBGZ,8
1998-02-14T18:23:34.000000Z,ga1998deensa,148.604,-35.372,0,3.8,Mwt,nan,3.899206016,0.182822039,1.721122142,0.403656704,2.296219286,0.866961953,22,0.75,10,1,4.184,4.088,NCBM,4
1998-06-09T01:00:50.000000Z,ga1998lfymji,135.844,-27.939,3,4.4,ML,nan,4.163272136,0.06088737,0.590877192,0.138581858,1.18633901,0.046361843,4,0.6,8,1,nan,nan,CBGZ,5
1998-07-17T01:22:39.000000Z,ga1998nxsupr,147.942,-36.367,21,3.9,Mwt,nan,4.069022527,0.197880472,5.245783709,0.605677077,2.738028727,1.771644597,12,0.8,12,1,4.42,4.322,NCBM,3
1998-09-27T22:32:08.000000Z,ga1998tbndxs,144.779,-38.357,0,3.8,MLa,nan,3.514807701,0.115161941,2.699296026,0.65726972,4.152969984,3.387949658,13,0.8,12,1,3.819,3.709,EBGZ,3
1998-10-16T13:46:14.000000Z,ga1998ujsnlu,147.385,-34.669,16,3.9,MLa,nan,3.608895321,0.140043587,3.295269494,0.379165787,3.982860752,1.755841526,7,0.8,12,1,3.911,3.809,NCBM,4
1998-11-02T17:09:38.000000Z,ga1998vpepry,151.146,-22.808,0,4.7,mb,4.4,4.491526968,0.237178648,0.980401609,0.308743722,0.962462148,0.333412215,4,0.5,6,1,nan,nan,NCBM,7
1999-01-13T09:40:00.000000Z,ga1999awtyjj,146.374,-38.161,0,3.5,Mwt,nan,3.603058101,0.115796366,11.76000603,0.908307171,6.127536898,6.086450021,11,0.8,12,1,3.891,3.778,EBGZ,3
1999-03-14T00:13:31.000000Z,ga1999fcetak,147.077,-34.001,2,3.9,mwt,nan,4.059806156,0.175586639,3.055414564,0.362349596,2.310997315,0.973567286,9,0.8,10,1,4.474,4.381,NCBM,4
1999-03-17T01:58:10.000000Z,ga1999fhvjvs,150.77,-34.234,8,4.3,mwt,nan,4.600924427,0.276762406,1.639348106,0.507552412,1.007180522,0.612023003,20,0.3,7,1,4.696,4.606,NCBM,4
1999-04-15T04:55:52.000000Z,ga1999hjhimq,134.044,-19.791,6,5.1,ML,nan,4.634321878,0.254945828,2.803659831,0.473043147,1.159026337,0.369329126,6,0.3,5,1,nan,nan,CBGZ,2
1999-08-18T11:01:55.000000Z,ga1999qfffyg,138.464,-33.274,19.5,4.3,MLa,nan,4.400469175,0.257583417,2.278869616,0.511804866,1.415851513,0.533506064,8,0.5,12,1,4.354,4.267,NCBM,5
2000-03-16T13:26:29.000000Z,ga2000fisezh,146.105,-37.478,14,3.8,MLa,nan,3.499499605,0.15143022,4.277339706,0.53576135,4.927809564,2.223384252,15,0.8,12,1,3.758,3.659,NCBM,3
2000-05-14T12:39:41.000000Z,ga2000jmymov,112.901,-22.977,5,4.7,ML,nan,4.719713591,0.180561722,1.436296653,0.071996431,0.840563237,0.233059539,5,0.5,10,1,nan,nan,EBGZ,8
2000-08-29T12:05:52.000000Z,ga2000rbibpq,146.29,-38.415,18,4.1,mwt,nan,4.396523734,0.303469373,2.391168569,0.631853459,1.445286684,1.120865446,22,0.7,10,1,4.658,4.565,EBGZ,3
2000-10-11T19:27:17.000000Z,ga2000ucuxvl,113.066,-19.804,36.2,5.4,mb,5.3,4.894841047,0.173009449,20.29056681,0.297061472,1.660950439,0.518665301,15,0.2,9,1,nan,nan,EBGZ,8
2001-06-14T12:05:14.000000Z,ga2001lpzdhm,138.13,-31.837,18,4,MLa,nan,3.995108679,0.159708203,5.161101738,0.40884669,2.965097222,0.722631812,8,0.8,12,1,4.353,4.261,NCBM,5
2001-08-21T23:13:03.000000Z,ga2001qlqqpu,145.45,-38.183,5,3.7,Mwt,nan,3.506318575,0.172947037,10.08672034,0.732901638,6.507834646,4.191113458,9,1,15,1,3.806,3.694,EBGZ,3
2001-09-14T15:18:30.000000Z,ga2001sdciuu,133.879,-19.702,11,4.9,ML,nan,4.603744003,0.2418189,2.728571102,0.697381505,1.18974045,0.562779918,6,0.7,5,1,nan,nan,CBGZ,2
2001-10-01T04:52:15.000000Z,ga2001thmycu,117.049,-30.525,0.4,3.8,MLa,nan,3.799473857,0.305895022,0.748974257,0.418277073,1.951781388,1.102584843,10,0.3,8,1,3.716,3.624,CBGZ,1
2001-10-05T14:55:54.000000Z,ga2001tppvuz,117.056,-30.506,0.8,3.7,MLa,nan,3.89623381,0.263440801,0.504154081,0.121708653,1.530206331,0.726598643,5,0.3,12,1,3.948,3.856,CBGZ,1
2001-10-19T17:43:23.000000Z,ga2001upnolt,120.593,-33.608,0,5.2,ML,nan,5.036878698,0.123686772,15.47840665,0.269273883,1.288690239,0.591971184,4,0.04,4,1,nan,nan,CBGZ,1
2001-10-27T07:58:48.000000Z,ga2001vdlztj,143.69,-35.356,16.5,4.2,mwt,nan,4.327474878,0.225704587,9.047095199,0.569664909,2.43843632,1.451823647,18,0.5,6,1,4.729,4.637,NCBM,3
2001-11-23T03:33:32.000000Z,ga2001xaruxy,148.31,-33.901,4.2,3.8,MLa,nan,3.895944251,0.227405578,0.585152016,0.460850608,1.608656237,0.778267701,17,0.8,10,1,3.958,3.866,NCBM,4
2001-12-25T00:56:49.000000Z,ga2001zhfwaz,117.069,-30.531,1.2,4,MLa,nan,4.215926172,0.263865053,1.209761792,0.39536847,1.417803376,0.273043365,6,0.5,12,1,4.331,4.243,CBGZ,1
2001-12-28T16:31:36.000000Z,ga2001znyafg,117.068,-30.533,2.4,4.22,mwt,nan,4.372573258,0.322327875,1.497717755,0.316837732,1.271166682,0.323524201,7,0.2,8,1,4.601,4.518,CBGZ,1
2002-02-07T12:48:57.000000Z,ga2002cqxjev,143.886,-40.356,10,4.5,ML,nan,4.506678659,0.209613927,1.068248317,0.390961641,0.973263747,0.379127585,6,0.5,9,1,4.525,4.437,NCBT,3
2002-02-14T13:27:20.000000Z,ga2002dduskz,150.744,-34.524,5,3.5,Mwt,nan,3.576063477,0.167968794,4.609530826,0.505611916,4.625936214,2.657290318,16,0.7,10,1,3.785,3.68,NCBM,4
2002-03-05T01:47:38.000000Z,ga2002eluifc,117.049,-30.499,0.5,4.46,mwt,nan,4.437631154,0.329391339,1.876563854,0.287639279,1.271504816,0.545102762,6,0.1,12,1,4.843,4.762,CBGZ,1
2002-03-05T03:29:57.000000Z,ga2002elxsjm,117.062,-30.508,0.4,4.2,mwt,nan,4.216827165,0.366240647,1.537620622,0.340159283,1.534199911,1.103390642,7,0.5,9,1,4.489,4.398,CBGZ,1
2002-03-23T13:16:22.000000Z,ga2002ftsfnx,117.054,-30.521,1.7,4.39,mwt,nan,4.389604179,0.370211768,1.60536408,0.286144277,1.275659874,0.652097703,10,0.3,12,1,4.594,4.502,CBGZ,1
2002-03-30T21:15:46.000000Z,ga2002gheeuy,117.049,-30.519,0.8,4.6,mwt,nan,4.679314858,0.297248872,4.164377011,0.523561179,1.255659024,0.851545597,11,0.1,10,1,4.918,4.824,CBGZ,1
2002-04-18T18:02:07.000000Z,ga2002hpuorb,117.06,-30.533,2.4,3.8,MLa,nan,4.005498563,0.14222933,0.619443374,0.449536995,1.44520812,0.798573001,12,0.5,12,1,3.903,3.804,CBGZ,1
2002-06-13T18:46:18.000000Z,ga2002loqsak,113.971,-19.46,14.7,4.4,ML,nan,3.969731459,0.193355885,25.73713446,0.529739815,5.215950626,4.249720933,3,0.8,12,1,nan,nan,EBGZ,8
2002-06-15T21:18:42.000000Z,ga2002lsnfcq,147.425,-42.124,10,4.3,MLa,nan,4.097936731,0.264290642,1.178100578,0.409895444,1.609798659,1.024004767,6,0.8,12,1,3.958,3.869,NCBT,3
2002-06-23T11:21:12.000000Z,ga2002mglfgw,117.06,-30.543,0.5,3.8,MLa,nan,4.080433958,0.218094359,0.472778243,0.466711057,1.211568535,0.763592333,11,0.4,10,1,3.994,3.902,CBGZ,1
2002-08-22T21:23:03.000000Z,ga2002qnissd,148.354,-33.865,3,3.6,Mwt,nan,3.885375084,0.229308546,0.474910315,0.484973368,1.518898651,0.714010434,23,0.6,12,1,3.9,3.81,NCBM,4
2002-09-24T07:42:57.000000Z,ga2002suwnbc,146.083,-38.67,3.4,3.7,Mwt,nan,4.116078368,0.289920706,0.32327244,0.805386042,1.02446277,1.141369367,16,0.6,12,1,3.986,3.892,EBGZ,3
2002-10-08T15:54:52.000000Z,ga2002tvezgt,115.498,-25.263,5,4.5,ML,nan,4.20265726,0.185060501,3.413936042,0.25572037,2.03439666,0.593679082,8,0.6,8,1,4.562,4.471,EBGZ,8
2003-11-22T18:36:02.000000Z,ga2003wzzztj,138.729,-31.645,15.83,4.2,MLa,nan,4.033969773,0.180412315,2.429457682,0.581651769,2.20562003,1.469187584,16,0.4,12,1,4.126,4.031,NCBM,5
2003-12-05T22:26:23.000000Z,ga2003xyebru,126.745,-18.225,0,4.8,ML,nan,4.250049526,0.208679501,9.648717778,0.32618115,2.723605748,1.340351741,8,0.6,6,1,nan,nan,CBGZ,6
2003-12-11T10:19:20.000000Z,ga2003yigils,150.444,-34.485,5,4.2,ML,nan,4.002655466,0.157951472,4.316122359,0.547424868,2.769380653,1.722412612,25,0.7,12,1,4.179,4.081,NCBM,4
2004-01-16T15:05:56.000000Z,ga2004bcrxwm,151.275,-25.072,0,4.4,ML,nan,3.796880176,0.142224063,4.878808727,0.624959667,3.656034734,1.542703294,3,0.5,8,1,nan,nan,NCBM,7
2004-02-11T09:17:58.000000Z,ga2004cxzgxi,129.871,-22.738,12.8,5,ML,nan,4.61745891,0.197411893,2.703377878,0.324547684,1.167486679,0.355097627,12,0.35,10,1,5.006,4.92,CBGZ,2
2004-02-11T09:30:39.000000Z,ga2004cxzrvm,129.823,-22.68,12.5,5.4,ML,nan,4.87846941,0.239805062,2.005973326,0.466603912,0.782623379,0.32612331,18,0.3,10,1,5.321,5.237,CBGZ,2
2004-03-05T00:11:29.000000Z,ga2004enmwfu,127.034,-32.472,0,4.4,ML,nan,4.2815156,0.068484526,1.84539744,0.442768364,1.513391563,0.446372155,9,0.6,10,1,nan,nan,CBGZ,1
2004-11-24T02:42:59.000000Z,ga2004xehpdd,117.472,-30.633,0,4.16,mwt,nan,4.127454579,0.300148376,1.887540277,0.272687825,1.820751138,0.800987733,7,0.5,7,1,4.421,4.325,CBGZ,1
2005-03-03T10:57:01.000000Z,ga2005eivbwe,139.139,-30.899,21.4,4,ML,nan,3.692999308,0.188503264,0.563886876,0.47185385,2.007136055,0.849001437,7,0.7,5,1,3.703,3.609,NCBM,5
2005-03-13T02:09:49.000000Z,ga2005famwje,131.644,-26.155,5,4.6,ML,nan,4.625459119,0.172918149,3.465061953,0.660335307,1.256569688,0.629672801,10,0.6,10,1,nan,nan,CBGZ,2
2005-05-14T19:53:05.000000Z,ga2005jlrdee,139.153,-31,13.7,4.5,ML,nan,4.481033084,0.141613019,3.304884991,0.408880984,1.460656332,0.48533033,18,0.3,8,1,4.576,4.491,NCBM,5
2005-06-12T10:51:19.000000Z,ga2005lmffvp,117.108,-30.802,2.3,4.3,MLa,nan,3.429944714,0.179105377,1.422908015,0.557305373,3.699125414,1.613165825,6,0.8,12,1,3.663,3.556,CBGZ,1
2005-06-12T20:36:44.000000Z,ga2005lmyqht,117.03,-30.558,7.6,4.5,ML,nan,3.846494464,0.186134174,1.698846215,0.384850033,2.429311806,0.519958975,5,1.1,10,1,4.28,4.171,CBGZ,1
2005-09-14T05:12:22.000000Z,ga2005scigmm,134.102,-19.868,10,4.4,ML,nan,4.374263586,0.127545412,2.139745166,0.57446462,1.428898441,0.571749743,5,0.4,6,1,nan,nan,CBGZ,2
2005-09-21T22:46:41.000000Z,ga2005sqnhek,117.159,-30.148,2,4,ML,nan,4.336191067,0.278351922,0.238752918,0.331662129,0.718731204,0.27375431,5,0.03,5,1,4.234,4.148,CBGZ,1
2005-09-22T03:52:59.000000Z,ga2005sqxlcz,117.173,-30.126,3,4.1,ML,nan,3.833542094,0.13030171,1.190960854,0.40745445,2.190486527,1.152295586,5,0.5,5,1,4.097,4,CBGZ,1
2005-09-22T18:34:34.000000Z,ga2005ssaqur,117.159,-30.142,4.5,3.9,MLa,nan,3.509887395,0.072919901,0.484899398,0.45408749,2.356600622,1.206354162,7,0.8,12,1,3.552,3.457,CBGZ,1
2006-02-04T16:31:57.000000Z,ga2006clrosl,148.183,-37.564,2.2,3.9,MLa,nan,3.778408442,0.245851595,1.040749903,0.527610577,2.231466523,1.02628809,11,0.5,12,1,3.888,3.796,NCBM,3
2006-05-13T01:04:46.000000Z,ga2006jijzzp,135.723,-27.657,7.1,5.1,ML,nan,4.227400499,0.150257286,3.12505308,0.336939323,1.919838458,0.346813078,4,0.5,7,1,nan,nan,CBGZ,5
2006-06-06T15:34:09.000000Z,ga2006lboghd,117.44,-25.032,5.5,4.5,ML,nan,4.143711614,0.130809321,1.293824286,0.350468776,1.575608918,0.422894675,9,0.6,8,1,4.455,4.369,CBGZ,8
2006-10-21T09:51:49.000000Z,ga2006uspjwe,149.16,-34.036,15,4.2,ML,nan,3.9725965,0.129242164,3.751672168,0.341622444,2.736040454,0.874744098,8,0.8,5,1,4.237,4.147,NCBM,4
2006-12-14T17:23:05.000000Z,ga2006yohogj,143.563,-42.791,27,4.4,ML,nan,4.382437323,0.279390584,0.37520359,0.883208609,0.7922875,1.058772965,6,0.6,5,1,4.204,4.107,EBGZ,3
2007-02-15T15:38:36.000000Z,ga2007dfuukw,113.276,-25.967,18.5,5.3,Mwp,nan,4.572112788,0.096950645,10.82923114,0.220129538,1.953538394,0.493694695,8,0.5,6,1,4.903,4.811,EBGZ,8
2007-03-08T02:34:11.000000Z,ga2007erjays,145.74,-37.9,9.7,3.5,MLa,nan,3.630890763,0.150178593,2.860446281,0.539791664,3.704347222,1.980074824,16,0.8,12,1,3.91,3.81,NCBM,3
2007-06-30T14:06:35.000000Z,ga2007mtmtyk,117.157,-30.77,8.4,3.8,MLa,nan,3.179629725,0.077049006,0.477414225,0.209779413,3.428962429,0.801234156,5,1,12,1,3.315,3.213,CBGZ,1
2007-08-28T15:33:04.000000Z,ga2007qxxmkd,115.942,-35.429,17.9,4.6,ML,nan,4.307247758,0.099676938,5.730908604,0.286091558,2.14353092,0.510177681,8,0.5,8,1,4.598,4.506,EBGZ,1
2007-09-16T23:18:34.000000Z,ga2007shjsgi,138.523,-31.392,32.5,4.8,ML,nan,4.292848729,0.131743898,13.0549973,0.647168797,2.867567845,1.504148425,14,0.7,7,1,4.521,4.43,NCBM,5
2007-10-09T23:58:40.000000Z,ga2007txqtbb,117.505,-33.946,0,4.8,ML,nan,4.655502036,0.35862771,0.872455957,0.264786415,0.766494936,0.29118272,5,0.5,8,1,4.843,4.756,CBGZ,1
2007-11-07T19:10:45.000000Z,ga2007vyngly,114.933,-23.833,0,4.4,ML,nan,3.855981574,0.15395601,1.114810439,0.264879432,2.088119548,0.752942274,7,0.8,7,1,3.931,3.839,EBGZ,8
2007-11-19T20:01:01.000000Z,ga2007wupqit,143.735,-12.336,24.4,4.8,mb,4.8,4.740082196,0.182893839,1.335257832,0.679405312,0.801357706,0.355987066,10,0.2,8,1,nan,nan,CBGZ,6
2007-12-26T15:36:11.000000Z,ga2007zkesrx,138.383,-32.086,16.4,4.7,ML,nan,4.454234016,0.172525481,3.271930324,0.470291029,1.501401383,0.702109878,33,0.04,6,1,4.523,4.435,NCBM,5
2008-03-31T08:27:48.000000Z,ga2008gjweup,112.332,-27.666,17.7,4.4,ML,nan,4.295734315,0.099348994,0.622311381,0.217614185,1.03628981,0.223793495,5,0.5,6,1,4.144,4.065,EBGZ,1
2008-07-09T23:45:20.000000Z,ga2008nmpfma,125.223,-26.034,1.4,4.5,ML,nan,3.879217515,0.137636637,1.085929249,0.349916121,2.015290032,0.682561753,7,0.8,12,1,4.1,4.006,CBGZ,2
2008-07-29T11:09:20.000000Z,ga2008owirpq,122.11,-14.55,0,4.5,ML,nan,4.413449335,0.182503975,0.309614683,0.40734133,0.717070164,0.368967887,6,0.4,4,1,nan,nan,EBGZ,6
2009-01-26T00:29:19.000000Z,ga2009btydgx,139.029,-32.757,10,4.5,ML,nan,4.198354585,0.114598354,4.356478209,0.570995733,2.217585434,0.988338917,19,0.5,10,1,4.519,4.432,NCBM,5
2009-01-30T17:33:11.000000Z,ga2009ccozby,117.774,-30.212,0,4.1,ML,nan,3.987365007,0.157638415,0.324169415,0.337581302,1.189197478,0.471260391,5,0.4,10,1,4.045,3.952,CBGZ,1
2009-01-31T08:47:03.000000Z,ga2009cdtgox,117.784,-30.23,2.1,3.8,mwh,nan,4.085583696,0.175135747,0.480584606,0.278103535,1.210999344,0.349567165,6,0.4,10,1,4.163,4.067,CBGZ,1
2009-01-31T11:55:21.000000Z,ga2009cdzmvt,117.798,-30.215,0,4.4,ML,nan,3.981614745,0.150098816,0.471780577,0.395420449,1.35659991,0.594268053,6,0.7,10,1,4.109,4.019,CBGZ,1
2009-02-01T00:42:40.000000Z,ga2009ceyybh,117.819,-30.209,0,4,ML,nan,3.750683802,0.134686871,0.201332395,0.400906184,1.332421983,0.604929099,5,0.3,10,1,3.809,3.71,CBGZ,1
2009-02-01T21:57:40.000000Z,ga2009cgpetk,117.795,-30.214,0,4,ML,nan,3.732831864,0.116045585,0.25746466,0.455377978,1.47628117,0.761864523,5,0.6,10,1,3.817,3.717,CBGZ,1
2009-03-05T12:53:51.000000Z,ga2009emqkho,117.774,-30.208,0,4,mwh,nan,4.523567217,0.238132465,0.263068461,0.318534439,0.598299248,0.344049257,7,0.04,5,1,4.371,4.282,CBGZ,1
2009-03-06T01:35:59.000000Z,ga2009enpraz,121.252,-16.314,0,5.1,ML,nan,4.369653511,0.056580415,3.684490914,0.44156553,1.721782193,0.677448898,9,0.4,8,1,nan,nan,CBGZ,6
2009-03-06T09:55:36.000000Z,ga2009eogfou,145.839,-38.445,14.8,4.4,mwt,nan,4.807259821,0.327281948,0.635615776,0.629587434,0.579136294,0.670622685,21,0.4,10,1,4.727,4.636,EBGZ,3
2009-03-18T05:28:17.000000Z,ga2009fjybuf,145.822,-38.425,15,4.3,mwt,nan,4.643045353,0.248133924,0.778224045,0.580487952,0.748499204,0.766245619,25,0.4,10,1,4.619,4.527,EBGZ,3
2009-04-08T05:31:50.000000Z,ga2009gwmlih,116.881,-34.148,0,4.1,ML,nan,3.831928908,0.184506906,1.247378545,0.219953964,2.228678585,0.760061156,5,1,8,1,4.29,4.194,CBGZ,1
2009-06-25T15:16:49.000000Z,ga2009mkkmbo,117.468,-30.619,0,4.2,ML,nan,3.781777674,0.150910541,0.755390519,0.189382317,1.997625824,0.585848461,4,0.7,10,1,4.112,4.017,CBGZ,1
2009-08-12T04:56:54.000000Z,ga2009ptsucv,137.4686,-38.799,10,4.5,ML,nan,4.000280815,0.170154509,2.704580145,0.247477349,2.376322327,0.661933349,5,1,8,1,4.108,4.014,,3
2010-04-20T00:17:09.000000Z,ga2010hscssm,121.4892,-30.787,1.75,4.1,mwh,nan,4.554018396,0.113873593,2.346767351,0.402186685,1.198100599,0.328602749,9,0.2,5,1,4.758,4.667,CBGZ,1
2010-06-05T21:47:00.000000Z,ga2010laewrw,136.714,-33.559,15,4.8,ML,nan,4.490923556,0.180563662,1.971783087,0.601552012,1.215729827,0.805447959,20,0.3,5,1,4.887,4.795,CBGZ,5
2010-07-30T21:29:22.000000Z,ga2010oxdfxj,138.1414,-32.175,10,4.17,ML,nan,3.889584205,0.145864207,1.390240593,0.425401978,2.162305353,0.903390456,13,0.7,9,1,4.088,3.997,NCBM,5
2010-09-29T09:09:25.000000Z,ga2010tedzyu,143.7524,-29.568,0,4.02,MLa,nan,3.927419817,0.031579687,2.955919732,0.709289071,2.66195131,1.735357968,4,0.7,12,1,4.001,3.916,NCBM,5
