PLACE,LON,LAT,RTGM,RISKCOEFF
Denham,113.53,-25.93,0.080168,0.93528
Carnarvon,113.66,-24.88,0.08898,0.92747
Exmouth,114.13,-21.93,0.13105,0.95779
Geraldton,114.61,-28.78,0.071047,0.93369
Margaret River,115.05,-33.97,0.041888,0.94626
Onslow,115.11,-21.64,0.11323,0.94999
Busselton,115.35,-33.65,0.043327,0.93624
Bunbury,115.66,-33.35,0.051186,0.92416
Perth,115.86,-31.95,0.066212,0.92992
Perth max,116.03,-31.89,0.08158,0.93206
Northam,116.66,-31.65,0.19023,0.93515
Wongan Hills,116.71,-30.9,0.24152,0.92934
Dampier,116.71,-20.66,0.11043,0.95423
York,116.76,-31.88,0.20385,0.93161
Ballidu,116.76,-30.6,0.28344,0.9092
Goomalling,116.83,-31.3,0.2085,0.94304
Karratha,116.85,-20.73,0.097768,0.95744
Meckering,117.01,-31.63,0.19881,0.93591
Dowerin,117.03,-31.2,0.22046,0.93572
Quairading,117.4,-32.01,0.20734,0.92861
Wickepin,117.5,-32.78,0.17616,0.95576
Kellerberrin,117.71,-31.63,0.18865,0.92485
Albany,117.88,-35.02,0.056138,0.96432
Port Hedland,118.61,-20.31,0.12476,0.96434
Newman,119.73,-23.36,0.058339,0.97368
Marble,119.75,-21.16,0.13858,0.96731
Coolgardie,121.16,-30.95,0.18155,0.94597
Kalgoorlie,121.46,-30.75,0.48263,0.89304
Esperance,121.88,-33.86,0.050237,0.96155
Broome,122.23,-17.95,0.13526,0.95031
Derby,123.63,-17.31,0.12344,0.94537
Wyndham,128.11,-15.48,0.076508,0.97576
Kununurra,128.74,-15.77,0.084568,0.97445
Darwin,130.83,-12.45,0.061248,0.99755
Yulara,130.97,-25.21,0.095597,0.96439
Uluru,131.01,-25.28,0.099523,0.96336
Alice Springs,133.88,-23.7,0.033664,0.97494
Tennant Creek,134.18,-19.65,0.062242,1.0221
Port Lincoln,135.86,-34.73,0.058561,0.97554
Kimba,136.42,-33.14,0.059425,0.96558
Woomera,136.82,-31.22,0.027929,0.9556
Olympic Dam,136.88,-30.45,0.030837,0.95812
Whyalla,137.56,-33.03,0.057763,0.94721
Port Augusta,137.76,-32.48,0.085697,0.9415
Port Pirie,138.01,-33.2,0.099078,0.93084
Hawker,138.42,-31.89,0.11959,0.91347
Leigh Creek,138.47,-30.54,0.095017,0.91527
Gawler,138.49,-34.37,0.10589,0.93798
Adelaide,138.6,-34.93,0.1206,0.95664
Jamestown,138.6,-33.21,0.11778,0.90845
Adelaide max,138.7,-34.75,0.12083,0.98626
Peterborough,138.84,-32.97,0.10602,0.9159
Robe,139.76,-37.01,0.048278,0.93022
Mount Gambier,140.78,-37.83,0.066098,0.92383
Broken Hill,141.46,-31.96,0.048749,1
Warrnambool,142.48,-38.38,0.065723,0.92754
Ballarat,143.86,-37.56,0.059861,0.92222
Lorne,143.98,-38.53,0.10132,0.926
Bendigo,144.28,-36.75,0.054556,0.9564
Geelong,144.35,-38.15,0.11122,0.98486
Melbourne,144.96,-37.81,0.075368,0.91614
Frankston,145.13,-38.14,0.10675,0.95978
Shepparton,145.4,-36.38,0.049658,0.92442
Pakenham,145.49,-38.08,0.10325,0.91003
Melbourne max,145.5,-38.07,0.10197,0.90883
Cairns,145.76,-16.91,0.032807,0.9524
Burnie,145.9,-41.05,0.040868,0.93404
Leongatha,145.92,-38.52,0.19514,0.91179
Warragul,145.93,-38.17,0.17945,0.94219
Wangaratta,146.31,-36.36,0.057849,0.92487
Morwell,146.4,-38.23,0.25691,0.93681
Heyfield,146.79,-37.98,0.14897,0.9191
Townsville,146.8,-19.26,0.017718,0.94856
Albury,146.9,-36.06,0.059997,0.93288
Sale,147.07,-38.11,0.15318,0.95305
Launceston,147.13,-41.43,0.031911,0.93751
Hobart,147.33,-42.88,0.033558,0.93018
Wagga Wagga,147.35,-35.13,0.059575,0.91501
Dubbo,148.6,-32.25,0.046468,0.92905
Orange,149.1,-33.28,0.075223,0.92297
Cooma,149.13,-36.23,0.096248,0.90441
Canberra,149.13,-35.3,0.13745,0.90664
Mackay,149.16,-21.15,0.018003,0.96635
Bathurst,149.58,-33.41,0.062851,0.92445
Goulburn,149.71,-34.75,0.11512,0.9072
Katoomba,150.31,-33.71,0.067963,0.91963
Mittagong,150.45,-34.45,0.069375,0.92184
Rockhampton,150.5,-23.38,0.018509,0.96171
Camden,150.7,-34.06,0.071394,0.92228
Penrith,150.7,-33.75,0.063888,0.93071
Sydney max,150.74,-33.59,0.061537,0.93275
Wollongong,150.9,-34.41,0.06619,0.91723
Tamworth,150.93,-31.08,0.035208,0.94005
Sydney,151.2,-33.86,0.056229,0.92138
Gladstone,151.25,-23.85,0.025874,0.95801
Gosford,151.35,-33.41,0.058316,0.92561
Maitland,151.55,-32.73,0.06911,0.92182
Newcastle,151.78,-32.93,0.060562,0.91959
Toowoomba,151.95,-27.56,0.023803,0.94594
Bundaberg,152.35,-24.86,0.035535,0.93362
Taree,152.45,-31.91,0.039126,0.94581
Wivenhoe,152.61,-27.41,0.030224,0.94639
Port Macquarie,152.91,-31.43,0.038693,0.95075
Grafton,152.93,-29.68,0.019734,0.93929
Brisbane max,153,-27.29,0.02921,0.94406
Brisbane,153.02,-27.47,0.027852,0.94448
Noosa,153.08,-26.4,0.029071,0.94035
Coffs Harbour,153.11,-30.3,0.021892,0.94073
Lismore,153.28,-28.81,0.018813,0.93994
Gold Coast,153.43,-28.02,0.020701,0.93769
Tweed Heads,153.54,-28.18,0.020364,0.94059

