LON,LAT,P0.02,P0.01375,P0.01,P0.00445,P0.0021,P0.001,P0.0005,P0.000404,P0.0002,P0.0001,LOCATION
113.53,-25.93,0.00205590262845,0.00312534846825,0.00424318802967,0.00859497981127,0.0151054027158,0.0247959321579,0.0379391310632,0.0429063204283,0.0638965967633,0.0933400127505,Denham
113.66,-24.88,0.00229636849992,0.00344565310498,0.00469390294652,0.00946153260845,0.0166102260465,0.0273815383527,0.0417606691158,0.0472747015439,0.0700829149194,0.101430674577,Carnarvon
114.13,-21.93,0.00212154005216,0.00328895558082,0.00456495807652,0.00967045287843,0.0178106741626,0.0310849776379,0.0511293698786,0.0594208750248,0.0972995513445,0.157990264845,Exmouth
114.61,-28.78,0.00146094801471,0.00222518254805,0.00315363901625,0.00663703842402,0.0119910462321,0.0201621441011,0.0313273602356,0.0357054270493,0.0540713653383,0.080230704791,Geraldton
115.05,-33.97,0.000965133992866,0.00145057197271,0.00204183314124,0.00451413388094,0.00831467024474,0.0140685993321,0.02169591786,0.0246139307104,0.036560783961,0.0528107871657,Margaret River
115.11,-21.64,0.00206157209401,0.00315176645505,0.00430506441411,0.00885581726619,0.0158517676286,0.0267001929698,0.0418782802686,0.0479057502845,0.074030695841,0.112820613063,Onslow
115.35,-33.65,0.00116261471694,0.00172834384429,0.00242091154664,0.00514500578709,0.00923623496978,0.0152920295566,0.0232908820847,0.0263647209344,0.0385724833724,0.0548928849812,Busselton
115.66,-33.35,0.00137463220232,0.00204914935983,0.00287697528034,0.00589031588012,0.0104356779198,0.0170856608351,0.0258708398802,0.0291330886399,0.0423929980341,0.0601130708964,Bunbury
115.86,-31.95,0.0018376488789,0.00275731420294,0.00373773236132,0.00749480133652,0.0130691987653,0.0211364686934,0.0316310003093,0.0356050339861,0.0514652721838,0.0725452993162,Perth
116.03,-31.89,0.00197996860536,0.00299723515375,0.00402919517412,0.00805788782132,0.0140428121445,0.0226858641087,0.0341066768248,0.0384674275958,0.0559770536329,0.0797760661508,Perth max
116.66,-31.65,0.00259170396854,0.00387865843429,0.00531935097321,0.0108011689288,0.0192674153521,0.0321869114112,0.050490190142,0.057717366373,0.089074001514,0.135726732046,Northam
116.71,-30.90,0.00292776752828,0.00435745990259,0.00598201518531,0.0122613339334,0.022049626896,0.0374786046675,0.0594784029298,0.0683201210614,0.106844486403,0.164031363776,Wongan Hills
116.71,-20.66,0.00206054707526,0.00315685803634,0.00431213178653,0.00882137866174,0.0156572181784,0.0260551123153,0.0401810079243,0.0455996745015,0.0683800863055,0.100395276767,Dampier
116.76,-31.88,0.00258892709648,0.00388586290284,0.00534095088292,0.0109029732243,0.0195358038432,0.0328146091772,0.0517571335708,0.0592419335663,0.0919828365476,0.140947229334,York
116.76,-30.60,0.00297485435979,0.00445506388529,0.00615107199035,0.0128064482215,0.023314959086,0.0400914760719,0.0644774160644,0.0744078451113,0.1176972684,0.182662157962,Ballidu
116.83,-31.30,0.00283905146346,0.00421107406618,0.00575864191847,0.0116781177151,0.0208275867702,0.0349860827814,0.0550255176842,0.0629200921186,0.0972480186279,0.147829774843,Goomalling
