PLACE,LON,LAT,2007PGA_500-YR,2012PGA_500-YR,2018PGA_475-YR,2018PGA_500-YR,2007/2012 %DIFF,2007/2018 %DIFF, 2012/2018 %DIFF,2007PGA_1500-YR,2018PGA_1500-YR,2007PGA_2500-YR,2012PGA_2500-YR,2018PGA_2475-YR,2018PGA_2500-YR,2007/2018_2500 %DIFF,2012/2018_2500 %DIFF,2007(10%)/2018(2%) %DIFF
Adelaide,138.6,-34.93,0.1,0.058,0.035,0.036,-41.9,-63.55,-37.26,0.15,0.088,0.18,0.156,0.126,0.127,-29.457,-18.709,26.977
Albany,117.88,-35.02,0.08,0.039,0.019,0.019,-50.75,-75.63,-50.52,0.12,0.042,0.144,0.119,0.058,0.059,-59.3,-50.874,-26.741
Albury/Wodonga,146.9,-36.06,0.09,0.048,0.022,0.023,-46.78,-74.78,-52.62,0.135,0.047,0.162,0.126,0.064,0.065,-60.053,-48.64,-28.096
Alice Springs,133.88,-23.7,0.08,0.03,0.01,0.011,-62.38,-86.45,-64,0.12,0.024,0.144,0.097,0.035,0.035,-75.851,-63.964,-56.532
Ballarat,143.86,-37.56,0.08,0.044,0.021,0.022,-45.5,-72.15,-48.9,0.12,0.048,0.144,0.111,0.065,0.065,-54.647,-41.375,-18.365
Ballidu,116.76,-30.6,0.15,0.105,0.088,0.092,-29.87,-38.88,-12.85,0.225,0.22,0.27,0.268,0.312,0.314,16.216,16.952,109.188
Bathurst,149.58,-33.41,0.08,0.064,0.024,0.025,-20.37,-68.31,-60.2,0.12,0.051,0.144,0.167,0.068,0.068,-52.508,-59.049,-14.514
Bendigo,144.28,-36.75,0.09,0.037,0.018,0.019,-59.11,-78.94,-48.5,0.135,0.041,0.162,0.095,0.057,0.057,-64.552,-39.233,-36.194
Brisbane,153.02,-27.47,0.05,0.043,0.008,0.008,-14,-83.32,-80.61,0.075,0.02,0.09,0.131,0.029,0.03,-67.003,-77.331,-40.606
Broome,122.23,-17.95,0.12,0.061,0.045,0.047,-49.08,-61.23,-23.85,0.18,0.101,0.216,0.193,0.142,0.143,-33.651,-25.744,19.429
Bunbury,115.66,-33.35,nan,nan,0.021,0.021,nan,nan,nan,nan,0.042,nan,nan,0.055,0.056,nan,nan,nan
Bundaberg,152.35,-24.86,0.11,0.056,0.012,0.012,-48.82,-88.86,-78.23,0.165,0.027,0.198,0.158,0.038,0.038,-80.654,-75.771,-65.177
Burnie,145.9,-41.05,0.07,0.029,0.014,0.015,-58,-78.72,-49.33,0.105,0.032,0.126,0.08,0.044,0.044,-65.054,-44.753,-37.097
Busselton,115.35,-33.65,nan,nan,0.017,0.017,nan,nan,nan,nan,0.034,nan,nan,0.046,0.047,nan,nan,nan
Cairns,145.76,-16.91,0.06,0.032,0.011,0.011,-46,-81.11,-65.01,0.09,0.024,0.108,0.094,0.034,0.035,-67.884,-63.257,-42.191
Camden,150.7,-34.06,0.09,0.059,0.025,0.026,-33.89,-70.61,-55.54,0.135,0.056,0.162,0.162,0.077,0.078,-51.926,-52.044,-13.467
Canberra,149.13,-35.3,0.08,0.06,0.048,0.05,-25.25,-38,-17.06,0.12,0.11,0.144,0.157,0.152,0.152,5.902,-2.681,90.623
Carnarvon,113.66,-24.88,0.09,0.057,0.033,0.034,-37.22,-62.22,-39.82,0.135,0.071,0.162,0.171,0.096,0.097,-40.414,-43.682,7.254
Coffs Harbour,153.11,-30.3,0.05,0.019,0.007,0.007,-61,-86.01,-64.14,0.075,0.016,0.09,0.063,0.023,0.023,-73.964,-62.628,-53.135
Coolgardie,121.16,-30.95,nan,nan,0.046,0.049,nan,nan,nan,nan,0.13,nan,nan,0.192,0.193,nan,nan,nan
Cooma,149.13,-36.23,0.08,0.055,0.037,0.039,-31.12,-51.42,-29.46,0.12,0.08,0.144,0.148,0.106,0.107,-25.7,-27.512,33.74
Dampier,116.71,-20.66,0.12,0.045,0.035,0.036,-62.17,-69.71,-19.93,0.18,0.082,0.216,0.138,0.116,0.117,-46.056,-15.382,-2.901
Darwin,130.83,-12.45,0.09,0.037,0.031,0.032,-58.89,-64.95,-14.74,0.135,0.049,0.162,0.11,0.061,0.062,-61.925,-43.927,-31.466
Denham,113.53,-25.93,nan,nan,0.028,0.029,nan,nan,nan,nan,0.062,nan,nan,0.086,0.086,nan,nan,nan
Derby,123.63,-17.31,0.09,0.06,0.042,0.044,-33.33,-51.51,-27.27,0.135,0.094,0.162,0.192,0.131,0.131,-18.862,-31.504,46.049
Dowerin,117.03,-31.2,0.2,0.074,0.073,0.076,-63.05,-62.19,2.32,0.3,0.168,0.36,0.221,0.236,0.237,-34.117,7.418,18.589
Dubbo,148.6,-32.25,0.08,0.051,0.015,0.016,-35.75,-80.02,-68.9,0.12,0.036,0.144,0.146,0.05,0.05,-65.033,-65.441,-37.06
Esperance,121.88,-33.86,0.09,0.044,0.017,0.017,-50.67,-80.8,-61.08,0.135,0.037,0.162,0.14,0.052,0.053,-67.53,-62.293,-41.554
Frankston,145.13,-38.14,nan,nan,0.036,0.038,nan,nan,nan,nan,0.08,nan,nan,0.111,0.112,nan,nan,nan
Gawler,138.49,-34.37,nan,nan,0.034,0.035,nan,nan,nan,nan,0.08,nan,nan,0.113,0.114,nan,nan,nan
Geelong,144.35,-38.15,0.1,0.059,0.032,0.033,-40.6,-67.04,-44.5,0.15,0.077,0.18,0.16,0.113,0.114,-36.781,-28.656,13.794
Geraldton,114.61,-28.78,0.09,0.048,0.024,0.025,-46.22,-72.39,-48.66,0.135,0.055,0.162,0.16,0.076,0.077,-52.729,-52.228,-14.912
Gladstone,151.25,-23.85,0.09,0.041,0.008,0.009,-54.78,-90.43,-78.83,0.135,0.019,0.162,0.111,0.027,0.027,-83.216,-75.548,-69.788
Gold Coast,153.43,-28.02,0.05,0.028,0.006,0.007,-43.8,-86.92,-76.72,0.075,0.016,0.09,0.082,0.022,0.022,-75.303,-72.761,-55.546
Goomalling,116.83,-31.3,0.16,0.072,0.067,0.069,-54.87,-56.71,-4.07,0.24,0.156,0.288,0.218,0.221,0.223,-22.711,2.248,39.121
Gosford,151.35,-33.41,0.09,0.057,0.021,0.022,-37,-76.05,-61.98,0.135,0.046,0.162,0.157,0.063,0.063,-60.867,-59.621,-29.561
Goulburn,149.71,-34.75,0.09,0.059,0.043,0.045,-35,-50.04,-23.14,0.135,0.095,0.162,0.153,0.127,0.128,-21.219,-16.421,41.806
Grafton,152.93,-29.68,0.05,0.021,0.006,0.007,-58.6,-86.84,-68.22,0.075,0.015,0.09,0.064,0.021,0.021,-76.501,-66.747,-57.702
Hawker,138.42,-31.89,nan,nan,0.047,0.049,nan,nan,nan,nan,0.098,nan,nan,0.131,0.132,nan,nan,nan
Heyfield,146.79,-37.98,nan,nan,0.05,0.053,nan,nan,nan,nan,0.118,nan,nan,0.162,0.163,nan,nan,nan
Hobart,147.33,-42.88,0.03,0.021,0.011,0.011,-31.67,-61.86,-44.18,0.045,0.026,0.054,0.062,0.036,0.036,-32.745,-41.138,21.059
Jamestown,138.6,-33.21,nan,nan,0.047,0.049,nan,nan,nan,nan,0.098,nan,nan,0.13,0.13,nan,nan,nan
Kalgoorlie,121.46,-30.75,nan,0.111,0.083,0.09,nan,nan,-19.28,nan,0.347,nan,0.296,0.54,0.545,nan,84.2,nan
Karratha,116.85,-20.73,0.12,0.043,0.032,0.033,-63.92,-72.63,-24.15,0.18,0.072,0.216,0.129,0.102,0.103,-52.397,-20.477,-14.314
Katoomba,150.31,-33.71,0.09,0.061,0.025,0.026,-31.67,-71.17,-57.82,0.135,0.054,0.162,0.164,0.074,0.074,-54.113,-54.7,-17.403
Kellerberrin,117.71,-31.63,0.14,0.08,0.062,0.065,-42.57,-53.58,-19.16,0.21,0.146,0.252,0.252,0.204,0.205,-18.54,-18.669,46.628
