X_CENTROID,Y_CENTROID,SEARCH_RAD,NEQS,BVAL,N0,MIN_MC
110.0,-45.0,1443.0,50,0.571,112.014,3.5
110.0,-44.0,1387.5,55,0.608,168.045,3.5
110.0,-43.0,1276.5,52,0.586,131.893,3.5
110.0,-42.0,1221.0,52,0.623,179.515,3.5
110.0,-41.0,1165.5,52,0.663,249.229,3.5
110.0,-40.0,1110.0,51,0.654,227.438,3.5
110.0,-39.0,1054.5,51,0.665,249.637,3.5
110.0,-38.0,1054.5,51,0.665,249.637,3.5
110.0,-37.0,1054.5,66,0.798,958.712,3.5
110.0,-36.0,943.5,52,0.745,490.911,3.5
110.0,-35.0,888.0,59,0.783,758.822,3.5
110.0,-34.0,832.5,59,0.782,748.343,3.5
110.0,-33.0,777.0,53,0.784,683.989,3.5
110.0,-32.0,777.0,63,0.868,1611.836,3.5
110.0,-31.0,777.0,69,0.880,1941.686,3.5
110.0,-30.0,777.0,71,0.836,1402.398,3.5
110.0,-29.0,721.5,52,0.987,3445.654,3.5
110.0,-28.0,666.0,50,1.132,10627.576,3.5
110.0,-27.0,666.0,61,1.062,7392.995,3.5
110.0,-26.0,610.5,59,1.049,6451.862,3.5
110.0,-25.0,555.0,51,1.064,6277.761,3.5
110.0,-24.0,555.0,52,0.983,3355.178,3.5
110.0,-23.0,555.0,56,0.957,2921.579,3.5
110.0,-22.0,555.0,60,0.899,1965.784,3.5
110.0,-21.0,555.0,51,0.814,838.408,3.5
110.0,-20.0,666.0,67,0.882,1918.244,3.5
110.0,-19.0,721.5,60,0.858,1407.197,3.5
110.0,-18.0,777.0,57,0.808,895.239,3.5
110.0,-17.0,832.5,56,0.809,885.609,3.5
110.0,-16.0,888.0,53,0.769,605.553,3.5
110.0,-15.0,999.0,64,0.840,1298.978,3.5
110.0,-14.0,1054.5,57,0.765,631.538,3.5
110.0,-13.0,1165.5,73,0.789,984.198,3.5
110.0,-12.0,1221.0,65,0.753,653.900,3.5
110.0,-11.0,1276.5,53,0.748,508.812,3.5
110.0,-10.0,1387.5,70,0.766,782.310,3.5
110.0,-9.0,1443.0,58,0.736,508.487,3.5
110.0,-8.0,1498.5,56,0.729,462.889,3.5
110.0,-7.0,1609.5,68,0.744,635.527,3.5
111.0,-45.0,1443.0,57,0.612,179.087,3.5
111.0,-44.0,1332.0,54,0.606,161.811,3.5
111.0,-43.0,1221.0,53,0.599,149.746,3.5
111.0,-42.0,1165.5,53,0.640,211.285,3.5
111.0,-41.0,1110.0,52,0.660,243.578,3.5
111.0,-40.0,1054.5,52,0.663,249.229,3.5
111.0,-39.0,999.0,51,0.665,249.637,3.5
111.0,-38.0,999.0,55,0.672,283.574,3.5
111.0,-37.0,943.5,50,0.743,462.445,3.5
111.0,-36.0,888.0,55,0.733,470.424,3.5
111.0,-35.0,832.5,61,0.784,790.852,3.5
111.0,-34.0,777.0,65,0.804,987.058,3.5
111.0,-33.0,721.5,66,0.811,1065.417,3.5
111.0,-32.0,721.5,69,0.890,2098.941,3.5
111.0,-31.0,666.0,52,0.794,729.581,3.5
111.0,-30.0,666.0,57,0.828,1048.514,3.5
111.0,-29.0,666.0,59,0.950,2902.210,3.5
111.0,-28.0,610.5,51,1.052,5698.314,3.5
111.0,-27.0,555.0,50,1.195,17501.277,3.5
111.0,-26.0,555.0,64,1.064,7869.921,3.5
111.0,-25.0,499.5,53,0.997,3828.518,3.5
111.0,-24.0,499.5,56,0.984,3620.117,3.5
111.0,-23.0,499.5,63,0.932,2694.778,3.5
111.0,-22.0,444.0,51,0.901,1694.876,3.5
111.0,-21.0,499.5,54,0.847,1160.156,3.5
111.0,-20.0,555.0,50,0.781,630.857,3.5
111.0,-19.0,610.5,54,0.817,910.512,3.5
111.0,-18.0,721.5,62,0.856,1437.027,3.5
111.0,-17.0,777.0,59,0.814,971.073,3.5
111.0,-16.0,832.5,54,0.783,694.694,3.5
111.0,-15.0,888.0,51,0.763,557.367,3.5
111.0,-14.0,999.0,62,0.779,770.423,3.5
111.0,-13.0,1054.5,52,0.769,594.640,3.5
111.0,-12.0,1165.5,70,0.836,1376.871,3.5
111.0,-11.0,1221.0,64,0.787,844.462,3.5
111.0,-10.0,1276.5,53,0.736,461.703,3.5
111.0,-9.0,1387.5,72,0.756,737.874,3.5
111.0,-8.0,1443.0,60,0.721,464.937,3.5
111.0,-7.0,1498.5,51,0.816,853.230,3.5
112.0,-45.0,1387.5,53,0.584,132.422,3.5
112.0,-44.0,1332.0,60,0.624,209.595,3.5
112.0,-43.0,1221.0,57,0.621,192.979,3.5
112.0,-42.0,1110.0,53,0.601,152.666,3.5
112.0,-41.0,1054.5,51,0.647,214.865,3.5
112.0,-40.0,999.0,51,0.654,227.438,3.5
112.0,-39.0,943.5,52,0.674,273.633,3.5
112.0,-38.0,943.5,55,0.673,286.754,3.5
112.0,-37.0,943.5,69,0.788,919.556,3.5
112.0,-36.0,832.5,58,0.733,495.972,3.5
112.0,-35.0,777.0,63,0.799,915.700,3.5
112.0,-34.0,666.0,51,0.760,540.666,3.5
112.0,-33.0,666.0,66,0.805,1010.197,3.5
