ORIGIN_TIME,EQLO,EQLA,DEPTH,LOCSRC,ML,ML_SRC,MW,STA,STLO,STLA,REPI,AZIM,SAMPLE_RATE,FILE_NAME
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,LGT,147.46358,-36.76326,567.8,220.7,100,1989-12-27T23.28.MEL.LGT.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,MEM,144.49613,-37.63576,829.4,229.2,100,1989-12-27T23.28.MEL.MEM.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,MIC,146.359389,-37.903344,727.1,219.5,100,1989-12-27T23.28.MEL.MIC.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,TOD,144.497,-37.637,829.5,229.2,100,1989-12-27T23.28.MEL.TOD.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,WSK,144.05327,-36.8138,812.5,236.1,100,1989-12-27T23.28.MEL.WSK.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,ABE,146.389012,-37.719352,710.4,220.4,100,1989-12-27T23.29.MEL.ABE.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,DDC,147.52411,-36.56085,547.8,221.9,200,1989-12-27T23.29.MEL.DDC.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,BEL,146.3784,-37.7611,714.4,220.2,100,1989-12-27T23.30.MEL.BEL.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,HOP,144.20458,-35.99638,759.2,241.5,100,1989-12-27T23.30.MEL.HOP.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,KOWA,144.5214,-35.7909,723.8,242.2,200,1989-12-27T23.30.MEL.KOWA.mseed
1989-12-27T23:26:57.000000Z,151.61,-32.952,10.5,MEL,5.76,Allen (2012),5.42,PAT,146.455572,-37.857253,717.6,219.2,100,1989-12-27T23.30.MEL.PAT.mseed
1991-08-06T14:11:41.000000Z,143.247,-17.915,5,ISC,4.8,AUST,4.38,CTA,146.255,-20.0883,397.7,127.7,20,1991-08-06T14.09.AU.CTA.mseed
1991-08-06T14:11:41.000000Z,143.247,-17.915,5,ISC,4.8,AUST,4.38,WB0,134.39431,-19.76969,955.2,256.2,20,1991-08-06T14.09.AU.WB0.mseed
1991-08-06T14:11:41.000000Z,143.247,-17.915,5,ISC,4.8,AUST,4.38,WR0,134.540405,-19.9597,944.4,254.7,20,1991-08-06T14.09.AU.WR0.mseed
1991-09-24T04:36:52.000000Z,149.051,-27.89,7.6,GSQ,4.1,AUST,3.85,CTA,146.255,-20.0883,909.6,341.2,20,1991-09-24T04.34.AU.CTA.mseed
1992-07-28T09:33:17.000000Z,138.783,-31.221,13.2,ADE,3.8,AUST,3.64,WB0,134.39431,-19.76969,1342.7,339.8,20,1992-07-28T09.31.AU.WB0.mseed
1992-07-28T09:33:17.000000Z,138.783,-31.221,13.2,ADE,3.8,AUST,3.64,WR0,134.540405,-19.9597,1318,340.2,20,1992-07-28T09.31.AU.WR0.mseed
1993-07-24T13:33:05.000000Z,146.485,-38.353,15,MEL,2.99,Allen (2012),3.19,MIC,146.359389,-37.903344,51.1,347.5,100,1993-07-24T13.33.MEL.MIC.mseed
1993-07-24T13:33:05.000000Z,146.485,-38.353,15,MEL,2.99,Allen (2012),3.19,MTLZ,146.5705,-38.4131,10,131.8,100,1993-07-24T13.33.MEL.MTLZ.mseed
1993-07-24T13:33:05.000000Z,146.485,-38.353,15,MEL,2.99,Allen (2012),3.19,TOS,146.40573,-37.82428,59.1,353.2,100,1993-07-24T13.33.MEL.TOS.mseed
1993-07-24T13:33:05.000000Z,146.485,-38.353,15,MEL,2.99,Allen (2012),3.19,TYR,146.4354,-38.1083,27.5,350.9,100,1993-07-24T13.33.MEL.TYR.mseed
1993-07-24T13:33:05.000000Z,146.485,-38.353,15,MEL,2.99,Allen (2012),3.19,MIT,147.65871,-36.73171,207.7,30.3,100,1993-07-24T13.34.MEL.MIT.mseed
1993-09-25T02:40:06.000000Z,146.53,-38.311,10.23,MEL,3.18,Allen (2012),3.32,ABE,146.389012,-37.719352,66.8,349.3,100,1993-09-25T02.40.MEL.ABE.mseed
1993-09-25T02:40:06.000000Z,146.53,-38.311,10.23,MEL,3.18,Allen (2012),3.32,GVD,144.90062,-37.61862,162.5,297.7,100,1993-09-25T02.40.MEL.GVD.mseed
1993-09-25T02:40:06.000000Z,146.53,-38.311,10.23,MEL,3.18,Allen (2012),3.32,LGT,147.46358,-36.76326,190.6,25.9,100,1993-09-25T02.40.MEL.LGT.mseed
