Location,Current,500_yr_PGA,0_66_1500_yr_PGA,Scenario_1,Scenario_2,Average,Proposal,LON,LAT,PLACE,TEST
Adelaide,0.1,0.037,0.072,0.08,0.08,0.08,0.08,138.6,-34.93,Adelaide,TRUE
Albany,0.08,0.025,0.041,0.08,0.08,0.08,0.08,117.88,-35.02,Albany,TRUE
Albury,0.09,0.033,0.048,0.08,0.08,0.08,0.08,146.9,-36.06,Albury,TRUE
Alice Springs,0.08,0.012,0.019,0.08,0.08,0.08,0.08,133.88,-23.7,Alice Springs,TRUE
Ballarat,0.08,0.029,0.043,0.08,0.08,0.08,0.08,143.86,-37.56,Ballarat,TRUE
Ballidu,0.15,0.092,0.142,0.099,0.08,0.09,0.1,116.76,-30.6,Ballidu,TRUE
Bathurst,0.08,0.03,0.04,0.08,0.08,0.08,0.08,149.58,-33.41,Bathurst,TRUE
Bendigo,0.09,0.026,0.039,0.08,0.08,0.08,0.08,144.28,-36.75,Bendigo,TRUE
Brisbane,0.08,0.009,0.014,0.08,0.08,0.08,0.08,153.02,-27.47,Brisbane,TRUE
Broken Hill,0.08,0.012,0.025,0.08,0.08,0.08,0.08,141.46,-31.96,Broken Hill,TRUE
Broome,0.12,0.063,0.091,0.08,0.08,0.08,0.08,122.23,-17.95,Broome,TRUE
Bunbury,0.09,0.022,0.031,0.08,0.08,0.08,0.08,115.66,-33.35,Bunbury,TRUE
Bundaberg,0.11,0.014,0.02,0.08,0.08,0.08,0.08,152.35,-24.86,Bundaberg,TRUE
Burnie,0.08,0.015,0.021,0.08,0.08,0.08,0.08,145.9,-41.05,Burnie,TRUE
Busselton,0.09,0.018,0.026,0.08,0.08,0.08,0.08,115.35,-33.65,Busselton,TRUE
Cairns,0.08,0.013,0.019,0.08,0.08,0.08,0.08,145.76,-16.91,Cairns,TRUE
Camden,0.09,0.037,0.056,0.08,0.08,0.08,0.08,150.7,-34.06,Camden,TRUE
Canberra,0.08,0.063,0.1,0.08,0.08,0.08,0.08,149.13,-35.3,Canberra,TRUE
Carnarvon,0.09,0.036,0.053,0.08,0.08,0.08,0.08,113.66,-24.88,Carnarvon,TRUE
Coffs Harbour,0.08,0.008,0.014,0.08,0.08,0.08,0.08,153.11,-30.3,Coffs Harbour,TRUE
Coolgardie,0.08,0.049,0.086,0.08,0.08,0.08,0.08,121.16,-30.95,Coolgardie,TRUE
Cooma,0.08,0.053,0.075,0.08,0.08,0.08,0.08,149.13,-36.23,Cooma,TRUE
Corryong,0.1,0.055,0.083,0.08,0.08,0.08,0.08,147.9,-36.2,Corryong,TRUE
Dampier,0.12,0.037,0.056,0.08,0.08,0.08,0.08,116.71,-20.66,Dampier,TRUE
Darwin,0.09,0.09,0.1,0.08,0.097,0.089,0.1,130.83,-12.45,Darwin,TRUE
Denham,0.09,0.031,0.046,0.08,0.08,0.08,0.08,113.53,-25.93,Denham,TRUE
Derby,0.09,0.049,0.07,0.08,0.08,0.08,0.08,123.63,-17.31,Derby,TRUE
Dowerin,0.2,0.105,0.159,0.111,0.08,0.096,0.1,117.03,-31.2,Dowerin,TRUE
Dubbo,0.08,0.018,0.026,0.08,0.08,0.08,0.08,148.6,-32.25,Dubbo,TRUE
Esperance,0.09,0.02,0.031,0.08,0.08,0.08,0.08,121.88,-33.86,Esperance,TRUE
Exmouth,0.11,0.043,0.065,0.08,0.08,0.08,0.08,114.13,-21.93,Exmouth,TRUE
Frankston,0.09,0.051,0.074,0.08,0.08,0.08,0.08,145.13,-38.14,Frankston,TRUE
Gawler,0.1,0.033,0.057,0.08,0.08,0.08,0.08,138.49,-34.37,Gawler,TRUE
Geelong,0.1,0.042,0.071,0.08,0.08,0.08,0.08,144.35,-38.15,Geelong,TRUE
Geraldton,0.09,0.023,0.034,0.08,0.08,0.08,0.08,114.61,-28.78,Geraldton,TRUE
Gladstone,0.09,0.011,0.017,0.08,0.08,0.08,0.08,151.25,-23.85,Gladstone,TRUE
