# mag Eq_num Eq_upp Eq_dwn Eq_in ls2_avg ls2_upp ls2_dwn  ml_avg w_avg   ls_b1 
2.6 -9999.9 -9999.9 -9999.9 33.27058 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.7 1.52029 0.00645 0.00642 33.13499 43.38796 64.60290 29.13980 33.13499 31.83403 26.03939 
2.8 1.51267 0.00650 0.00648 32.55873 32.96888 48.96255 22.19956 26.88054 25.94958 20.68382 
2.9 1.43434 0.00712 0.00709 27.18595 25.05181 37.11577 16.90906 21.80666 21.15286 16.42974 
3.0 1.31049 0.00823 0.00819 20.44031 19.03592 28.14084 12.87688 17.69051 17.24281 13.05061 
3.1 1.19669 0.00939 0.00934 15.72853 14.46468 21.34033 9.80430 14.35131 14.05551 10.36647 
3.2 1.06229 0.01098 0.01091 11.54216 10.99116 16.18646 7.46338 11.64241 11.45739 8.23438 
3.3 0.92022 0.01296 0.01286 8.32188 8.35177 12.27978 5.68024 9.44482 9.33951 6.54080 
3.4 0.80892 0.01476 0.01463 6.44056 6.34619 9.31791 4.32223 7.66205 7.61313 5.19554 
3.5 0.68551 0.01706 0.01689 4.84737 4.82223 7.07191 3.28821 6.21579 6.20586 4.12697 
3.6 0.58325 0.01924 0.01902 3.83044 3.66423 5.36841 2.50104 5.04252 5.05872 3.27816 
3.7 0.42504 0.02319 0.02287 2.66097 2.78431 4.07611 1.90191 4.09071 4.12363 2.60394 
3.8 0.31193 0.02652 0.02609 2.05081 2.11569 3.09555 1.44600 3.31856 3.36138 2.06838 
3.9 0.19293 0.03055 0.02998 1.55929 1.60764 2.35138 1.09914 2.69216 2.74004 1.64297 
4.0 0.11563 0.03350 0.03281 1.30506 1.22158 1.78649 0.83530 2.18400 2.23355 1.30506 
4.1 -0.06329 0.04155 0.04047 0.86439 0.92823 1.35760 0.63466 1.77175 1.82068 1.03665 
4.2 -0.15808 0.04660 0.04524 0.69490 0.70533 1.03190 0.48211 1.43732 1.48414 0.82344 
4.3 -0.29374 0.05500 0.05307 0.50847 0.53595 0.78450 0.36615 1.16602 1.20980 0.65408 
4.4 -0.39065 0.06198 0.05950 0.40677 0.40725 0.59654 0.27802 0.94593 0.98617 0.51955 
4.5 -0.54041 0.07470 0.07104 0.28813 0.30945 0.45371 0.21106 0.76738 0.80388 0.41270 
4.6 -0.59477 0.07999 0.07578 0.25423 0.23514 0.34516 0.16020 0.62253 0.65528 0.32782 
4.7 -0.72947 0.09498 0.08894 0.18644 0.17868 0.26263 0.12156 0.50502 0.53416 0.26039 
4.8 -0.86777 0.11370 0.10489 0.13559 0.13577 0.19987 0.09223 0.40970 0.43542 0.20684 
4.9 -0.92576 0.12277 0.11242 0.11864 0.10317 0.15214 0.06996 0.33236 0.35493 0.16430 
5.0 -0.99271 0.13429 0.12179 0.10169 0.07839 0.11583 0.05305 0.26963 0.28932 0.13051 
5.1 999999.90000 999999.90000 999999.90000 999999.90000 0.05957 0.08821 0.04023 0.21873 0.23584 0.10366 
5.2 -1.29374 0.20492 0.17474 0.05085 0.04526 0.06718 0.03049 0.17745 0.19225 0.08234 
5.3 -1.46983 0.26816 0.21582 0.03390 0.03439 0.05118 0.02311 0.14395 0.15671 0.06541 
5.4 -1.77086 0.45782 0.30871 0.01695 0.02613 0.03900 0.01751 0.11678 0.12774 0.05196 
5.5 999999.90000 999999.90000 999999.90000 999999.90000 0.01986 0.02972 0.01327 0.09474 0.10413 0.04127 
5.6 999999.90000 999999.90000 999999.90000 999999.90000 0.01509 0.02265 0.01005 0.07685 0.08488 0.03278 
5.7 999999.90000 999999.90000 999999.90000 999999.90000 0.01147 0.01727 0.00761 0.06235 0.06919 0.02604 
5.8 999999.90000 999999.90000 999999.90000 999999.90000 0.00871 0.01317 0.00577 0.05058 0.05640 0.02068 
5.9 999999.90000 999999.90000 999999.90000 999999.90000 0.00662 0.01004 0.00436 0.04103 0.04598 0.01643 
6.0 999999.90000 999999.90000 999999.90000 999999.90000 0.00503 0.00766 0.00330 0.03329 0.03748 0.01305 
6.1 999999.90000 999999.90000 999999.90000 999999.90000 0.00382 0.00584 0.00250 0.02700 0.03055 0.01037 
6.2 999999.90000 999999.90000 999999.90000 999999.90000 0.00290 0.00446 0.00189 0.02191 0.02490 0.00823 
6.3 999999.90000 999999.90000 999999.90000 999999.90000 0.00221 0.00340 0.00143 0.01777 0.02030 0.00654 
6.4 999999.90000 999999.90000 999999.90000 999999.90000 0.00168 0.00260 0.00108 0.01442 0.01655 0.00520 
6.5 999999.90000 999999.90000 999999.90000 999999.90000 0.00127 0.00198 0.00082 0.01170 0.01349 0.00413 
6.6 999999.90000 999999.90000 999999.90000 999999.90000 0.00097 0.00151 0.00062 0.00949 0.01100 0.00328 
