< SEA_1880_30_c29560 6.500000 0.001227 0.000781 0.001929 0.998070 
# mag Eq_num Eq_upp Eq_dwn Eq_in ls2_avg ls2_upp ls2_dwn  ml_avg w_avg   ls_b1 
2.6 -9999.9 -9999.9 -9999.9 33.27058 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.7 -9999.9 -9999.9 -9999.9 33.13499 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.8 -9999.9 -9999.9 -9999.9 32.44009 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.9 -9999.9 -9999.9 -9999.9 27.18595 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
3.0 1.31049 0.00823 0.00819 20.44031 19.31196 28.74251 12.97561 20.44031 20.30302 9.60180 
3.1 1.16465 0.00975 0.00969 14.60990 14.65254 21.73877 9.87622 15.28553 15.21203 7.62698 
3.2 1.05973 0.01101 0.01094 11.47437 11.11731 16.44596 7.51519 11.43073 11.39761 6.05833 
3.3 0.92022 0.01296 0.01286 8.32188 8.43502 12.44515 5.71705 8.54805 8.53965 4.81230 
3.4 0.80892 0.01476 0.01463 6.44056 6.39989 9.42019 4.34796 6.39235 6.39833 3.82254 
3.5 0.68551 0.01706 0.01689 4.84737 4.85579 7.13248 3.30581 4.78028 4.79395 3.03636 
3.6 0.56560 0.01965 0.01941 3.67790 3.68422 5.40188 2.51274 3.57476 3.59186 2.41186 
3.7 0.41383 0.02350 0.02317 2.59317 2.79533 4.09236 1.90938 2.67325 2.69120 1.91581 
3.8 0.31193 0.02652 0.02609 2.05081 2.12090 3.10120 1.45047 1.99909 2.01638 1.52178 
3.9 0.19293 0.03055 0.02998 1.55929 1.60919 2.35078 1.10154 1.49495 1.51077 1.20879 
4.0 0.11563 0.03350 0.03281 1.30506 1.22094 1.78248 0.83630 1.11794 1.13195 0.96018 
4.1 -0.11765 0.04437 0.04314 0.76270 0.92636 1.35196 0.63474 0.83601 0.84811 0.76270 
4.2 -0.15808 0.04660 0.04524 0.69490 0.70286 1.02574 0.48161 0.62518 0.63545 0.60583 
4.3 -0.29374 0.05500 0.05307 0.50847 0.53328 0.77846 0.36532 0.46752 0.47611 0.48123 
4.4 -0.39065 0.06198 0.05950 0.40677 0.40461 0.59097 0.27702 0.34962 0.35672 0.38225 
4.5 -0.54041 0.07470 0.07104 0.28813 0.30699 0.44877 0.21000 0.26145 0.26727 0.30364 
4.6 -0.59477 0.07999 0.07578 0.25423 0.23292 0.34089 0.15915 0.19551 0.20026 0.24119 
4.7 -0.72947 0.09498 0.08894 0.18644 0.17673 0.25901 0.12058 0.14621 0.15004 0.19158 
4.8 -0.86777 0.11370 0.10489 0.13559 0.13409 0.19686 0.09133 0.10934 0.11242 0.15218 
4.9 -0.92576 0.12277 0.11242 0.11864 0.10174 0.14967 0.06915 0.08176 0.08423 0.12088 
5.0 -0.99271 0.13429 0.12179 0.10169 0.07719 0.11382 0.05235 0.06114 0.06311 0.09602 
5.1 999999.90000 999999.90000 999999.90000 999999.90000 0.05857 0.08658 0.03962 0.04572 0.04728 0.07627 
5.2 -1.29374 0.20492 0.17474 0.05085 0.04444 0.06588 0.02997 0.03419 0.03543 0.06058 
5.3 -1.46983 0.26816 0.21582 0.03390 0.03371 0.05014 0.02267 0.02557 0.02654 0.04812 
5.4 -1.77086 0.45782 0.30871 0.01695 0.02558 0.03817 0.01714 0.01912 0.01989 0.03823 
5.5 999999.90000 999999.90000 999999.90000 999999.90000 0.01941 0.02906 0.01296 0.01430 0.01490 0.03036 
5.6 999999.90000 999999.90000 999999.90000 999999.90000 0.01473 0.02214 0.00980 0.01069 0.01116 0.02412 
5.7 999999.90000 999999.90000 999999.90000 999999.90000 0.01117 0.01687 0.00740 0.00800 0.00837 0.01916 
5.8 999999.90000 999999.90000 999999.90000 999999.90000 0.00848 0.01285 0.00559 0.00598 0.00627 0.01522 
5.9 999999.90000 999999.90000 999999.90000 999999.90000 0.00643 0.00980 0.00422 0.00447 0.00470 0.01209 
6.0 999999.90000 999999.90000 999999.90000 999999.90000 0.00488 0.00747 0.00319 0.00334 0.00352 0.00960 
6.1 999999.90000 999999.90000 999999.90000 999999.90000 0.00370 0.00569 0.00241 0.00250 0.00264 0.00763 
6.2 999999.90000 999999.90000 999999.90000 999999.90000 0.00281 0.00434 0.00182 0.00187 0.00198 0.00606 
6.3 999999.90000 999999.90000 999999.90000 999999.90000 0.00213 0.00331 0.00137 0.00140 0.00148 0.00481 
6.4 999999.90000 999999.90000 999999.90000 999999.90000 0.00162 0.00253 0.00103 0.00105 0.00111 0.00382 
6.5 999999.90000 999999.90000 999999.90000 999999.90000 0.00123 0.00193 0.00078 0.00078 0.00083 0.00304 
6.6 999999.90000 999999.90000 999999.90000 999999.90000 0.00093 0.00147 0.00059 0.00058 0.00062 0.00241 
6.7 999999.90000 999999.90000 999999.90000 999999.90000 0.00071 0.00112 0.00044 0.00044 0.00047 0.00192 
6.8 999999.90000 999999.90000 999999.90000 999999.90000 0.00054 0.00086 0.00033 0.00033 0.00035 0.00152 
6.9 999999.90000 999999.90000 999999.90000 999999.90000 0.00041 0.00066 0.00025 0.00024 0.00026 0.00121 
7.0 999999.90000 999999.90000 999999.90000 999999.90000 0.00031 0.00050 0.00019 0.00018 0.00020 0.00096 
