DATESTR,LON,LAT,GGML,GGTYPE,AUSTML,ALLENML,PREFMW,MIN_RHYP,MAX_RHYP,NSTA
1989-12-27 23:26:57,151.61,-32.952,5.6,ML,5.5,5.63,5.42,710.5,829.5,6.0
1993-07-24 13:33:05,146.485,-38.353,2.9,ML,NaN,2.86,3.19,31.4,277.0,4.0
1993-09-25 02:40:06,146.53,-38.311,3,ML,NaN,3.05,3.32,26.1,214.8,7.0
1994-02-01 05:53:08,146.35,-38.536,3.8,ML,3.8,3.63,3.72,51.0,393.7,7.0
1994-05-21 08:59:18,146.962,-36.034,3,ML,NaN,2.8,3.17,14.9,364.6,10.0
1994-08-06 11:03:51,151.292,-32.917,5.1,ML,5.3,5.08,4.71,43.0,917.4,26.0
1995-01-11 07:11:37,145.992,-38.165,3.1,ML,NaN,3.06,3.15,40.3,273.5,8.0
1995-02-01 10:21:20,146.259,-38.462,3,ML,NaN,2.98,3.07,43.4,294.5,7.0
1995-03-26 06:53:30,147.233,-35.958,3.1,ML,NaN,2.91,3.19,13.4,350.2,8.0
1995-05-03 04:24:23,150.249,-33.186,3,ML,NaN,3.06,3.23,54.1,449.7,19.0
1995-05-03 17:48:25,146.283,-38.472,3,ML,NaN,2.99,3.36,45.1,240.3,7.0
1995-05-20 11:29:11,150.083,-33.868,3.6,ML,3.6,3.49,3.49,19.9,379.5,16.0
1995-07-29 13:43:27,148.735,-34.283,3,ML,NaN,2.72,2.94,74.6,224.0,12.0
1995-07-30 04:41:03,147.658,-36.761,3.6,ML,3.6,3.45,3.52,20.7,376.9,12.0
1995-08-17 01:41:00,148.739,-34.313,3,ML,NaN,2.87,2.93,71.4,248.6,16.0
1995-08-19 09:01:27,148.741,-34.312,3.1,ML,NaN,3.02,3.14,71.4,482.9,21.0
1995-09-12 10:23:55,148.72,-34.31,3.2,ML,NaN,3.1,3.16,71.4,443.2,21.0
1995-10-14 04:11:01,148.761,-34.317,3.1,ML,NaN,3.16,3.23,71.2,483.7,22.0
1995-11-18 09:32:17,144.764,-37.114,3.7,ML,3.7,3.52,3.55,58.9,285.6,15.0
1996-01-16 10:30:16,145.07,-38.284,2.7,ML,NaN,2.57,3,74.8,131.0,7.0
1996-02-18 19:34:39,148.666,-36.152,3.6,ML,3.6,3.43,3.5,81.0,430.5,17.0
1996-05-10 05:48:29,146.145,-37.733,2.5,ML,NaN,2.56,2.96,24.6,225.0,11.0
1996-08-13 12:33:34,149.214,-34.749,3,ML,NaN,2.84,2.99,56.6,252.9,21.0
1996-09-25 04:53:50,146.425,-37.859,3.3,ML,3.3,3.23,3.34,11.2,237.8,15.0
1996-09-25 07:49:57,146.421,-37.863,5,ML,5,4.84,4.44,11.8,1039.7,32.0
1996-09-25 07:56:21,146.438,-37.855,2.5,ML,NaN,2.49,NaN,12.3,107.8,6.0
1996-10-01 21:42:21,150.393,-33.83,3,ML,NaN,2.98,3.17,23.5,396.9,21.0
1996-12-10 12:54:26,150.501,-34.153,2.7,ML,NaN,2.85,3.1,15.2,216.3,19.0
1996-12-10 12:58:35,150.504,-34.152,2.5,ML,NaN,2.53,2.87,15.5,216.5,18.0
1996-12-24 22:28:10,145.534,-38.696,3.1,ML,NaN,3.12,3.29,44.5,344.6,12.0
1997-05-04 22:33:18,145.959,-38.135,3.1,ML,NaN,2.96,3.21,44.1,223.3,11.0
1997-06-27 03:20:28,146.094,-36.781,3.9,ML,3.8,3.9,3.85,113.4,476.2,23.0
1997-08-23 00:12:40,148.197,-34.627,3.2,ML,NaN,3.1,3.17,,,
